segmentcode,segment,n,pkrit_mean,punt_mean,domkrit_n,domunt_n,domkrit_anteil,domunt_anteil
B,Buch,500,0.05074985451161903,0.08577338997677697,27,59,0.054,0.118
LW,Literaturwettbewerb,394,0.04388163329858679,0.07379591489692448,10,32,0.025380710659898477,0.08121827411167512
LZ,Literaturzeitschrift,250,0.05506616570329648,0.08057700591553665,10,19,0.04,0.076
OP,Online-Plattform,471,0.033711912444648,0.06394825229696749,10,26,0.021231422505307854,0.055201698513800426
