ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783797707284; 3797707282,"Abek, der Handfischer",1. Auflage,Konstanz,Verlag Stadler,2016,219,"Burkart, Albert",,,,,Anthologie; Romanhafte Biographien,ger,
9783946534174; 3946534171,"Able to love, find & forgive",,Köln,Booklover Verlag Nadine Kapp,2016,468,"Kapp, Nadine; Andrews, D. L.",,,,,Fiktionale Darstellung; Dramatik,ger,
9783937445809; 3937445803,"All dies hier, Majestät, ist deins",1. Auflage,Berlin,kookbooks,2016,333,,"Bayer, Anja Thea; Seel, Daniela",,,"Töpfer, Andreas",Anthologie; Lyrik,ger,
9783946053040; 3946053041,Am Abend ein Stündchen bei Goethe,,Winsen,HuM-Verlag,2016,200,"Eckermann, Johann Peter","Hinkfoth, Helmuth",,,,Anthologie; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783939829683; 3939829684,Amüsante Reime und Erzählungen,1. Auflage,Lohmar,Ratio Books,2016,285,"Jansen, Hans-Jürgen",,,,,Anthologie; Lyrik,ger,
9786176141532,Anthologie der zeitgenössischen österreichischen Lyrik,Literaturno-chudožnė vydannja,Černivci,Knyhy - XXI,2016,229,,,"Rychlo, Petro Vasylʹovyč",,,Anthologie; Lyrik,ukr; rus; ger,
9783741861413; 3741861413,"Anthologie ""Nacht der Poesie"" Oderlandautoren/Nacht der Poesie 2016",3. Auflage,Berlin,epubli,2016,80,"Marchand, Peter","Marchand, Peter; Ruhlig, Lothar",,,,"Lyrik, Dramatik",ger,
9783000538612,Arbeite und Reise,,Bremen,Bernhard Hoppe,2016,101,"Hoppe, Bernhard",,,,,"Anthologie; Lyrik, Dramatik",ger,
9783033058903; 3033058906,Augustos Füsse,,Bern,Edition bianchi-neri,2016,82,"Gerber, Iris",,,,,Anthologie; Lyrik,ger,
9783864650758,Berlin ist auch eine schöne Gegend ...,1. Auflage,Berlin,trafo,2016,244,,"Kühnel, Klaus",,,,Anthologie; Lyrik,ger,
9783734550492; 3734550491,Bitter Moon Poetry,,Hamburg,tredition,2016,208,"Bretschneider, Hagen",,,,,Lyrik,ger,
9783837217919; 3837217914,Blätter im Wind,,Frankfurt a. M.,Weimarer Schiller Presse ,2016,132,Garnuszek,,,,,Anthologie; Lyrik,ger,
9783890863511; 3890863515,Chilenische Lyrik im bewegten 20. Jahrhundert,,Aachen,Rimbaud,2016,135,"Hahn, Óscar; Hernández, Sergio; Huidobro, Vicente; Mistral, Gabriela; Neruda, Pablo","Markus, Mario","Markus, Mario",,"Müller-Salo, Johannes; Rojas, Gonzalo; Barquero, Efráin; Bolton, Carlos; Díaz Casanueva, Humberto; Harris, Tomás; Kay, Ronald; Lihn, Enrique; Lisboa, Venancio; Massís, Mahfud; Molina, Paz; Oyarzún, Mila; Parra, Nicanor; Peralta, María Isabel; Pereira, Ulises; de Rokha, Pablo; Rossenmann Taub, David; Teillier, Jorge; Teitelboim, Volodia; Torres, Aldo; Uribe Arce, Armando; Valdivieso, Jaime; Valle, Juvencio; Vera, Luis Roberto; Zurita, Raúl",Anthologie; Lyrik,ger,
9783596297542; 3596297540,Das Katzen-Ausmalbuch mit Geschichten zum Entspannen,Originalausgabe,Frankfurt am Main,Fischer,2016,80,,,,,"Blam, Gaby",Anthologie; Bildband; Gemischte Anthologien,ger,
