ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783798602854,Inflagranti -auf frischer Tat ... [20 Kurzgeschichten],1. Aufl.,Flensburg,Stephenson,2009,239,,,,,,,ger,
9783940209252,Jenseits der Grenzen,"Orig.-Ausg., 1. Aufl.",Oberhausen/Obb.,Noel-Verl.,2009,422,,,,,,,ger,
9783869014401,Kinder-Armut,,Leipzig,Engelsdorfer Verl.,2009,122,,,,,,Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,
9783980462242,Kreuzungen,1. Aufl.,Heikendorf,Rathke,2009,127,,,,,,Anthologie; Anthologie,ger,
9783940235787,"Liebe, Mord und reichlich Senf!",,Fischbachtal,Sieben-Verl.,2009,128,,,,,,,ger,
9783798602892,Lust extrem!,1. Aufl.,Flensburg,Stephenson,2009,428,,,,,,,ger,
9783798602823,Lustgefühle,1. Aufl.,Flensburg,Stephenson,2009,270,,,,,,,ger,
9783789393617,"Mama, du bist wunderbar",,Witten,SCM Coll.,2009,127,,,,,,Anthologie; Anthologie,ger,
9783000287589,Mindbook,1. Aufl.,"Leipzig, Karl-Heine-Str. 20",R. Hartmann,2009,67,,,,,,,ger,
9783865321398,Mord-Westfalen,1. Aufl.,Bielefeld,Pendragon,2009,411,,,,,,,ger,
9783940235855,Mords Apfel,,Fischbachtal,Sieben-Verl.,2009,140,,,,,,,ger,
9783850228121,Motorcycle diaries,,Neckenmarkt,Novum Pro,2009,102,,,,,,,ger,
9783941455207,Nachts,1. Aufl.,Goldbach,Hierreth,2009,108,,,,,,,ger,
9783798603417,Nachts in Deutschlands Betten,1. Aufl.,Flensburg,Stephenson,2009,254,,,,,,,ger,
9783902074997,Narrensommer,,Glödnitz,Memoiren-Verl.,2009,138,,,,,,,ger,
9783831613625,Niemandsland,,München,Literareon im Utz-Verl.,2009,142,,,,,,Anthologie; Anthologie,ger,
9783140224413,"Ödon von Horvath, Geschichten aus dem Wiener Wald",1. Dr.,Paderborn,Schöningh,2009,133,,,,,,,ger,
9783940528728,Persimplex Anthologie,1. Aufl.,Wismar,Persimplex,2009,367,,,,,,,ger,
9783874078283,'S goht ällaweil weiter,,Tübingen,Silberburg-Verl.,2009,143,,,,,,,ger,
9783981249392,Sterne über dem Allgäu,,Bad Hindelang,Ursus-Verl.,2009,162,,,,,,,ger,
9783938114483,Stimme werden - Gesicht zeigen,,Bonn,Free-Pen-Verl.,2009,105,,,,,,,ger,
9783828027411,Träumerische Fragmente,"Orig.-Ausg., 1. Aufl.",Berlin,Frieling,2009,127,,,,,,,ger,
9783866348356,Trockengebiete,1. Aufl.,Halle,Projekte-Verl. Cornelius,2009,197,,,,,,,ger,
9783798602809,Unmoralische Angebote,1. Aufl.,Flensburg,Stephenson,2009,239,,,,,,,ger,
9783934145696,Verwurzelt in Franken,,Treuchtlingen,wek-Verl.,2009,335,,,,,,,ger,
9783940554307,Warm ums Herz,,Ganderkesee,EPLA-Verl.,2009,121,,,,,,,ger,
9783939454458,Weihnachten in alten Zeiten,,Büdingen,Geschichtswerkstatt Büdingen,2009,168,,,,,,,ger,
9783940209412,Weihnachtsimpressionen,"Orig.-Ausg., 1. Aufl.",Oberhausen/Obb.,Noel-Verl.,2009,139,,,,,,,ger,
9783981237221,Wilde Vögel fliegen,,Acht,Achter Verl.,2009,173,,,,,,,ger,
9783940119162,Xtra-Anthologie ... der art of books collection,Orig.-Erstausg.,Forchheim,Verl. Art of Arts,2009,260,,,,,,,ger,
9783869014760,Zu neuen Ufern,,Leipzig,Engelsdorfer Verl.,2009,155,,,,,,,ger,
9783937139647,Zuhause nur im Wort,,Ludwigsburg,Pop,2009,258,,,,,,Anthologie; Anthologie,ger,
9783866347649,Zwanzig Jahre danach,1. Aufl.,Halle,Projekte-Verl. Cornelius,2009,211,,,,,,Anthologie; Anthologie,ger,
9783934960732,Alles ist Gleichnis,,Hockenheim,Ed. L,2008,160,,,,,,,ger,
9783940209177,Am Rande des Horizonts,"Orig.-Ausg., 1. Aufl.",Oberhausen/Obb.,Noel-Verl.,2008,409,,,,,,,ger,
9783899955729,An't open Füür,,Oldenburg,Isensee,2008,141,,,,,,,ger,
9783940767172,Anthologie,1. Aufl.,Berlin,Periplaneta,2008,146,,,,,,,ger,
9783940119087; 3940119083,Art of erotica,Orig.-Erstausg.,Forchheim,Verl. Art of Arts,2008,232,,,,,,,ger,
9783940387066,Augenblicke der Ewigkeit,"Vollst. Taschenbuchausg., 1. Aufl.","Frankfurt, M.",Ed. Leserunde,2008,196,,,,,,,ger,
9783937143309,B-LETTER-N,,Herxheim,Deki-Verl.,2008,297,,,,,,Anthologie; Anthologie,ger,
9783798602557,Best of erotic,1. Aufl.,Flensburg,Carl Stephenson Verlag GmbH & Co. KG,2008,750,,,,,,,ger,
9783867038492,Bittersüß,,Leipzig,Engelsdorfer Verl.,2008,132,,,,,,,ger,
9783939321187,Boulevard,1. Aufl.,München,Salon-LiteraturVerl.,2008,223,,,,,,,ger,
9783934428089,Brennpunkte,1. Aufl.,Kierspe,Goki-Verl.,2008,184,,,,,,Anthologie; Anthologie,ger,
9783798602571,Das erste Mal: Swinger-Erlebnisse,1. Aufl.,Flensburg,Stephenson,2008,319,,,,,,,ger,
9783798602687,Das erste Mal: von Frau zu Frau!,1. Aufl.,Flensburg,Stephenson,2008,317,,,,,,,ger,
9783798602618,Das erste Mal: zu dritt!,1. Aufl.,Flensburg,Stephenson,2008,316,,,,,,,ger,
9783940235305,Das Herz der Dunkelheit,,Fischbachtal,Sieben-Verl.,2008,168,,,,,,,ger,
9783981206814,Das Klobuch,,Gelsenkirchen,Bentino GmbH,2008,60,,,,,,,ger,
9783937000084,Der Gevatter Tod,,München,Kunst- und Textwerk-Verl.,2008,16,,,,,,,ger,
9783939139072,Der Treue geopfert,"Dt. Erstveröff., Erstausg., 1. Aufl.",Dortmund,Arcanum-Fantasy-Verl.,2008,206,,,,,,,ger,
9783902074737,Der Zauberstein,,Glödnitz,Memoiren-Verl.,2008,126,,,,,,,ger,
9783475539688,Die schönsten Geschichten aus Südtirol,,Rosenheim,Rosenheimer,2008,207,,,,,,Anthologie; Anthologie,ger,
9783475539497,Die schönsten Geschichten für Weihnachten,,Rosenheim,Rosenheimer,2008,206,,,,,,Anthologie; Anthologie,ger,
9783940660008; 3940660000,Die Wächter von Göttingen,Orig.-Ausg.,Göttingen,Stein-Medien,2008,221,,,,,,,ger,
9783940387110,Dumm gelaufen,"Vollst. Taschenbuchausg., 1. Aufl.","Frankfurt, M.",Ed. Leserunde,2008,158,,,,,,,ger,
9783941455047,Dunkelheit ...,1. Aufl.,Goldbach,Hierreth,2008,172,,,,,,,ger,
9783941122215,Dunkelheit,1. Aufl.,Krombach,Twilight-Line-Verl.,2008,78,,,,,,,ger,
9783831613069,Eigentor,,München,Literareon,2008,112,,,,,,Anthologie; Anthologie,ger,
9783789393297,Ein kleines Buch der Weihnachtsfreude,1. Sonderaufl.,Witten,SCM Coll.,2008,100,,,,,,,ger,
