ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783866472341,Best of father Brown,,Köln,Anaconda,2008,383,"Chesterton, G. K.","Fuchs, Isabelle",,,,"Anthologie; Anthologie; Krimis, Thriller, Spionage",ger; eng,eng
9783453811645,Black Box,"Dt. Erstausg., Orig.-Ausg.",München,Heyne,2008,509,"Hill, Joe",,"Riffel, Hannes","Hill, Joe",,,ger,eng
9783833305191; 3833305193,Dämmerung und andere Erzählungen,,Berlin,Berliner Taschenbuch-Verl.,2008,174,"Salter, James",,,"Salter, James",,,ger,eng
9783499247415; 3499247410,Das Armband,Neuausg.,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2008,348,,,"Orth-Guttmann, Renate",,"Slaughter, Karin","Anthologie; Anthologie; Anthologie; Krimis, Thriller, Spionage",ger,eng
9783867300766; 9783867300773,Das blaue Leben und andere Erzählungen,,Leipzig,Faber & Faber,2008,275,"Gorʹkij, Maksim",,"Scholz, August",,"Gubig, Matthias",,ger,rus
9783492254571,Das Fieber,Ungekürzte Taschenbuchausg.,München,Piper,2008,222,"Le Clézio, J. M. G.",,,"Le Clézio, J. M. G.",,,ger,fre
9783935535212,Das große Türkei-Lesebuch,1. Aufl.,"Frankfurt, M.",Literaturca,2008,366,,"Caner, Mesut",,,,Anthologie; Anthologie,ger,tur
9783866345577,Das Mondmetall,2. Aufl.,Halle,Projekte-Verl. Cornelius,2008,160,,"Müller, Wilko",,,,,ger,eng; rus
9783426663547,Das Weihnachtskind und andere Geschichten zur stillen Zeit,,München,Knaur,2008,299,"Binchy, Maeve",,,"Binchy, Maeve",,,ger,eng
9783939542308,Den Jungs geht's gut,1. Aufl.,Hamburg,Männerschwarm-Verl. ,2008,155,"Preston, John",,,"Preston, John",,,ger,eng
9783257237931,Der Büchersack und andere Erzählungen,,Zürich,Diogenes,2008,473,"Maugham, William Somerset",,,,,Erzählende Literatur: Hauptwerk vor 1945,ger,eng
9783492242646,Der Doppelgänger,"Ungekürzte Taschenbuchausg., 2. Aufl.",München,Piper,2008,951,"Dostoevskij, Fëdor Michajlovič",,"Rahsin, E. K.",,,,ger,rus
9783499245398,Der erfundene Freund,,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2008,138,"Parrella, Valeria",,,"Parrella, Valeria",,Anthologie; Anthologie,ger,ita
9783423191203; 3423191201,Der Freund des Menschen,,München,Dt. Taschenbuch-Verl.,2008,350,"Levi, Primo",,,,,,ger,ita
9783502180951,Der gefälschte König,,"Frankfurt, M.",Scherz,2008,239,"Archer, Jeffrey",,,"Archer, Jeffrey",,,ger,eng
9783458174059,Der goldene Apfel,1. Aufl.,"Frankfurt, M.",Insel-Verl.,2008,675,,"Schroeder, Michael",,,,,ger,lat; gre
9783866600522; 3866600526,Der große Koffer,1. Aufl.,Leipzig,Erata-Literaturverl.,2008,81,"Dodovski, Ivan",,,,,,ger,mac
9783378006874,Der Hibiskushimmel,1. Aufl.,Berlin,Kiepenheuer,2008,344,"Edwards, Kim",,,"Edwards, Kim",,Fiktionale Darstellung; Belletristische Darstellung,ger,eng
9783257066524,Der illustrierte Mann,Vollst. überarb. Neuausg.,Zürich,Diogenes,2008,334,"Bradbury, Ray",,,"Bradbury, Ray",,,ger,eng
9783423252836; 3423252839,Der Mann am Strand,,München,Dt. Taschenbuch-Verl. ,2008,126,"Mankell, Henning",,,"Mankell, Henning",,"Anthologie; Anthologie; Krimis, Thriller, Spionage",ger,swe
9783861508038; 3861508036,Der Philip-K.-Dick-Companion,"Neuausg., 1. Aufl.","Frankfurt, M.",Haffmans bei Zweitausendeins,2008,93,,"Arntz, Heiko",,,"Dick, Philip K.",,ger,eng
9783250600480,Der Raub des königlichen Schlafs,1. Aufl.,Zürich,Ammann,2008,478,"Kadare, Ismail",,,,,,ger,alb
9783765519840,Der Traum des jungen Zaren und andere Erzählungen,,Gießen,Brunnen-Verl.,2008,90,"Tolstoj, Lev Nikolaevič",,,,,,ger,rus
9783596900312; 359690031X,Der Untergang des Hauses Usher und andere Erzählungen,Ungekürzte Ausg.,"Frankfurt, M.",Fischer-Taschenbuch-Verl.,2008,180,"Poe, Edgar Allan",,"Etzel, Gisela",,,Erzählende Literatur: Hauptwerk vor 1945,ger,eng
9783499245640,Der verführerische Teufel,Dt. Erstausg.,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2008,139,"Camilleri, Andrea",,"Kahn, Moshe","Camilleri, Andrea",,Fiktionale Darstellung; Belletristische Darstellung; Belletristische Darstellung,ger,ita
