ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,Die gesammelten Romane und Erzählungen,,Berlin,Claassen,2023,6,"Haushofer, Marlen",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Dies ist ein fremdes Land,,Bamberg,China Fan Verlag,2023,344,"Li, Jenny",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Doris Bauer - Bilder und ihre Geschichten,,Rockenberg,Luise Link,2023,87,"Link, Luise",,,,"Bauer, Doris",Bildband,ger,
,Drei Abenteuer-Geschichten von Malek und viele weitere Stories,,Zürich,JULL Junges Literaturlabor,2023,34,,,,,"Schweikert, Ruth; Gottheil, Lea",Anthologie; Erzählende Literatur: Anthologien,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Ein Blütenstrauss,,Erscheinungsort nicht ermittelbar,Renate Kärcher-Bickhoff,2023,59,"Kärcher-Bickhoff, Renate",,,,,Anthologie; Gemischte Anthologien,ger,
,Ein Engel namens Pomelo,,Buchholz,meer! Karin Buchholz,2023,38,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Einfach Lesen,,Imst,Stadtgemeinde Imst,2023,154,,"Stolze, Hannah",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Einladung an die Furcht,"Privatdruck, deutsche Erstausgabe",Giessen,Robert N. Bloch,2023,158,"Renard, Maurice",,"Petry, Manfred",,"Petry, Manfred",Anthologie; Erzählende Literatur: Anthologien,ger,fre
,Erzähl mir Material,,Halle,"M.A. Kunstwissenschaften, Burg Giebichenstein Kunsthochschule Halle",2023,92,,"Schleimer, Maren; Simeth, Sofia",,,,Anthologie; Gemischte Anthologien,ger,
,Erzählungen 1996 bis 2020,,München,Golkonda,2023,,"Chiang, Ted",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
,Erzählungen aus Merat am See,,Erfurt,Sophie Neumann,2023,,"Neumann, Sophie",,,,,Fiktionale Darstellung; Fantasy,ger,
,Fingerspitzen,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Fingertips,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Finsterglut ,Erstauflage,Dietzenbach,Sybille Roth,2023,409,,"Roth, Sybille",,,,Fiktionale Darstellung; Fantasy,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,Garantiert lebendig,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
