segmentcode,segment,n,pkrit_mean,punt_mean,domkrit_n,domunt_n,domkrit_anteil,domunt_anteil
B,Buch,500,0.05074985451161903,0.08577338997677697,9,5,0.018,0.01
LW,Literaturwettbewerb,394,0.04388163329858679,0.07379591489692448,2,2,0.005076142131979695,0.005076142131979695
LZ,Literaturzeitschrift,250,0.05506616570329648,0.08057700591553665,1,1,0.004,0.004
OP,Online-Plattform,471,0.033711912444648,0.06394825229696749,3,5,0.006369426751592357,0.010615711252653927
