segmentcode,segment,n,pkrit_mean,punt_mean,domkrit_n,domunt_n,domkrit_anteil,domunt_anteil
B,Buch,500,0.05074985451161903,0.08577338997677697,12,16,0.024,0.032
LW,Literaturwettbewerb,394,0.04388163329858679,0.07379591489692448,3,8,0.007614213197969543,0.02030456852791878
LZ,Literaturzeitschrift,250,0.05506616570329648,0.08057700591553665,1,2,0.004,0.008
OP,Online-Plattform,471,0.033711912444648,0.06394825229696749,4,8,0.008492569002123142,0.016985138004246284
