"kategorie","n_verlage","sum_beteiligungen","hhi","top10_share","top10pct_share"
"definitiv Verlag (Name + Sachgruppe)",1494,7537,0.00518010577299879878,0.16598115961257794879,0.57171288310999071249
"Verlag laut Name (keine verlagsrelevante Sachgruppe)",717,1961,0.01052003096589512838,0.24222335543090260071,0.54309026007139214686
"Gesamt: definitiv + laut Name",2211,9498,0.00371034879127615877,0.13771320277953253316,0.57559486207622657402
