"person_id","person_name","debut_year","debut_segment","age_at_debut","under_30"
"P3959","Elste, Ulrich",2016,"B",NULL,NULL
"P3962","Elstermann, Annika",2023,"B",32,False
"P3963","Elstner, Matthias",2009,"B",54,False
"P3964","Elsässer, Lisa",2013,"B",62,False
"P3966","Elter, Natalie",2014,"OP",32,False
"P3968","Elting, Frederik",2016,"B",24,True
"P397","Anhalt, H. F. von",2017,"B",NULL,NULL
"P3970","Eltz-Hoffmann, Lieselotte von",2009,"B",88,False
"P3971","Elzenbaum, Margit von",2016,"B",66,False
"P3972","Em Huisken",2020,"B",66,False
"P3973","Embacher, Petra",2012,"B",56,False
"P3974","Emerald, Kaiden",2023,"B",NULL,NULL
"P3976","Emir",2008,"B",NULL,NULL
"P3977","Emler, Diana",2017,"B",NULL,NULL
"P3978","Emling, David",2022,"B",35,False
"P3979","Emmerich, Günter",2014,"B",65,False
"P398","Anhalt, Utz",2019,"B",48,False
"P3981","Emmerling, Christina",2016,"B",NULL,NULL
"P3983","Empl, Thomas",2021,"B",30,False
"P3984","Emrath, Deborah",2017,"B",41,False
"P3985","Emrich, P. A.",2020,"B",NULL,NULL
"P3986","Ems, T.B.",2016,"B",56,False
"P3987","Ende, Manfred",2021,"B",84,False
"P3988","Ende, Michael",2019,"B",90,False
"P399","Anhelm, Fritz Erich",2023,"B",79,False
"P3990","Ender, Klaus",2023,"B",NULL,NULL
"P3993","Enders, Lothar",2015,"B",69,False
"P3995","Endler, Karin",2020,"B",NULL,NULL
"P3997","Endlich, Ena",2023,"OP",NULL,NULL
"P3998","Endres, Christian",2009,"B",23,True
"P3999","Endres, Klaus",2009,"B",33,False
"P40","Aba, Devran",2018,"B",NULL,NULL
"P400","Ani, Friedrich",2010,"LW",51,False
"P4001","Engbarth, Gerhard",2023,"B",73,False
"P4003","Engebretsen, Claudia",2012,"B",67,False
"P4004","Engel, Andreas",2016,"B",NULL,NULL
"P4005","Engel, Andreas V.",2019,"B",50,False
"P4008","Engel, Enno",2015,"B",NULL,NULL
"P401","Anibas, Martin",2012,"B",NULL,NULL
"P4010","Engel, Frank",2022,"B",NULL,NULL
"P4012","Engel, Katharina",2008,"B",37,False
"P4013","Engel, Lucy",2020,"B",NULL,NULL
"P4014","Engel, Marcell",2022,"B",NULL,NULL
"P4015","Engel, Nadine",2020,"B",NULL,NULL
"P4017","Engel, Renée",2016,"B",NULL,NULL
"P4018","Engel, Ursula",2017,"B",NULL,NULL
"P4019","Engel, White",2014,"OP",16,True
"P4021","Engelbrecht, Ulli",2021,"B",64,False
"P4022","Engelhardt, Albert",2021,"B",70,False
"P4026","Engelke, Kai",2017,"B",71,False
"P4027","Engelken, Christian",2019,"B",54,False
"P4028","Engelmann, Andreas",2021,"B",NULL,NULL
"P4029","Engelmann, Anke",2021,"B",55,False
"P403","Anken, Cornelia Christina",2008,"B",41,False
"P4030","Engelmann, Edit",2011,"B",54,False
"P4032","Engelmann, Ralph",2020,"B",NULL,NULL
"P4036","Engert, Jonathan",2017,"B",26,True
"P4038","Engesser, Renate",2014,"B",63,False
"P4039","Engin-Deniz, Helga",2016,"B",75,False
"P404","Anker, Stefanie",2019,"B",33,False
"P4041","Engler, Leon",2022,"LW",33,False
"P4042","Engler, Michael",2014,"B",61,False
"P4044","Englert, Traute",2010,"B",79,False
"P4045","Englmeier, Hildegard",2009,"B",NULL,NULL
"P4046","Engmann, Birk",2022,"B",49,False
"P4047","Ennemoser, Albert",2015,"B",67,False
"P4048","Ens, Hermann",2017,"B",NULL,NULL
"P4050","Entchen, Kleines",2011,"OP",NULL,NULL
"P4052","Entz, Linda",2010,"B",34,False
"P4054","Enzensberger, Hans Magnus",2019,"B",90,False
"P4055","Enzensberger, Theresia",2019,"B",33,False
"P4056","Ené, Roxana",2020,"B",NULL,NULL
"P4057","Epp, Niklaus",2009,"LW",61,False
"P4058","Eppinger, Michael",2017,"B",65,False
"P406","Ankert, Torsten",2021,"B",NULL,NULL
"P4060","Equiamicus, Nicolaus",2018,"B",NULL,NULL
"P4061","Erat, Ruth",2023,"B",72,False
"P4064","Erb, Tanja",2022,"B",NULL,NULL
"P4065","Erbach, Michael",2012,"B",54,False
"P4066","Erbe, Egbert V. F.",2019,"B",NULL,NULL
"P4067","Erbler, Gertrud",2016,"B",78,False
"P4068","Erbring, Wolfgang",2009,"B",82,False
"P4069","Erckmann-Chatrian",2018,"B",NULL,NULL
"P407","Anlauf, Joachim",2022,"B",55,False
"P4071","Erdelen, Volker",2015,"B",55,False
"P4073","Erdic, Christine",2016,"B",NULL,NULL
"P4076","Erdmann, Christian M.",2022,"B",NULL,NULL
"P4078","Erdmann, Nadine",2021,"B",NULL,NULL
"P408","Anmar, Angelica",2009,"LZ",NULL,NULL
"P4080","Erdmann-Degenhardt, Antje",2014,"B",70,False
"P4081","Erepheus",2021,"B",NULL,NULL
"P4083","Ergang, Gesina",2023,"B",61,False
"P4084","Erge, Elli",2011,"B",91,False
"P4085","Erhardt, Heinz",2011,"B",102,False
"P4087","Erie, Lilienne",2022,"B",NULL,NULL
"P4088","Erikson, Katelyn",2018,"B",23,True
"P4089","Erk, Tom",2009,"B",55,False
"P409","Anna, Maria",2019,"B",NULL,NULL
"P4091","Erlay, David",2022,"B",82,False
"P4092","Erle, Michael",2022,"B",50,False
"P4093","Erlenwein, Peter",2022,"B",NULL,NULL
"P4094","Erler, Rainer",2014,"B",81,False
"P4095","Erler, Rosa",2012,"B",89,False
"P4097","Erni, Anton Heinrich",2014,"B",NULL,NULL
"P4098","Erni, Peter",2020,"B",NULL,NULL
"P4099","Ernst, Alexander",2022,"B",53,False
"P41","Abate, Anu",2021,"B",NULL,NULL
"P410","Anna, Pankratz",2019,"B",NULL,NULL
"P4100","Ernst, Andreas",2009,"B",47,False
"P4101","Ernst, Bernd",2013,"B",44,False
"P4103","Ernst, Gisela",2020,"B",NULL,NULL
"P4105","Ernst, Hans",2021,"B",117,False
"P4106","Ernst, Joseph Felix",2011,"LW",22,True
"P4107","Ernst, Paul",2012,"B",NULL,NULL
"P4108","Ernting, Bernd V.",2023,"B",75,False
"P4112","Erren, Richard",2017,"B",64,False
"P4113","Erretkamps, Heinz",2019,"B",NULL,NULL
"P4114","Error 404, Diana",2018,"OP",16,True
"P4115","Ertl, Clemens",2022,"B",32,False
"P4116","Ertle, Peter",2014,"B",52,False
"P4117","Ertlov, Ivan",2023,"B",45,False
"P4118","Ertmer, Cornelia",2023,"B",70,False
"P412","Anneke, Martina",2022,"B",NULL,NULL
"P4120","Ery, Rev",2016,"OP",NULL,NULL
"P4121","Esbardo, Emilio",2021,"B",NULL,NULL
"P4124","Eschbach, Andreas",2020,"B",61,False
"P4125","Esche, Frank",2008,"B",55,False
"P4126","Eschen, T. H.",2020,"B",NULL,NULL
"P4128","Eschenfelder, Christian Veit",2018,"B",31,False
"P413","Annel, Ingrid",2019,"B",64,False
"P4132","Eschlbeck, Sven",2017,"B",NULL,NULL
"P4135","Espek, Slaven",2020,"B",NULL,NULL
"P4137","Essa, Nahed al",2023,"B",NULL,NULL
"P4140","Essenwanger, Charly",2020,"B",NULL,NULL
"P4141","Essenwein, Peter",2016,"B",NULL,NULL
"P4142","Esser, Dieter",2022,"B",NULL,NULL
"P4143","Esser, Rolf",2022,"B",NULL,NULL
"P4144","Esser, Sabine",2020,"B",53,False
"P4145","Essig, Rolf-Bernhard",2014,"B",51,False
"P4146","Estenfeld-Kropp, Christa",2022,"B",75,False
"P4147","Estep, Jennifer",2020,"B",NULL,NULL
"P4148","Esterluß, Klaus",2020,"B",42,False
"P4149","Estis, Alexander",2017,"LZ",31,False
"P4151","Etolsch, Noiram",2019,"B",NULL,NULL
"P4152","Ettl, Peter Jeremy",2014,"B",60,False
"P4153","Etz, Elisabeth",2020,"B",41,False
"P4155","Etzkorn, Oliver",2016,"B",NULL,NULL
"P4156","Eugorisse-Urban, Susanne",2008,"B",38,False
"P4157","Eurydike",2010,"B",NULL,NULL
"P4158","Euteneuer, Pia",2016,"B",NULL,NULL
"P416","Annha, Chrys",2013,"B",NULL,NULL
"P4160","Eva Brune, Eva",2022,"B",54,False
"P4161","Eva-Lisa",2023,"B",NULL,NULL
"P4162","Evang-Lorenz, Holger",2017,"B",61,False
"P4165","Evans, Jeany",2021,"OP",NULL,NULL
"P4166","Evelyne, Severing",2023,"B",50,False
"P4167","Evers, Horst",2019,"B",52,False
"P4169","Everts, Evert",2021,"B",80,False
"P417","Anonym, Unbekannt",2022,"B",NULL,NULL
"P4171","Ewald, Carl",2021,"B",NULL,NULL
"P4172","Ewald, Elke",2015,"B",72,False
"P4175","Ewering, Petra",2021,"B",NULL,NULL
"P4176","Ewers, Hanns Heinz",2014,"B",143,False
"P4178","Ewilan, Svea",2018,"OP",18,True
"P4179","Excell, Wingfighter",2013,"OP",NULL,NULL
"P418","Anselm, Doris",2014,"LW",33,False
"P4180","Exner, Bastian",2019,"B",36,False
"P4182","Exner, Katrin",2023,"B",NULL,NULL
"P4183","Exter, Torsten",2015,"B",NULL,NULL
"P4184","Eyb-Green, Sigrid",2018,"LW",44,False
"P4187","Eydt, Christoph",2019,"B",34,False
"P4188","Eyer, Nicolas",2015,"B",29,True
"P4189","Eyes, Quecksilver",2011,"OP",13,True
"P419","Ansermoz, Jean-Pascal",2011,"B",37,False
"P4190","Eßer, Angela",2022,"B",62,False
"P4191","Eßer, Paul",2009,"B",70,False
"P4193","F, Felix",2009,"B",NULL,NULL
"P4194","F., Gina",2022,"B",NULL,NULL
"P4195","F......., Tom",2015,"OP",19,True
"P4196","FONDUE, erdbeerchen",2012,"OP",NULL,NULL
"P4198","Faber, Elmar",2009,"B",75,False
"P42","Abdel-Aziz, Mohamed",2022,"B",77,False
"P420","Ansing, Marco",2017,"B",NULL,NULL
"P4200","Faber, Laura",2011,"B",NULL,NULL
"P4201","Faber, Peter",2014,"B",114,False
"P4202","Faber, Sarah",2019,"B",30,False
"P4203","Fabian, Wolfgang",2008,"B",49,False
