"ausgabevonliteraturzeitschrift","avg_ke","n_hefte","h1b_abs_erfuellt"
"Das GRAMM",1.000,18,False
"Sinn und Form",1.611,54,False
"Sprache im technischen Zeitalter (Spr.i.t.Z.)",2.978,46,True
