"plattform_name","anzahl_ke","anzahl_texte_gesamt","anteil_ke_in_prozent"
"e-Stories*",40000,250000,16.00
"Wortkrieger",33730,40354,83.59
"Wattpad",27000,NULL,NULL
"Leselupe.de",13960,84523,16.52
"Fanfiktion.de",12050,628641,1.92
"Royal Road",8458,NULL,NULL
"WebStories",5210,16990,30.67
"StoryApp",1000,1000,100.00
"smartstorys.at",918,918,100.00
"Tacheles",421,19248,2.19
"Musengarten",165,NULL,NULL
