"kategorie","n_einmalig","n_selten","n_gelegentlich","n_regelmaessig","n_haeufig"
"Literaturferne Koerperschaften (ungewichtet)",104,18,1,0,0
"Literaturferne Koerperschaften (gewichtet)",82,23,6,3,9
