"kategorie","n_einmalig","n_selten","n_gelegentlich","n_regelmaessig","n_haeufig"
"definitiv Verlag (Name + Sachgruppe)",668,514,152,47,90
"Verlag laut Name (keine verlagsrelevante Sachgruppe)",478,182,29,14,12
"Gesamt: definitiv + wahrsch. Verlage",1146,696,181,61,102
