konsekr_id;jahr;preis;autor_name;person_id;buch
k206;2005;Kleist-Preis;Jonke, Gert;;
k208;2007;Kleist-Preis;Genazino, Wilhelm;;
k209;2008;Kleist-Preis;Goldt, Max;;
k213;2012;Kleist-Preis;Kermani, Navid;;
k217;2016;Kleist-Preis;Tawada, Yōko;;
k223;2023;Kleist-Preis;Kunst, Thomas;;
k178;2022;SL Deutscher Buchpreis;Aydemir, Fatma;P622;Dschinns
k13;1964;Georg-Büchner-Preis;Bachmann, Ingeborg;P675;
k19;1970;Georg-Büchner-Preis;Bernhard, Thomas;P1364;
k65;2016;Georg-Büchner-Preis;Beyer, Marcel;P1438;
k215;2014;Kleist-Preis;Beyer, Marcel;P1438;
k155;2018;SL Deutscher Buchpreis;Biller, Maxim;P1509;Sechs Koffer
k166;2020;SL Deutscher Buchpreis;Bjerg, Bov;P1580;Serpentinen
k124;2013;SL Deutscher Buchpreis;Bonné, Mirko;P1816;Nie mehr Nacht
k112;2011;SL Deutscher Buchpreis;Brandt, Jan;P1975;Gegen die Welt
k49;2000;Georg-Büchner-Preis;Braun, Volker;P2011;
k113;2011;SL Deutscher Buchpreis;Buselmeier, Michael;P2403;Wunsiedel
k68;2019;Georg-Büchner-Preis;Bärfuss, Lukas;P2446;
k16;1967;Georg-Büchner-Preis;Böll, Heinrich;P2503;
k94;2008;SL Deutscher Buchpreis;Dath, Dietmar;P3088;Die Abschaffung der Arten
k167;2020;SL Deutscher Buchpreis;Elmiger, Dorothee;P3489;Aus der Zuckerfabrik
k37;1988;Georg-Büchner-Preis;Drach, Albert;P3510;
k180;2022;SL Deutscher Buchpreis;Dröscher, Daniela;P3583;Lügen über meine Mutter
k35;1986;Georg-Büchner-Preis;Dürrenmatt, Friedrich;P3696;
k160;2019;SL Deutscher Buchpreis;Edelbauer, Raphaela;P3762;Das flüssige Land
k8;1959;Georg-Büchner-Preis;Eich, Günter;P3846;
k12;1963;Georg-Büchner-Preis;Enzensberger, Hans Magnus;P4054;
k136;2015;SL Deutscher Buchpreis;Erpenbeck, Jenny;P4111;Gehen, ging, gegangen
k95;2008;SL Deutscher Buchpreis;Fatah, Sherko;P4264;Das dunkle Schiff
k87;2007;Deutscher Buchpreis;Franck, Julia;P4664;Die Mittagsfrau
k7;1958;Georg-Büchner-Preis;Frisch, Max;P4846;
k75;2005;Deutscher Buchpreis;Geiger, Arno;P5183;Es geht uns gut
k88;2007;SL Deutscher Buchpreis;Glavinic, Thomas;P5403;Das bin doch ich
k14;1965;Georg-Büchner-Preis;Grass, Günter;P5604;
k44;1995;Georg-Büchner-Preis;Grünbein, Durs;P5886;
