"person_name","n_verfasserbeteiligungen"
"Schirach, Ferdinand von",14
"Schulze, Ingo",9
"Kästner, Erich",8
"Meyer, Clemens",8
"Rothmann, Ralf",7
"Schnurre, Wolfdietrich",7
"Seiler, Lutz",7
"Bernhard, Thomas",6
"Böll, Heinrich",6
"Setz, Clemens J.",6
"Braun, Volker",5
"Kehlmann, Daniel",5
"Schädlich, Hans Joachim",5
"Biller, Maxim",4
"Hermann, Judith",4
"Köhlmeier, Michael",4
"Kronauer, Brigitte",4
"Stanišić, Saša",4
"Bjerg, Bov",3
"Dröscher, Daniela",3
