"publikationssegment","totalkoerperschaften","nurverlage","anteilverlage"
"Buch","16381","9780","59.70331481594530248500"
"Literaturwettbewerb","49","2","4.08163265306122449000"
"Literaturzeitschrift","68","27","39.70588235294117647100"
"Plattform Internet","6","1","16.66666666666666666700"
