"kategorie","n_verlage","sum_beteiligungen","hhi","top10_share","top10pct_share"
"definitiv Verlag (Name + Sachgruppe)",1494,7343,0.00527011961817481416,0.16900449407599073948,0.56638975895410595125
"Verlag laut Name (keine verlagsrelevante Sachgruppe)",717,1829,0.01140874454187306684,0.25697102241662110443,0.52433023510114816840
"Gesamt: definitiv + laut Name",2211,9172,0.00383150980562583673,0.14151766245093763628,0.57075883122546881814
