"kategorie","anzahl","n_verfasserbeteiligungen","avg_verfasserbeteiligungen_pro_autor"
"GND-Autor*innen mit Verfasserrolle im Korpus",5923,9754,1.65
"Konsekrierte Autor*innen mit Verfasserrolle im Korpus",84,214,2.55
