"publikationsjahr","anzahl_der_buecher"
2005,3
2008,942
2009,869
2010,896
2011,982
2012,873
2013,923
2014,899
2015,808
2016,907
2017,895
2018,1092
2019,1220
2020,1443
2021,1337
2022,1361
2023,1405
NULL,1
