"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P3144","Demirel, Molla","Buch","VerfasserIn Buch","9783945177778",2020
"P3036","Daschek, Bernd","Buch","Sonstige Rolle Buch","9783940582683",2014
"P6315","Hansen, Thomas Sönke","Buch","VerfasserIn Buch","9783842383241",2012
"P11654","Michaelis, K.D.","Buch","Unklare Rolle Buch","9783749483785",2019
"P14459","Rohrmann, Uta","Buch","VerfasserIn Buch","9783775150859",2009
"P8847","Klewer, Detlef","Buch","Sonstige Rolle Buch","9783944284224",2013
"P11487","Meißner, Regina","Buch","VerfasserIn Buch","9783906829326",2017
"P15529","Schmidt, Thomas","Buch","VerfasserIn Buch","9783845910345",2013
"P4989","Gaensheimer, Susanne","Buch","HerausgeberIn Buch","9783943407204",2013
"P1747","Boger, Silke","Buch","VerfasserIn Buch","9783981767803",2015
"P1150","Bekker, Alfred","Buch","Unklare Rolle Buch","9783753124995",2020
"P19307","Wienpahl, Andreas","Buch","Sonstige Rolle Buch","9783942229326",2011
"P9634","Kuritko, Andrea","Buch","VerfasserIn Buch","9783981640694",2016
"P17509","Stützer, Sarina","Buch","VerfasserIn Buch","9783981648157",2016
"P5881","Gungl, Petra K.","Buch","VerfasserIn Buch","9783941935914",2022
"P9000","Koch, Florian","Buch","VerfasserIn Buch","9783949345326",2023
"P914","Bauer, Karlheinz","Buch","VerfasserIn Buch","9783946820093",2017
"P8926","Knaak, Heike","Buch","Sonstige Rolle Buch","9783944284163",2013
"P13660","Pugmire, W. H.","Buch","VerfasserIn Buch","9783756553280",2022
"P7228","Hoffmeister, Lena","Buch","VerfasserIn Buch","9783957202499",2019
"P10540","Lipp, Manfred","Buch","Sonstige Rolle Buch","9783957200716",2015
"P6173","Hagspiel, Linda","Buch","VerfasserIn Buch","9783347119802",2020
"P17221","Stieglitz, Olaf","Buch","VerfasserIn Buch","9783946381495",2018
"P18688","Waldkirch &lt","Buch","Unklare Rolle Buch","9783000361586",2011
"P13242","Pfeffer, Paul","Buch","HerausgeberIn Buch","9783981840506",2016
"P682","Bachmann, Ladina G.","Buch","Sonstige Rolle Buch","9783858940179",2010
"P11921","Morper, Hans","Buch","VerfasserIn Buch","9783898891790",2012
"P655","Baar, Adrian","Buch","Unklare Rolle Buch","9783596307012",2016
"P8450","Keib, Johann","Buch","VerfasserIn Buch","9783939995685",2008
"P5784","Grzeschista, Maria","Buch","VerfasserIn Buch","9783940830791",2018
"P6475","Hauff, Wilhelm","Buch","VerfasserIn Buch","9789549640724",2016
"P15076","Schade, Heidi","Buch","VerfasserIn Buch","9783660778229",2014
"P4843","Frömmig, Peter","Buch","VerfasserIn Buch","9783863560669",2013
"P6135","Hadwiger, Heinz-Helmut","Buch","VerfasserIn Buch","9783957203182",2021
"P9129","Konrad, Cosima","Buch","Sonstige Rolle Buch","9783944284231",2013
"P2382","Busse, Chantal","Buch","Sonstige Rolle Buch","9783942637701",2015
"P18362","Variz, Vaire J.","Buch","VerfasserIn Buch","9783957202611",2019
"P19252","Wick, Dieter","Buch","VerfasserIn Buch","9783867036986",2008
"P7305","Hollmann, Tanja","Buch","Sonstige Rolle Buch","9783845903644",2012
"P17288","Stolzenberger, Günter","Buch","HerausgeberIn Buch","9783411160327",2014
"P3888","Ellmer, Arndt","Buch","Sonstige Rolle Buch","9783940036094",2011
"P9204","Kotrus, Susanne","Buch","VerfasserIn Buch","9783347119802",2020
"P949","Baumbach, Hannah","Buch","VerfasserIn Buch","9783868705041",2012
"P17194","Sternheim, Carl","Buch","VerfasserIn Buch","9783956210860",2013
"P4912","Funke-Johannsen, Silke","Buch","VerfasserIn Buch","9783939564157",2012
"P9335","Krauß, Barbara","Buch","VerlegerIn Buch","9783000318016",2010
"P13069","Pawlak, Martina","Buch","Sonstige Rolle Buch","9783941809147",2013
"P15229","Scherschel-Peters, Susann","Buch","Sonstige Rolle Buch","9783957201317",2015
"P18124","Tschechow, Anton","Buch","Unklare Rolle Buch","9783947618828",2019
"P2452","Böhm, Heidrun","Buch","Sonstige Rolle Buch","9783863320348",2015
"P3588","Döll, Alexandra","Buch","Unklare Rolle Buch","9783842384613",2011
"P7905","Janstein, Elisabeth","Buch","VerfasserIn Buch","9783943117127",2021
"P9732","Köhler, Kareen","Literaturwettbewerb Ausgabe","GewinnerIn","WA22",2011
"P13715","Püttmann, Detlef","Buch","Sonstige Rolle Buch","9783981292626",2011
"P17550","Suska-Zerbes, Peter","Buch","Sonstige Rolle Buch","9783942229531",2011
"P1413","Betz, Esther","Buch","VerfasserIn Buch","9783874484824",2017
"P14425","Rodgers, Davina","Literaturwettbewerb Ausgabe","Jurymitglied","WA165",2016
"P511","Arnhold, Cornelia","Buch","Unklare Rolle Buch","9783596304806",2015
"P5950","Göbel, Sibylle","Buch","HerausgeberIn Buch","9783884236390",2020
"P10756","Lupo, Maria van","Buch","VerfasserIn Buch","9783837205848",2009
"P15776","Schossig, Gabriele","Buch","Unklare Rolle Buch","9783749484720",2019
"P18535","Vonlanthen, Isabelle","Literaturwettbewerb Ausgabe","Jurymitglied","WA131",2013
"P8487","Keller, Ulrike","Buch","VerfasserIn Buch","9783944109572",2022
"P6658","Heinen, Markus","Buch","Sonstige Rolle Buch","9783942229913",2013
"P6763","Helmreich, Josef","Buch","Sonstige Rolle Buch","9783942229562",2012
"P2354","Burmeister, Saskia V.","Buch","Sonstige Rolle Buch","9783957200686",2015
"P1951","Brandt, Anke","Buch","VerfasserIn Buch","9783962860486",2023
"P211","Albrecht, Andrea","Buch","Sonstige Rolle Buch","9783939935971",2016
"P17550","Suska-Zerbes, Peter","Buch","Sonstige Rolle Buch","9783863320157",2012
"P2198","Bruskolini, Oliver","Buch","VerfasserIn Buch","9783957202437",2018
