"person_name","n_verfasserbeteiligungen"
"Schirach, Ferdinand von",14
"Schulze, Ingo",9
"Meyer, Clemens",8
"Rothmann, Ralf",7
"Seiler, Lutz",7
"Setz, Clemens J.",6
"Braun, Volker",5
"Kehlmann, Daniel",5
"Schädlich, Hans Joachim",5
"Biller, Maxim",4
"Hermann, Judith",4
"Köhlmeier, Michael",4
"Kronauer, Brigitte",4
"Stanišić, Saša",4
"Bjerg, Bov",3
"Dröscher, Daniela",3
"Grünbein, Durs",3
"Helfer, Monika",3
"Özdamar, Emine Sevgi",3
"Stadler, Arnold",3
