"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Best-Off-Verlag","BEST-Off-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Beurenia-Verl. Joos","Beurenia-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Beyond-Affinity-Verl.","Beyond Affinity Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Biberacher Verlagsdruckerei","Biberacher Verlagsdruckerei","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Biberacher Verlagsdruckerei GmbH & Co. KG","Biberacher Verlagsdruckerei","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Bibliothek der Provinz GmbH","Verlag Bibliothek der Provinz","Buchwissenschaft, Buchhandel","Verlag"
"Bild und Heimat","Verlag Bild und Heimat","Buchwissenschaft, Buchhandel","Verlag"
"Birkhäuser","Birkhäuser (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Birnbaum","Birnbaum Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Black Library","Black Library","Buchwissenschaft, Buchhandel",NULL
"Blaetterhaus","blaetterhaus","Buchwissenschaft, Buchhandel",NULL
"Blanvalet","Blanvalet-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Blatt-Verl.","BLATT-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Blattlaus Verlag","Blattlaus GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Blattlaus-Verlag","Blattlaus GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Blauer Punkt Verlag Fasson M","Blauer Punkt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Blaukreuz-Verlag","Blaukreuz-Verlag Bern","Buchwissenschaft, Buchhandel","Verlag"
"Blaulicht-Verlag","Blaulicht-Verlag GbR","Buchwissenschaft, Buchhandel","Verlag"
"Blue Panther Books","blue panther books oHG","Buchwissenschaft, Buchhandel","Unternehmen"
"BlueStar-Verl.","BlueStar Verlag & Vertrieb e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Blumenbar-Verl.","Blumenbar ein Imprint der Aufbau Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"BoD - Books on Demand","Books on Demand GmbH","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Unternehmen"
"Bock + Herchen","Bock + Herchen Verlag Inh. K. H. Bock","Buchwissenschaft, Buchhandel","Verlag"
"Bodner","Bodner Buchhandlung und Vlg.","Buchwissenschaft, Buchhandel","Buchhandlung"
"Boje","Boje Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Boldt-Literaturverl.","Hans Boldt Literaturverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Bonifatius","Bonifatius GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"BookRix GmbH & Co. KG","BookRix GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"Bookspot-Verl.","Bookspot Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Bouvier Verlag","Bouvier-Verlag Herbert Grundmann","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Bovis-Verl.","Bovis-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Boxan","Boxan-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Brack Verlag","Brack Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Brandenburgische Genealogische Ges. Roter Adler","Brandenburgische Genealogische Gesellschaft Roter Adler","Buchwissenschaft, Buchhandel","Gemeinschaft"
"Brandes","Verlag Renate Brandes","Buchwissenschaft, Buchhandel","Verlag"
"Brandes & Apsel","Brandes & Apsel Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Brandstätter Verlag","Thiele & Brandstätter Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Braumüller GmbH","Braumüller GmbH braumüller literaturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Bremer Tageszeitungen AG","Bremer Tageszeitungen AG","Buchwissenschaft, Buchhandel",NULL
"Brendle","Christine Brendle (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Brendow Verlag","Joh. Brendow & Sohn Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Brighton Verlag","Brighton Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Brinkmann & Bose","Brinkmann & Bose","Buchwissenschaft, Buchhandel",NULL
"Brockhaus","SCM R. Brockhaus (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Brockmeyer Verlag","Universitätsverlag Brockmeyer","Buchwissenschaft, Buchhandel","Verlag"
"Brune-Mettcker Druck- und Verlags-GmbH","Brune-Mettcker Druck- und Verlagsgesellschaft mbH","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Brunnen Verlag","Brunnen Verlag (Gießen)","Buchwissenschaft, Buchhandel","Verlag"
"Brunner Medien AG","Brunner Medien AG","Buchwissenschaft, Buchhandel",NULL
"Buch & Media","Buch & Media GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Buch&Media","Buch & Media GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Buch- und Kunstverlag Oberpfalz","Buch- & Kunstverlag Oberpfalz Zweign. v. Der neue Tag Oberpfälzischer Kurier Druck- und Verlagshaus GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Buch-Verl. Kempen","BVK Buch Verlag Kempen GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Buch.Macher","buch.macher autoren.verlag","Buchwissenschaft, Buchhandel","Verlag"
"BuchHaus-Verl.","Buchhaus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"BuchVerlag Leipzig GmbH","BuchVerlag Leipzig","Buchwissenschaft, Buchhandel","Verlag"
"BuchWerkstatt Berlin","Buchwerkstatt Berlin","Buchwissenschaft, Buchhandel",NULL
"Bucher Verlag GmbH","Bucher Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Buchhandlung Beim Augarten","Buchhandlung Beim Augarten","Buchwissenschaft, Buchhandel","Buchhandlung"
"Buchhandlung Grimpe","Buchhandlung Grimpe","Buchwissenschaft, Buchhandel","Buchhandlung"
"Buchkontor Teltow","Buchkontor Teltow","Buchwissenschaft, Buchhandel",NULL
"Buchlader","Buchlader","Buchwissenschaft, Buchhandel",NULL
"Buchmodul.ch","Buchmodul.ch, Zumsteg Druck AG","Buchwissenschaft, Buchhandel","Druckerei"
"Buchwerkstatt","Buchwerkstatt Berlin","Buchwissenschaft, Buchhandel",NULL
"Burg Verlag","Burg Verlag (Rehau)","Buchwissenschaft, Buchhandel","Verlag"
"Burgenländisch-Hianzische Gesellschaft","Burgenländisch Hianzische Gesellschaft Hianzenverein","Buchwissenschaft, Buchhandel","Verein"
"Burgenwelt Verlag","Burgenwelt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Burghügelverl.","BURGHÜGELVERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Burkana-Verl.","BurkanaVerlag","Buchwissenschaft, Buchhandel","Verlag"
"Butze","Butze Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Butzon & Bercker","Butzon und Bercker GmbH (Kevelaer)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks; Papierherstellung, Grafische Technik","Unternehmen"
"Bäßler","hendrik Bäßler verlag","Buchwissenschaft, Buchhandel","Verlag"
"Böhland & Schremmer Verlag","Dorothea Böhland u. Dr. Michael Schremmer","Buchwissenschaft, Buchhandel",NULL
"Böhlau-Verlag","Böhlau-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ed. A","edition a GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Büchergilde Gutenberg","Büchergilde Gutenberg Verlagsgesellschaft","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Büchner","Büchner-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Büchner-Verlag","Büchner-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Büchse der Pandora","Büchse der Pandora Verlags-GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Büro Wilhelm Verlag","Büro Wilhelm. Verlag","Buchwissenschaft, Buchhandel","Verlag"
"C. Bertelsmann","C.-Bertelsmann-Verlag (München)","Buchwissenschaft, Buchhandel","Verlag"
"C.F. Portmann Verlag","C.F. Portmann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"C.H. Beck","Verlag C.H. Beck","Buchwissenschaft, Buchhandel","Verlag"
"C.W. Leske Verlag","C.W. Leske Verlag","Buchwissenschaft, Buchhandel","Verlag"
"CARDAMINA VERLAG Susanne Breuel","Cardamina Verlag","Buchwissenschaft, Buchhandel","Verlag"
"CAT creativ + Papierfresserchens MTM-Verlag","Papierfresserchens MTM-Verlag GbR","Buchwissenschaft, Buchhandel","Verlag"
"CINDIGO","CindigoFilm GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"CLV, Christliche Literatur-Verbreitung","Christliche Literatur-Verbreitung e.V.","Katechetik, Christliche Erziehung, Kirchliche Bildungsarbeit; Buchwissenschaft, Buchhandel","Verein"
"CM Medienverlag","CM Medienverlag Inh. Christoph Morré","Buchwissenschaft, Buchhandel","Verlag"
