"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"K1697","LIJEPA RIJEČ",NULL,NULL,NULL
"K1701","LV-Buch",NULL,NULL,NULL
"K1702","LVZ","LVZ-Bäckerei",NULL,NULL
"K1705","Lago Imago",NULL,NULL,NULL
"K1712","Landeshauptstadt Klagenfurt","Handelsgenossenschaft der Landeshauptstadt Klagenfurt",NULL,NULL
"K1715","Landkreis Barnim","Landkreis Barnim. Kreistag",NULL,"Gemeinschaft"
"K1721","Language Practice Publishing",NULL,NULL,NULL
"K1723","Lardon Media",NULL,NULL,NULL
"K1728","Laufen","Papiermühle Laufen (Laufen, Eyach)","Einzelne Branchen der Industrie und des Handwerks; Papierherstellung, Grafische Technik",NULL
"K1734","Lava","Lava","Musik (Allgemeines), Musikgeschichte",NULL
"K1736","Laßleben","Laßleben",NULL,NULL
"K1738","Lebenshilfe Bremen e.V.","Lebenshilfe Bremen","Sozialarbeit, Sozialhilfe",NULL
"K1739","Lebenskind Publishing",NULL,NULL,NULL
"K1741","Leffotraks Labyrinthe",NULL,NULL,NULL
"K1742","Legionarion",NULL,NULL,NULL
"K1757","Lentner",NULL,NULL,NULL
"K1762","Lese-Zeichen e.V.","Lese-Zeichen e.V.",NULL,"Verein"
"K1767","Lesezeichen, Schreibzirkel",NULL,NULL,NULL
"K1768","Letterotik",NULL,NULL,NULL
"K1771","Levia Ortega c/o Papyrus Autoren-Club",NULL,NULL,"Gemeinschaft"
"K1776","Libretto","Libretto Antiquariat",NULL,NULL
"K1782","Lichtungen – Verein für Literatur & Kunst",NULL,NULL,"Verein"
"K1784","Liebe",NULL,NULL,NULL
"K1789","Lilly M. Beck c/o Autorenglück.de",NULL,NULL,NULL
"K1792","Lindemanns",NULL,NULL,NULL
"K1797","Lit","Lit","Musik (Allgemeines), Musikgeschichte",NULL
"K1798","LitArt-World",NULL,NULL,NULL
"K1800","Litera Eurasia",NULL,NULL,NULL
"K1801","LiteraFreakPress",NULL,NULL,NULL
"K1802","Literareon",NULL,NULL,NULL
"K1803","Literaricum GmbH",NULL,NULL,"Unternehmen"
"K1810","Literatur Verein e.V., Linzgau","Linzgau Literatur Verein",NULL,"Verein"
"K1812","Literatur und Bildende Kunst Bad Salzdetfurth und Umgebung e.V.","Literatur und Bildende Kunst Bad Salzdetfurth und Umgebung e.V.",NULL,"Verein"
"K1814","LiteraturWissenschaft.de",NULL,NULL,NULL
"K1817","Literaturhaus  und  Museumsges.",NULL,NULL,NULL
"K1820","Literaturhaus Salzburg","Literaturhaus (Salzburg)",NULL,NULL
"K1822","Literaturhaus e.V",NULL,NULL,NULL
"K1824","Literaturkreis PromOtheus","Literaturkreis PromOtheus",NULL,"Gemeinschaft"
"K1825","Literaturpodium","Literaturpodium","Einzelne Branchen der Industrie und des Handwerks",NULL
"K1826","Literaturverein EDIT e. V.","Literaturverein Edit",NULL,"Verein"
"K1828","Literaturwerkstatt Berlin","Literaturwerkstatt Berlin",NULL,NULL
"K1829","Litopian e.V., Literarischer Förderverein",NULL,NULL,"Verein"
"K1831","LizzyNet gGmbH","LizzyNet GmbH (Köln)","Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"K1833","Loeven",NULL,NULL,NULL
"K1839","Lontar","Lontar Foundation",NULL,NULL
"K1843","Low",NULL,NULL,NULL
"K1853","Lux, Christian",NULL,NULL,NULL
"K1858","Lysandra Books",NULL,NULL,NULL
"K1863","Lößnitz : GUC",NULL,NULL,NULL
"K1867","M. K. E. Brandl",NULL,NULL,NULL
"K1868","M. Porta",NULL,NULL,NULL
"K1869","M. Schreckenberg, K. @Völlmicke und M. @Lamprecht",NULL,NULL,NULL
"K1870","M. Zaffarana",NULL,NULL,NULL
"K1872","M.A.C Medien Agentur Czellnik",NULL,NULL,NULL
"K1877","MAM","Mam","Musik (Allgemeines), Musikgeschichte",NULL
"K1878","MBS (Mijnbestseller Nederland B.V.)",NULL,NULL,NULL
"K1881","MONS","Mons",NULL,NULL
"K1884","MSC",NULL,NULL,NULL
"K1885","MTA",NULL,NULL,NULL
"K1892","Magazin SchreibRÄUME",NULL,NULL,NULL
"K1896","Mainz",NULL,NULL,NULL
"K1898","Maiwald",NULL,NULL,NULL
"K1917","Marsam",NULL,NULL,NULL
"K1918","Marsilius","Marsilius-Kolleg","Wissenschaft",NULL
"K1934","Mayer",NULL,NULL,NULL
"K1949","Mercator","Mercator-Gesellschaft","Geografie, Heimat- und Länderkunde (Allgemeines); Brauchtum, Volksglaube; Gruppe, Organisationssoziologie, Interaktion; Geschichte (Allgemeines)","Gemeinschaft"
"K1955","Merziger-Pleban",NULL,NULL,NULL
"K1958","Methusalem","Methusalem","Musik (Allgemeines), Musikgeschichte",NULL
"K1960","Meyer & Meyer","Meyer & Meyer",NULL,NULL
"K1961","Meyer & Meyer Verlag","Meyer & Meyer",NULL,NULL
"K1962","Michael Düthorn",NULL,NULL,NULL
"K1963","Michael, Schneider",NULL,NULL,NULL
"K1973","Milke, Natalie",NULL,NULL,NULL
"K1977","Ministère de l'education nationale et de la formation professionnelle","Ministère de l'Education Nationale et de la Formation Professionnelle",NULL,NULL
"K1981","Mission Ost-West","Mission Ost-West e.V.",NULL,"Verein"
"K1984","Mitten im Dorf",NULL,NULL,NULL
"K1987","MobB e.V. c/o Jenaer Sprachverwender",NULL,NULL,"Verein"
"K1990","Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.",NULL,NULL,"Verein"
"K1995","Mohorjeva Hermagoras","Private Volksschule Hermagoras-Mohorjeva","Schule","Bildungseinrichtung"
"K2123","Otto",NULL,NULL,NULL
"K2018","Muravidék Baráti Kör Kulturális Egyesület","Muravidék Baráti Kör Kulturális Egyesület",NULL,NULL
"K2020","Museum.BL","Museum.BL","Archiv, Museum",NULL
"K2023","Mymorawa von Morawa Lesezirkel GmbH","myMorawa",NULL,NULL
"K2025","Möcker","Voigt & Mocker",NULL,NULL
"K2028","Mösche","Kölsche Mösche","Musik (Allgemeines), Musikgeschichte",NULL
"K2030","Müller",NULL,NULL,NULL
"K2032","N. Mayr",NULL,NULL,NULL
"K2037","NWM",NULL,NULL,NULL
"K2038","Nacke","Hof Nacke","Rechtsgeschichte, Verfassungsgeschichte: Mittelalter; Landwirtschaft allgemein",NULL
"K2044","Natalie Rabengut, Black Umbrella Publishing",NULL,NULL,NULL
"K2050","Neopubli",NULL,NULL,NULL
"K2060","Neumann-Neudamm","Neumann - Neudamm gmbh (Melsungen)",NULL,"Unternehmen"
"K2066","Niedersachsen-Dr.",NULL,NULL,NULL
"K2068","Nikol","Arbeitsgruppe NIKOL",NULL,"Gemeinschaft"
"K2073","NordStern",NULL,NULL,NULL
"K2076","Not Yet Media LTD",NULL,NULL,NULL
"K2078","Nova MD","Nova Pharmaceutical Corporation (Baltimore, Md.)",NULL,NULL
"K2082","OCM GmbH",NULL,NULL,"Unternehmen"
"K2087","OVIS Deutschland GmbH",NULL,NULL,"Unternehmen"
"K2092","Oberschlesisches Eichendorff-Kultur- und Begegnungszentrum","Górnośla̜skie Centrum Kultury i Spotkań Im. Eichendorffa w Łubowicach",NULL,NULL
"K2093","Oculus Kreativ",NULL,NULL,NULL
"K2102","Oldenburg e.V., Leseforum","Leseforum Oldenburg",NULL,"Gemeinschaft"
"K2106","Olms-Weidmann",NULL,NULL,NULL
"K2114","Ornament",NULL,NULL,NULL
"K2115","Ortsmuseum Binningen","Ortsmuseum Binningen",NULL,NULL
"K2117","Oschinger, Wolfgang",NULL,NULL,NULL
"K2122","Osttiroler Bote Medienunternehmen Ges.m.b.H.","Osttiroler Bote","Presse",NULL
"K2127","P & B",NULL,NULL,NULL
"K2130","PIDAX",NULL,NULL,NULL
"K2132","PODIUM – Literaturkreis Schloss Neulengbach",NULL,NULL,"Gemeinschaft"
"K2134","PRO LYRICA","Stiftung Pro Lyrica",NULL,NULL
"K2135","PRONG PRESS","Prong Press",NULL,NULL
"K2142","Pallina, B.",NULL,NULL,NULL
"K2152","Papermoon","Papermoon","Musik (Allgemeines), Musikgeschichte",NULL
"K2159","Parlez",NULL,NULL,NULL
"K2175","Pectus",NULL,NULL,NULL
"K2179","Pendragon","Pendragon","Musik (Allgemeines), Musikgeschichte",NULL
"K2182","Pensieri&Confronti Editore",NULL,NULL,NULL
"K2184","PerNi Publishing Unlimited",NULL,NULL,NULL
"K2192","Petri","Petri-Presse",NULL,NULL
"K2193","Petrus",NULL,NULL,NULL
"K2208","Plan9",NULL,NULL,NULL
"K2210","Plaza",NULL,NULL,NULL
"K2211","Plöchl",NULL,NULL,NULL
"K2216","Polarise",NULL,NULL,NULL
"K2220","Portmann",NULL,NULL,NULL
"K2224","Preface Book",NULL,NULL,NULL
"K2226","Pressel","Pressel & Kusch",NULL,NULL
"K2238","Pro Lyrica Grundversorgung",NULL,NULL,NULL
"K2242","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus",NULL,NULL
"K2243","Progressing-Your-Ideas-GmbH",NULL,NULL,"Unternehmen"
"K2252","Publ.-Textgemeinschaft","Textgemeinschaft Publikationen",NULL,"Gemeinschaft"
"K2254","Publishing, TORRO Kids",NULL,NULL,NULL
"K2256","Puppen und Masken","Puppen und Masken","Einzelne Branchen der Industrie und des Handwerks",NULL
"K2257","Puput Books",NULL,NULL,NULL
"K2260","Pädagogische Forschungsstelle beim Bund der Freien Waldorfschulen","Pädagogische Forschungsstelle beim Bund der Freien Waldorfschulen",NULL,"Bildungseinrichtung"
"K2261","Péter Pál Meleghy",NULL,NULL,NULL
"K2263","Qindie","Qindie (Autorenkollektiv)",NULL,"Gemeinschaft"
"K2267","Quartierverein Riesbach","Quartierverein Riesbach",NULL,"Verein"
"K2275","Quiqueg",NULL,NULL,NULL
"K2277","R. Hartmann","Rudolph Hartmann (Leipzig)",NULL,NULL
"K2278","R. Schley",NULL,NULL,NULL
"K2282","REGIA-CO-WORK",NULL,NULL,NULL
"K2283","RISSE e.V.","Risse, Verein zur Förderung Neuer Literatur in Mecklenburg-Vorpommern",NULL,"Verein"
"K2289","Raiffeisenbank Baden","Raiffeisenbank (Sandweier, Baden-Baden)","Einzelne Branchen der Industrie und des Handwerks",NULL
"K2292","Randexistenz",NULL,NULL,NULL
"K2294","Rasch",NULL,NULL,NULL
"K2295","Rathke",NULL,NULL,NULL
"K2297","Rauch",NULL,NULL,NULL
"K2299","Raum Italic","RAUM Italic | SPAZIO Corsivo",NULL,NULL
"K2303","Reche","Reche & Recall","Musik (Allgemeines), Musikgeschichte",NULL
"K2306","Redaktion Phantastik",NULL,NULL,NULL
"K2307","Redieck & Schade","Redieck & Schade GbR (Rostock)","Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"K2313","Regio Energie Solothurn","Regio Energie Solothurn","Energie- und Wasserwirtschaft; Öffentliche Wirtschaft, Abfallwirtschaft, Gesundheitsökonomie",NULL
"K2318","Reimer",NULL,NULL,NULL
"K2322","Reinhardt",NULL,NULL,NULL
"K2331","Renáta Baumann-Chybová",NULL,NULL,NULL
"K2333","Residenzkaufhaus",NULL,NULL,NULL
"K2337","Rheingauer Mundartverein e. V.","Rheingauer Mundartverein",NULL,"Verein"
"K2344","Ring of light",NULL,NULL,NULL
"K2350","Ritter",NULL,NULL,NULL
"K2351","Ritter Klagenfurt","Kunsthalle Ritter (Klagenfurt)","Bildende Kunst",NULL
"K2353","RoRo Hand & Kopfwerkstatt",NULL,NULL,NULL
"K2356","Rodneys Underground Press",NULL,NULL,NULL
"K2365","Romowe",NULL,NULL,NULL
"K2368","Rosner",NULL,NULL,NULL
"K2369","Rosspoint",NULL,NULL,NULL
"K2370","Rostocker Frauenkulturverein Die Beginen e.V.","Beginen e.V.",NULL,"Verein"
"K2374","Rotblatt, Kater",NULL,NULL,NULL
"K2386","Roßdorf : Wolfbach",NULL,NULL,NULL
"K2387","Rudolph",NULL,NULL,NULL
"K2390","Ruhrliteratur",NULL,NULL,NULL
"K2391","Ryckschau",NULL,NULL,NULL
"K2395","Rüger",NULL,NULL,NULL
"K2402","SCM","SCM",NULL,NULL
"K2405","SE Stengel",NULL,NULL,NULL
"K2407","SIGNUM e. V. Dresden",NULL,NULL,NULL
"K2411","SPRACHFLECHTWERK",NULL,NULL,NULL
"K2417","Sabrina Kossel, Milchbart Company Leipzig",NULL,NULL,NULL
"K2418","SadWolf",NULL,NULL,NULL
"K2425","SalonPresse",NULL,NULL,NULL
"K2428","Salzgitter, Print & Lettershop",NULL,NULL,NULL
"K2430","Samples","Samples","Musik (Allgemeines), Musikgeschichte",NULL
"K2431","Sand",NULL,NULL,NULL
"K2441","Satz und Druck Herrmann AG","Herrmann AG",NULL,NULL
"K2442","SatzZeichen, Autorengruppe",NULL,NULL,"Gemeinschaft"
"K2452","Scherz",NULL,NULL,NULL
"K2455","Schiler","Schiler & Mücke",NULL,NULL
"K2456","Schiler & Mücke","Schiler & Mücke",NULL,NULL
"K2467","Schmid",NULL,NULL,NULL
"K2469","Schmidt",NULL,NULL,NULL
"K2472","Schmitz",NULL,NULL,NULL
"K2475","Schneider",NULL,NULL,NULL
"K2477","Schneider, Nadine",NULL,NULL,NULL
"K2479","Schnider",NULL,NULL,NULL
"K2481","Scholz",NULL,NULL,NULL
"K2482","SchreibStimme",NULL,NULL,NULL
"K2483","Schreibgruppe ausgewundert",NULL,NULL,"Gemeinschaft"
"K2486","Schreibwaren Wegmann Inh. Janos Metz e. K.",NULL,NULL,NULL
"K2493","SchumacherGebler",NULL,NULL,NULL
"K2494","Schuster",NULL,NULL,NULL
"K2495","Schwab, Jörg",NULL,NULL,NULL
"K2497","Schwalbe",NULL,NULL,NULL
"K2500","Schwarzer Drachen",NULL,NULL,NULL
"K2506","Schäfer",NULL,NULL,NULL
"K2510","Schönrock & Heikamp",NULL,NULL,NULL
"K2513","Scribitur",NULL,NULL,NULL
"K2516","Seeling","Galerie Seeling","Einzelne Branchen der Industrie und des Handwerks",NULL
"K2536","Seniorenschreibtisch der Stadt Puchheim","Seniorenschreibtisch der Stadt Puchheim",NULL,NULL
"K2544","Shakti & Sargam",NULL,NULL,NULL
"K2547","Shutterstock","Shutterstock, Inc.","Einzelne Branchen der Industrie und des Handwerks",NULL
"K2550","SiebenSchreiber","SiebenSchreiber",NULL,NULL
"K2556","SilvForLife Design",NULL,NULL,NULL
"K2559","Simonett & Baer","Simonett & Baer",NULL,NULL
"K2573","Solar Plexus","Solar Plexus","Musik (Allgemeines), Musikgeschichte",NULL
"K2581","Sonnenberg",NULL,NULL,NULL
"K2585","Specht, Ulrich",NULL,NULL,NULL
"K2589","Sphinx Agency",NULL,NULL,NULL
"K2594","Springer","Springer","Musik (Allgemeines), Musikgeschichte",NULL
"K2595","Sprudelkiste.com Gleißner",NULL,NULL,NULL
"K2602","Stadt Hattingen","Hattingen",NULL,NULL
"K2603","Stadt Hilden","Hilden (Stadt)",NULL,NULL
"K2604","Stadt Ostseebad Rerik",NULL,NULL,NULL
"K2605","Stadt Vechta","Vechta",NULL,NULL
"K2606","Stadtbibliothek Prenzlau",NULL,NULL,NULL
"K2607","Stadtgemeinde Perg","Perg",NULL,NULL
"K2615","Steinmann",NULL,NULL,NULL
"K2621","Stephenson, C","S. & C. Stephenson (London)",NULL,NULL
"K2625","Stiftung Kantonsbibliothek Uri","Kantonsbibliothek Uri","Bibliothek, Information und Dokumentation",NULL
"K2626","Stocker",NULL,NULL,NULL
"K2630","Story Town - Derek Meister & Marion Meister GbR c/o Papyrus Autoren-Club",NULL,NULL,"Gemeinschaft"
"K2638","Strozpress",NULL,NULL,NULL
"K2643","Stumpp",NULL,NULL,NULL
"K2651","Sure-Publishing","Sure-Publishing",NULL,NULL
"K2658","Sylcho Studio",NULL,NULL,NULL
"K2661","Süddt. Zeitung GmbH","Süddeutsche Zeitung GmbH","Presse; Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"K2664","Südwest",NULL,NULL,NULL
"K2665","TAK - Tiroler Autorinnen und Autoren Kooperative",NULL,NULL,NULL
"K2667","TEXT/RAHMEN e.U.",NULL,NULL,NULL
"K2669","THW Österreich",NULL,NULL,NULL
"K2671","TRUANT UG",NULL,NULL,NULL
"K2673","TWENTYSIX",NULL,NULL,NULL
"K2687","Telesma",NULL,NULL,NULL
"K2691","Text-Atelier Leipzig","Text-Atelier Leipzig",NULL,NULL
"K2695","Textgemeinschaft, Anthologie",NULL,NULL,"Gemeinschaft"
"K2700","The Dandy is Dead",NULL,NULL,NULL
"K2708","Thomas Mann-Gesellschaft Hamburg","Thomas Mann-Gesellschaft Hamburg",NULL,"Gemeinschaft"
"K2711","Thon",NULL,NULL,NULL
"K2718","ToMa",NULL,NULL,NULL
"K2725","Totechöpfli",NULL,NULL,NULL
"K2730","Trautmann",NULL,NULL,NULL
"K2733","Treibhaus e.V.","Treibhaus e.V.",NULL,"Verein"
"K2739","Trottoir Noir",NULL,NULL,NULL
"K2742","Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut",NULL,NULL,"Verein"
"K2749","Typo.M",NULL,NULL,NULL
"K2750","Typostudio Schumacher-Gebler","Schumacher-Gebler",NULL,NULL
"K2752","TösterKultur e.V.","TösterKultur e. V.",NULL,NULL
"K2755","UBV","Unternehmen.Bilden.Vielfalt (UBV) e.V.",NULL,"Verein"
"K2759","Ulisses Spiele",NULL,NULL,NULL
"K2773","Univ. Palackého","Univerzita Palackého v Olomouci","Hochschule",NULL
"K2780","Universo","Grupo Universo",NULL,NULL
"K2786","V. F. Sammler",NULL,NULL,NULL
"K2790","VEG",NULL,NULL,NULL
"K2794","VF Die Fontäne",NULL,NULL,NULL
"K2797","VNA","VNA","Musik (Allgemeines), Musikgeschichte",NULL
"K2800","VS",NULL,NULL,NULL
"K2803","VTA",NULL,NULL,NULL
"K2806","Vallentin",NULL,NULL,NULL
"K2813","Verband deutscher Schriftstellerinnen und Schriftsteller in ver.di – Landesverband Bayern, Verband deutscher Schriftstellerinnen und Schriftsteller in ver.di –. Landesverband",NULL,NULL,"Verband"
"K2815","Verein ALSO (Anno Literatur Sonntag)","Verein ALSO - Anno Literatur SOnntag",NULL,"Verein"
"K2817","Verein Frauenhäuser Steiermark, Verein Frauenhäuser","Frauenhäuser Steiermark - Verein zur Soforthilfe für Bedrohte und Misshandelte Frauen und Deren Kinder",NULL,"Verein"
"K2818","Verein Glitter","Verein Glitter",NULL,"Verein"
"K2819","Verein Gruppe Wespennest","Verein Gruppe Wespennest",NULL,"Verein"
"K2820","Verein Literaturgruppe Perspektive","Literaturgruppe Perspektive",NULL,"Gemeinschaft"
"K2821","Verein Salzburger Literaturforum Leselampe",NULL,NULL,"Verein"
"K2822","Verein Zeitschrift delirium","Verein Delirium",NULL,"Verein"
"K2823","Verein zur Förderung der Raumfahrt e.V.","Verein zur Förderung der Raumfahrt",NULL,"Verein"
"K2824","Verein zur Förderung des Literaturschaffens zwischen Deutschen und Polen","Verein zur Förderung des Literaturschaffens und des Kulturellen Austauschs zwischen Deutschen und Polen",NULL,"Verein"
"K3060","Vesi",NULL,NULL,NULL
"K3069","Violet Truelove",NULL,NULL,NULL
"K3072","Vja",NULL,NULL,NULL
"K3084","Vögel",NULL,NULL,NULL
"K3088","WESER-KURIER, Kulturredaktion, Dr. Hendrik Werner",NULL,NULL,NULL
"K3107","Wallimann","Jodlerfamilie Wallimann",NULL,NULL
"K3109","WandelWerk Publishing",NULL,NULL,NULL
"K3110","Wanner Publishing","Wanner Brothers Publishing (Baden, Limmat)","Einzelne Branchen der Industrie und des Handwerks",NULL
"K3113","Wasserburg Rindern","Wasserburg Rindern (Kleve, Kreis Kleve)","Ortsgebundene Bauwerke","Gemeinschaft"
"K3114","WattLiteraten, Autorengemeinschaft","WattLiteraten (Körperschaft)",NULL,NULL
"K3115","Wattpad corp.",NULL,NULL,NULL
"K3118","Weber",NULL,NULL,NULL
"K3121","Weg und Ziel",NULL,NULL,NULL
"K3122","Weger",NULL,NULL,NULL
"K3125","WeimarArt",NULL,NULL,NULL
"K3126","Weimarer Schiller-Presse",NULL,NULL,NULL
"K3130","Weisz auf Schwarz – Literatuzeitschrift",NULL,NULL,NULL
"K3131","Weitschat",NULL,NULL,NULL
"K3135","Weltbild","Weltbild (Berlin)",NULL,NULL
"K3141","Wenner",NULL,NULL,NULL
"K3142","Wenng","Gebrüder Wenng",NULL,NULL
"K3143","Wenz",NULL,NULL,NULL
"K3148","Werkkreis Literatur der Arbeitswelt - Werkstatt Wien","Werkkreis Literatur der Arbeitswelt (Wien)",NULL,"Gemeinschaft"
"K3151","Werner Schüller",NULL,NULL,NULL
"K3152","Westarp BookOnDemand",NULL,NULL,NULL
"K3155","Westfälische Wilhelms-Universität Münster, Zentrale Kustodie",NULL,NULL,"Bildungseinrichtung"
"K3157","WeyTeCon Förlag",NULL,NULL,NULL
"K3158","WeyTeCon Förlag (WF)",NULL,NULL,NULL
"K3159","Weyand",NULL,NULL,NULL
"K3164","Wiener Volkshochsch.","Die Wiener Volkshochschulen","Schule","Bildungseinrichtung"
"K3170","Wind Child Publishing",NULL,NULL,NULL
"K3171","Wind und Sterne",NULL,NULL,NULL
"K3174","Windspiel","Windspiel","Musik (Allgemeines), Musikgeschichte",NULL
"K3175","WirFinden.Es Naß und Hellie GbR",NULL,NULL,"Unternehmen"
"K3187","Wolf",NULL,NULL,NULL
"K3199","Wortspieler","Die Wortspieler",NULL,NULL
"K3215","Yellow King Productions",NULL,NULL,NULL
"K3217","Youcanprint",NULL,NULL,NULL
"K3218","Young Stories, Frankfurt",NULL,NULL,NULL
"K3222","Zenker, Jan M.",NULL,NULL,NULL
"K3223","Zenkert",NULL,NULL,NULL
"K3227","Ziethen","Grube Ziethen","Bergbau, Hüttentechnik",NULL
"K3232","Zürcher Kantonalbank","Zürcher Kantonalbank","Bank; Einzelne Branchen der Industrie und des Handwerks",NULL
"K3234","[kon] Paper e.V.",NULL,NULL,"Verein"
"K3238","alit - Verein Literaturstiftung","alit - Verein Literaturstiftung",NULL,"Verein"
"K3239","alit - Verein Literaturstiftung Zürich",NULL,NULL,"Verein"
"K3242","amarto",NULL,NULL,NULL
"K3244","artkonzeptkörner","artkonzeptkörner",NULL,NULL
"K3247","aws Literatur",NULL,NULL,NULL
"K3250","beTHRILLED",NULL,NULL,NULL
"K3252","belkastudio",NULL,NULL,NULL
"K3258","brennt! GmbH",NULL,NULL,"Unternehmen"
"K3265","c/o autorenglück.de, Stina Milner",NULL,NULL,NULL
"K3267","camino",NULL,NULL,NULL
"K3268","cap-books",NULL,NULL,NULL
"K3273","comediantes","Comediantes",NULL,NULL
"K3274","container press",NULL,NULL,NULL
"K3275","creomira",NULL,NULL,NULL
"K3280","danube books",NULL,NULL,NULL
"K3281","de La Porte",NULL,NULL,NULL
"K3284","der VHS-Baar, Kreative Schreibwerkstatt",NULL,NULL,NULL
"K3285","der blaue reiter","Der Blaue Reiter","Malerei; Bildende Kunst",NULL
"K3288","dissertation.de",NULL,NULL,NULL
"K3291","duotincta",NULL,NULL,NULL
"K3296","ebersbach & simon",NULL,NULL,NULL
"K3298","echt EMF",NULL,NULL,NULL
"K3336","editum",NULL,NULL,NULL
"K3342","fabrik.transit","Literatur- und Kunstverein fabrik.transit",NULL,"Verein"
"K3349","fineBooks",NULL,NULL,NULL
"K3350","fortfolgendes",NULL,NULL,NULL
"K3353","für neues bewusst-sein",NULL,NULL,NULL
"K3355","guhl glaser, st.",NULL,NULL,NULL
"K3357","hkk Krankenkasse","hkk","Einzelne Branchen der Industrie und des Handwerks",NULL
"K3360","holapress",NULL,NULL,NULL
"K3363","ib-lyric, artfactory",NULL,NULL,NULL
"K3365","ideaFactory Geiler, Thiessen & Uhlig GbR",NULL,NULL,"Unternehmen"
"K3374","kuk","KUK Electronic",NULL,NULL
"K3375","kukma - Kunst- und Kulturverein",NULL,NULL,"Verein"
"K3379","lebema.ch",NULL,NULL,NULL
"K3383","literatur:vorarlberg",NULL,NULL,NULL
"K3389","manitu-books",NULL,NULL,NULL
"K3390","manuskripte-Literaturverein",NULL,NULL,"Verein"
"K3394","maudrich","Wilhelm Maudrich (Wien)",NULL,NULL
"K3395","mbassador GmbH",NULL,NULL,"Unternehmen"
"K3398","meinbesteller.de",NULL,NULL,NULL
"K3399","menani GmbH",NULL,NULL,"Unternehmen"
"K3402","modo","Modo","Musik (Allgemeines), Musikgeschichte",NULL
"K3407","myMorawa","myMorawa",NULL,NULL
"K3409","münstermann",NULL,NULL,NULL
"K3412","netzbuchladen.de",NULL,NULL,NULL
"K3415","octOpus",NULL,NULL,NULL
"K3418","ostbooks",NULL,NULL,NULL
"K3420","p.l.o.t. e.V.",NULL,NULL,"Verein"
"K3422","parasitenpresse",NULL,NULL,NULL
"K3425","peppair GmbH",NULL,NULL,"Unternehmen"
"K3427","plV-Media",NULL,NULL,NULL
"K3428","plattform",NULL,NULL,NULL
"K3430","pro Monstein","pro Monstein",NULL,NULL
"K3436","pyjamaguerilleros",NULL,NULL,NULL
"K3439","radio 3",NULL,NULL,NULL
"K3441","rbb","RBB & Cie",NULL,NULL
"K3443","read4joy",NULL,NULL,NULL
"K3446","rohumedia",NULL,NULL,NULL
"K3450","scius",NULL,NULL,NULL
"K3451","scribaria","Scribaria (Körperschaft)",NULL,NULL
"K3452","scridelio",NULL,NULL,NULL
"K3454","smp, swb media publishing",NULL,NULL,NULL
"K3457","spree-books (spree-media.net GmbH)",NULL,NULL,"Unternehmen"
"K3460","story.one",NULL,NULL,NULL
"K3462","swiboo.ch","swiboo.ch",NULL,NULL
"K3464","telegonos-publishing",NULL,NULL,NULL
"K3465","thrillercriminal.com Community",NULL,NULL,NULL
"K3466","tolino media",NULL,NULL,NULL
"K3471","tunkan",NULL,NULL,NULL
"K3473","uli-jungbluth-press",NULL,NULL,NULL
"K3476","vabaduse.de",NULL,NULL,NULL
"K3499","wir sind lesenswert – Verein für Literatur",NULL,NULL,"Verein"
"K3500","wirschreibenfürahrweiler, Autorengemeinschaft",NULL,NULL,"Gemeinschaft"
"K3501","wortbau e.V.","Schreibende Schüler e.V.",NULL,"Verein"
"K3505","www.hairfashionplus.ch",NULL,NULL,NULL
"K3506","www.ideenteufel.de",NULL,NULL,NULL
"K3509","xlibri","xlibri.de (Firma)",NULL,"Unternehmen"
"K3510","zebra bw","Zentrale Beratungsstelle für Weltanschauungsfragen BW",NULL,NULL
"K3512","zocher & peter",NULL,NULL,NULL
"K3515","Çizgi Kitabevi",NULL,NULL,NULL
"K3516","Èditions à la Carte","Éditions à la Carte",NULL,NULL
"K3517","Éd. L'Oreille du Loup",NULL,NULL,NULL
"K3518","Éd. Saint-Paul",NULL,NULL,NULL
"K3520","Írott Szó Alapítvány",NULL,NULL,NULL
"K3521","ÖBB Personenverkehr AG, Personalmanagement Kärnten",NULL,NULL,NULL
"K3523","Österreichische Literaturgesellschaft","Österreichische Literaturgesellschaft",NULL,"Gemeinschaft"
"K3524","Österreichischer Schriftsteller/innenverband","Österreichischer Schriftsteller/Innenverband",NULL,"Verband"
"K3525","Österreichisches Literaturforum","Österreichisches Literaturforum",NULL,"Gemeinschaft"
