"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"K480","Candela","Candela","Musik (Allgemeines), Musikgeschichte",NULL
"K485","Carin Müller c/o Die Bücherfee Karina Reiß",NULL,NULL,NULL
"K486","Carinus Rotlinde c/o autorenglück.de",NULL,NULL,NULL
"K491","Carla Eisfeldt c/o Block Services",NULL,NULL,NULL
"K494","CarpeGusta",NULL,NULL,NULL
"K495","Cartagena",NULL,NULL,NULL
"K496","CeS V",NULL,NULL,NULL
"K500","Ch. Möllmann",NULL,NULL,NULL
"K1747","Leim",NULL,NULL,NULL
"K505","Chat Noir","Chat-Noir","Kabarett, Zirkus, Varieté",NULL
"K509","Chill Media",NULL,NULL,NULL
"K516","CiTi",NULL,NULL,NULL
"K521","Claudius",NULL,NULL,NULL
"K522","Cleya",NULL,NULL,NULL
"K526","Coburger Autorengemeinschaft Schreibsand","Autorengemeinschaft Schreibsand",NULL,"Gemeinschaft"
"K535","Concept Leben, Werbe- und Einkaufsgesellschaft für den konfessionellen Buchhandel mbH",NULL,NULL,"Gemeinschaft"
"K539","ContraPunkt","Contrapunkt","Musik (Allgemeines), Musikgeschichte",NULL
"K551","Crearta",NULL,NULL,NULL
"K553","CreateSpace Independent Publishing Platform",NULL,NULL,NULL
"K554","Creativo, Initiationgruppe für Literatur, Wissenschaft und KUnst",NULL,NULL,"Gemeinschaft"
"K555","Crespo Foundation","Crespo Foundation","Kultur, Künste allgemein",NULL
"K558","CulturTainment",NULL,NULL,NULL
"K563","D. Sargon",NULL,NULL,NULL
"K564","DAS GRAMM e.K.",NULL,NULL,"Unternehmen"
"K565","DAS SYNDIKAT – Autorengruppe deutschsprachige Kriminalliteratur A.I.E.P.",NULL,NULL,"Gemeinschaft"
"K566","DCS","DCS","Musik (Allgemeines), Musikgeschichte",NULL
"K569","DHBW Mannheim","Duale Hochschule Baden-Württemberg Mannheim","Berufsausbildung; Hochschule","Bildungseinrichtung"
"K572","DNMP, Daniel Neumann Medienproduktion",NULL,NULL,NULL
"K574","DREIERLEI",NULL,NULL,NULL
"K582","Daphne Bühner c/o Autorenbetreuung Carole Minn",NULL,NULL,NULL
"K584","Das Entlebucher Medienhaus",NULL,NULL,NULL
"K594","DeWinter Waldorf Glass",NULL,NULL,NULL
"K603","Der Doppeldaumenmann c/o Block Services",NULL,NULL,NULL
"K626","DichtFest GbR",NULL,NULL,"Unternehmen"
"K628","Dichterwettstreit deluxe",NULL,NULL,NULL
"K629","Die 7 Zwerge e.V.",NULL,NULL,"Verein"
"K631","Die Geschichtenfabrik",NULL,NULL,NULL
"K632","Die Glücksoase",NULL,NULL,NULL
"K633","Die Gruppe 48 e.V.","Die Gruppe 48",NULL,"Gemeinschaft"
"K634","Die Phantasten","Die Chromatischen Phantasten","Musik (Allgemeines), Musikgeschichte",NULL
"K636","Die Schatzkiste",NULL,NULL,NULL
"K638","Die2 Verlag","Die2, Verein für Theater- und Konzertaufführungen und Verbreitung Europäischer Kultur",NULL,"Verein"
"K641","Dieselstrasse, Kulturzentrum","Kultur- und Kommunikationszentrum (Esslingen am Neckar)",NULL,NULL
"K642","Dietrich, Gabriella",NULL,NULL,NULL
"K643","Dietschi","Dietschi AG","Einzelne Branchen der Industrie und des Handwerks; Presse",NULL
"K652","Doering",NULL,NULL,NULL
"K653","Dokumentationsstelle für Neuere Österr. Literatur",NULL,NULL,NULL
"K654","Dominikanerkloster Prenzlau","Dominikanerkloster Prenzlau - Kulturzentrum und Museum","Liturgik, Frömmigkeit",NULL
"K662","Dorferneuerungsverein Prigglitz",NULL,NULL,"Verein"
"K667","Dover Publications, Inc.","Dover Publications",NULL,NULL
"K670","Dr. Jürgen Oberle",NULL,NULL,NULL
"K671","Dr. Martin Bethke Storyvents",NULL,NULL,NULL
"K677","Draconis Books",NULL,NULL,NULL
"K2632","Storyvents",NULL,NULL,NULL
"K696","Droste","Droste","Musik (Allgemeines), Musikgeschichte",NULL
"K704","Dt. Rotes Kreuz, Ortsverein Hameln",NULL,NULL,"Verein"
"K722","EDUTAINMENT GmbH, VISUAL",NULL,NULL,"Unternehmen"
"K731","EROSTEPOST- Verein für Literatur und Literaturzeitschrift",NULL,NULL,"Verein"
"K736","Easy Readers",NULL,NULL,NULL
"K739","Eberl",NULL,NULL,NULL
"K740","Ebersbach & Simon",NULL,NULL,NULL
"K741","Ebner",NULL,NULL,NULL
"K748","Eckhart Schmidt Publishing",NULL,NULL,NULL
"K785","Ed. Gelsen","Edita Gelsen, Verlegender Literaturverein",NULL,"Verein"
"K813","Ed. M&S","Associazione commercianti ed esercenti Brione s/M",NULL,NULL
"K872","Edel","Edel AG","Einzelne Branchen der Industrie und des Handwerks",NULL
"K874","Edika",NULL,NULL,NULL
"K875","Edita Gelsen","Edita Gelsen, Verlegender Literaturverein",NULL,"Verein"
"K902","Edition Dichtungsring","Dichtungsring e.V.",NULL,"Verein"
"K980","Edition fabrik.transit","Literatur- und Kunstverein fabrik.transit",NULL,"Verein"
"K987","Editora Girabrasil",NULL,NULL,NULL
"K1014","ElIbiary",NULL,NULL,NULL
"K1024","Ellie Harding c/o Steffen TextArt",NULL,NULL,NULL
"K1031","Em Huisken Musik und Wort",NULL,NULL,NULL
"K1032","Emmerich Books & Media",NULL,NULL,NULL
"K1050","Erika Hörzer",NULL,NULL,NULL
"K1052","Ernst-Moritz-Arndt-Gymnasium","Ernst-Moritz-Arndt-Gymnasium Bergen","Schule","Bildungseinrichtung"
"K1058","Esslinger",NULL,NULL,NULL
"K1063","Europa Buch",NULL,NULL,NULL
"K1068","Evang. Ges.",NULL,NULL,NULL
"K1071","Even Terms Press",NULL,NULL,NULL
"K1072","Exchange and Dialogue",NULL,NULL,NULL
"K1076","FELiCiTARiS","FELiCiTARiS",NULL,NULL
"K1077","FH Joanneum, Studiengang Informationsdesign","FH JOANNEUM Gesellschaft. Studiengang Informationsdesign",NULL,"Gemeinschaft"
"K1084","Factum Coloniae",NULL,NULL,NULL
"K1088","Fakriro GbR",NULL,NULL,"Unternehmen"
"K1098","Feiyr",NULL,NULL,NULL
"K1099","Fel!x","FEL",NULL,NULL
"K1108","Fischer Digital",NULL,NULL,NULL
"K1114","Fischern",NULL,NULL,NULL
"K1115","Flying Grandpa",NULL,NULL,NULL
"K1118","Fondation Servais pour la littérature luxembourgeoise","Fondation Servais pour la Littérature Luxembourgeoise",NULL,NULL
"K1120","Fontana Edizioni","Fontana edizioni",NULL,NULL
"K1121","Fontis","Fontis AG",NULL,NULL
"K1124","Forum Gundernhausen","Forum Gundernhausen",NULL,"Gemeinschaft"
"K1125","Forum Stadtkirche Wunstorf","Forum Stadtkirche Wunstorf",NULL,"Gemeinschaft"
"K1126","Forumhelden GmbH",NULL,NULL,"Gemeinschaft"
"K1127","Fotolia","Fotolia Deutschland","Einzelne Branchen der Industrie und des Handwerks",NULL
"K1129","Francke",NULL,NULL,NULL
"K1130","Frank",NULL,NULL,NULL
"K1138","Frauenmuseum","Frauenmuseum Bonn","Gruppe, Organisationssoziologie, Interaktion; Kunstgeschichte; Archiv, Museum",NULL
"K1142","Freiwillige Feuerwehr Haiterbach, Abt. Haiterbach","Freiwillige Feuerwehr Haiterbach. Abteilung Haiterbach","Öffentliche Verwaltung, Öffentlicher Dienst",NULL
"K1144","Freunde der Literatur in Bayern e.V.","Verein der Freunde der Literatur in Bayern e.V.",NULL,"Verein"
"K1145","Freundeskreis des Literaturhauses Schleswig-Holstein",NULL,NULL,"Gemeinschaft"
"K1146","Freundeskreis, Botanischer Garten",NULL,NULL,"Gemeinschaft"
"K1148","Frick",NULL,NULL,NULL
"K1149","Friedenauer Presse","Friedenauer Presse","Presse",NULL
"K1150","Friedmann",NULL,NULL,NULL
"K1151","Friedrich",NULL,NULL,NULL
"K1153","Friedrich-Bödecker-Kreis in Sachsen-Anhalt","Friedrich-Bödecker-Kreis in Sachsen-Anhalt",NULL,"Gemeinschaft"
"K1155","Friesische Philologie/Nordfriesische Wörterbuchstelle, Christian-Albrechts-Universität zu Kiel",NULL,NULL,"Bildungseinrichtung"
"K1156","Fritzsche",NULL,NULL,NULL
"K1157","Fuchs",NULL,NULL,NULL
"K1160","Förderverein Amtliche Vermessung im Kanton Bern","Förderverein 100 Jahre Amtliche Vermessung im Kanton Bern",NULL,"Verein"
"K1161","Förderverein Stadtmuseum Hattingen",NULL,NULL,"Verein"
"K1162","Förderverein für das Erich-Kästner-Museum","Förderverein für das Erich Kästner Museum",NULL,"Verein"
"K1163","Förderwerk Elbinseln",NULL,NULL,NULL
"K1169","GEROJOKO",NULL,NULL,NULL
"K1170","GEV",NULL,NULL,NULL
"K1171","GGSV",NULL,NULL,NULL
"K1173","GOYA",NULL,NULL,NULL
"K1176","GUC",NULL,NULL,NULL
"K1189","Garnies",NULL,NULL,NULL
"K1191","Gebr. Nadelmann",NULL,NULL,NULL
"K1192","GedankenReich",NULL,NULL,NULL
"K1198","Gemeinde Kemmern",NULL,NULL,NULL
"K1200","Gemeinnütziger Verein zur Förderung des Literaturschaffens und des kulturellen Austauschs zwischen Deutschen und Polen e.V.",NULL,NULL,"Verein"
"K1202","Genniges",NULL,NULL,NULL
"K1207","Gerhard, Johanna",NULL,NULL,NULL
"K1209","Gerlinger, Stefan",NULL,NULL,NULL
"K1210","Gernot Kröger",NULL,NULL,NULL
"K1213","Gietl","Geschwister Gietl","Musik (Allgemeines), Musikgeschichte",NULL
"K1218","Gisler Medien, Gisler 1843 AG","Gisler 1843 AG",NULL,NULL
"K1221","Glossabooks",NULL,NULL,NULL
"K1225","Goa Kana & Waratfy Ztaia",NULL,NULL,NULL
"K1226","Goedeke",NULL,NULL,NULL
"K1227","Goethe Universität Frankfurt","Goethe-Universität Frankfurt am Main","Hochschule","Bildungseinrichtung"
"K1233","Goldmacher",NULL,NULL,NULL
"K1234","Goldmann",NULL,NULL,NULL
"K1235","Goldschmidt GmbH",NULL,NULL,"Unternehmen"
"K1236","Goldstadt-Autoren e. V., Verein",NULL,NULL,"Verein"
"K1242","Golos-Press",NULL,NULL,NULL
"K1246","Grafische Anstalten Hassa & Karl GbR",NULL,NULL,"Unternehmen"
"K1248","Grafotlac Soltys",NULL,NULL,NULL
"K1249","Grafotlač Šoltys",NULL,NULL,NULL
"K1252","Graphiti","GRAPHITI",NULL,NULL
"K1253","Grass Publishers",NULL,NULL,NULL
"K1256","Grenda",NULL,NULL,NULL
"K1258","Greven",NULL,NULL,NULL
"K1260","Grolitsch",NULL,NULL,NULL
"K1261","Grote",NULL,NULL,NULL
