"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1140","definitiv Verlag (Name + Sachgruppe)",7
"K1141","definitiv Verlag (Name + Sachgruppe)",1
"K1147","definitiv Verlag (Name + Sachgruppe)",7
"K1158","definitiv Verlag (Name + Sachgruppe)",1
"K1159","definitiv Verlag (Name + Sachgruppe)",2
"K116","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1166","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1167","definitiv Verlag (Name + Sachgruppe)",1
"K117","definitiv Verlag (Name + Sachgruppe)",3
"K1172","definitiv Verlag (Name + Sachgruppe)",1
"K1174","definitiv Verlag (Name + Sachgruppe)",1
"K1175","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1178","definitiv Verlag (Name + Sachgruppe)",1
"K1179","definitiv Verlag (Name + Sachgruppe)",1
"K118","definitiv Verlag (Name + Sachgruppe)",1
"K1180","definitiv Verlag (Name + Sachgruppe)",2
"K1181","definitiv Verlag (Name + Sachgruppe)",2
"K1182","definitiv Verlag (Name + Sachgruppe)",2
"K1183","definitiv Verlag (Name + Sachgruppe)",1
"K1184","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1185","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1186","definitiv Verlag (Name + Sachgruppe)",1
"K1187","definitiv Verlag (Name + Sachgruppe)",2
"K119","definitiv Verlag (Name + Sachgruppe)",3
"K1190","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1193","definitiv Verlag (Name + Sachgruppe)",98
"K1194","definitiv Verlag (Name + Sachgruppe)",1
"K1195","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1196","definitiv Verlag (Name + Sachgruppe)",7
"K1197","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K120","definitiv Verlag (Name + Sachgruppe)",1
"K1201","definitiv Verlag (Name + Sachgruppe)",1
"K1203","definitiv Verlag (Name + Sachgruppe)",1
"K1204","definitiv Verlag (Name + Sachgruppe)",1
"K1206","definitiv Verlag (Name + Sachgruppe)",1
"K1208","definitiv Verlag (Name + Sachgruppe)",2
"K1214","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1216","definitiv Verlag (Name + Sachgruppe)",4
"K1217","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1219","definitiv Verlag (Name + Sachgruppe)",1
"K1220","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1222","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1223","definitiv Verlag (Name + Sachgruppe)",17
"K1224","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1229","definitiv Verlag (Name + Sachgruppe)",1
"K1230","definitiv Verlag (Name + Sachgruppe)",10
"K1231","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1232","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1237","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1238","definitiv Verlag (Name + Sachgruppe)",1
"K1239","definitiv Verlag (Name + Sachgruppe)",1
"K124","definitiv Verlag (Name + Sachgruppe)",1
"K1240","definitiv Verlag (Name + Sachgruppe)",0
"K1241","definitiv Verlag (Name + Sachgruppe)",4
"K1245","definitiv Verlag (Name + Sachgruppe)",1
"K1247","definitiv Verlag (Name + Sachgruppe)",2
"K125","definitiv Verlag (Name + Sachgruppe)",2
"K1250","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
