"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1765","definitiv Verlag (Name + Sachgruppe)",1
"K177","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1772","definitiv Verlag (Name + Sachgruppe)",1
"K1773","definitiv Verlag (Name + Sachgruppe)",10
"K1774","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1775","definitiv Verlag (Name + Sachgruppe)",3
"K1777","Verlag laut Name (keine verlagsrelevante Sachgruppe)",6
"K1778","definitiv Verlag (Name + Sachgruppe)",2
"K1779","definitiv Verlag (Name + Sachgruppe)",2
"K178","definitiv Verlag (Name + Sachgruppe)",1
"K1781","definitiv Verlag (Name + Sachgruppe)",2
"K1783","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1785","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1786","definitiv Verlag (Name + Sachgruppe)",3
"K1787","definitiv Verlag (Name + Sachgruppe)",1
"K1788","definitiv Verlag (Name + Sachgruppe)",2
"K179","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1790","definitiv Verlag (Name + Sachgruppe)",4
"K1791","definitiv Verlag (Name + Sachgruppe)",21
"K1794","definitiv Verlag (Name + Sachgruppe)",8
"K1795","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1796","definitiv Verlag (Name + Sachgruppe)",8
"K1799","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K180","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1805","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1807","definitiv Verlag (Name + Sachgruppe)",1
"K1808","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1815","definitiv Verlag (Name + Sachgruppe)",1
"K1816","definitiv Verlag (Name + Sachgruppe)",8
"K1827","definitiv Verlag (Name + Sachgruppe)",15
"K1830","definitiv Verlag (Name + Sachgruppe)",1
"K1832","definitiv Verlag (Name + Sachgruppe)",1
"K1834","definitiv Verlag (Name + Sachgruppe)",1
"K1835","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1836","definitiv Verlag (Name + Sachgruppe)",1
"K1837","definitiv Verlag (Name + Sachgruppe)",1
"K1840","definitiv Verlag (Name + Sachgruppe)",1
"K1841","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1842","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1844","definitiv Verlag (Name + Sachgruppe)",20
"K1845","Verlag laut Name (keine verlagsrelevante Sachgruppe)",6
"K1846","definitiv Verlag (Name + Sachgruppe)",17
"K1848","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1849","definitiv Verlag (Name + Sachgruppe)",1
"K185","definitiv Verlag (Name + Sachgruppe)",13
"K1850","definitiv Verlag (Name + Sachgruppe)",6
"K1851","definitiv Verlag (Name + Sachgruppe)",1
"K1852","definitiv Verlag (Name + Sachgruppe)",1
"K1855","definitiv Verlag (Name + Sachgruppe)",3
"K1856","definitiv Verlag (Name + Sachgruppe)",3
"K1857","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K186","definitiv Verlag (Name + Sachgruppe)",5
"K1860","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1861","definitiv Verlag (Name + Sachgruppe)",34
"K1862","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1864","definitiv Verlag (Name + Sachgruppe)",4
"K1865","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1866","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K187","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1871","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K1873","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1874","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1875","definitiv Verlag (Name + Sachgruppe)",1
"K1876","definitiv Verlag (Name + Sachgruppe)",3
"K188","definitiv Verlag (Name + Sachgruppe)",20
"K1880","definitiv Verlag (Name + Sachgruppe)",1
"K1882","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1883","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1886","definitiv Verlag (Name + Sachgruppe)",7
"K1887","definitiv Verlag (Name + Sachgruppe)",27
"K1888","definitiv Verlag (Name + Sachgruppe)",1
"K1889","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K189","definitiv Verlag (Name + Sachgruppe)",3
"K1890","definitiv Verlag (Name + Sachgruppe)",7
"K1891","definitiv Verlag (Name + Sachgruppe)",4
"K1893","definitiv Verlag (Name + Sachgruppe)",2
"K1894","definitiv Verlag (Name + Sachgruppe)",1
"K1895","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1897","definitiv Verlag (Name + Sachgruppe)",5
"K19","definitiv Verlag (Name + Sachgruppe)",8
"K1900","definitiv Verlag (Name + Sachgruppe)",1
"K1901","definitiv Verlag (Name + Sachgruppe)",2
"K1902","definitiv Verlag (Name + Sachgruppe)",1
"K1903","definitiv Verlag (Name + Sachgruppe)",1
"K1904","definitiv Verlag (Name + Sachgruppe)",2
"K1905","definitiv Verlag (Name + Sachgruppe)",1
"K1907","definitiv Verlag (Name + Sachgruppe)",1
"K1908","definitiv Verlag (Name + Sachgruppe)",1
"K1909","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K191","definitiv Verlag (Name + Sachgruppe)",1
"K1910","definitiv Verlag (Name + Sachgruppe)",4
"K1911","definitiv Verlag (Name + Sachgruppe)",4
"K1912","definitiv Verlag (Name + Sachgruppe)",2
"K1913","definitiv Verlag (Name + Sachgruppe)",1
"K1914","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1915","definitiv Verlag (Name + Sachgruppe)",1
"K1916","definitiv Verlag (Name + Sachgruppe)",5
"K192","definitiv Verlag (Name + Sachgruppe)",7
"K1920","definitiv Verlag (Name + Sachgruppe)",12
"K1921","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1922","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1924","definitiv Verlag (Name + Sachgruppe)",1
"K1925","definitiv Verlag (Name + Sachgruppe)",3
"K1926","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1927","definitiv Verlag (Name + Sachgruppe)",1
"K1928","definitiv Verlag (Name + Sachgruppe)",8
"K1929","definitiv Verlag (Name + Sachgruppe)",4
"K1930","definitiv Verlag (Name + Sachgruppe)",1
"K1931","definitiv Verlag (Name + Sachgruppe)",5
"K1932","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1933","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1935","definitiv Verlag (Name + Sachgruppe)",3
"K1936","definitiv Verlag (Name + Sachgruppe)",4
"K1937","definitiv Verlag (Name + Sachgruppe)",3
"K194","definitiv Verlag (Name + Sachgruppe)",1
"K1941","definitiv Verlag (Name + Sachgruppe)",14
"K1943","definitiv Verlag (Name + Sachgruppe)",1
"K1944","definitiv Verlag (Name + Sachgruppe)",1
"K1945","definitiv Verlag (Name + Sachgruppe)",28
"K1946","Verlag laut Name (keine verlagsrelevante Sachgruppe)",9
"K1947","definitiv Verlag (Name + Sachgruppe)",1
"K1948","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1950","definitiv Verlag (Name + Sachgruppe)",2
"K1952","definitiv Verlag (Name + Sachgruppe)",3
"K1953","definitiv Verlag (Name + Sachgruppe)",3
"K1957","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1959","definitiv Verlag (Name + Sachgruppe)",1
"K196","definitiv Verlag (Name + Sachgruppe)",37
"K1964","definitiv Verlag (Name + Sachgruppe)",1
"K1965","definitiv Verlag (Name + Sachgruppe)",2
"K1966","definitiv Verlag (Name + Sachgruppe)",1
"K1967","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1968","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1969","definitiv Verlag (Name + Sachgruppe)",1
"K197","definitiv Verlag (Name + Sachgruppe)",2
"K1970","definitiv Verlag (Name + Sachgruppe)",1
"K1971","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1972","definitiv Verlag (Name + Sachgruppe)",1
"K1974","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1975","definitiv Verlag (Name + Sachgruppe)",1
"K1978","definitiv Verlag (Name + Sachgruppe)",5
"K1979","definitiv Verlag (Name + Sachgruppe)",2
"K198","definitiv Verlag (Name + Sachgruppe)",3
"K1982","definitiv Verlag (Name + Sachgruppe)",1
"K1983","definitiv Verlag (Name + Sachgruppe)",51
"K1985","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1986","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1988","definitiv Verlag (Name + Sachgruppe)",1
"K1989","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K199","Verlag laut Name (keine verlagsrelevante Sachgruppe)",63
"K1992","definitiv Verlag (Name + Sachgruppe)",1
"K1994","definitiv Verlag (Name + Sachgruppe)",25
"K1996","definitiv Verlag (Name + Sachgruppe)",1
"K1999","definitiv Verlag (Name + Sachgruppe)",2
"K20","definitiv Verlag (Name + Sachgruppe)",3
"K200","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2000","definitiv Verlag (Name + Sachgruppe)",1
"K2001","definitiv Verlag (Name + Sachgruppe)",3
"K2002","definitiv Verlag (Name + Sachgruppe)",7
"K2003","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2005","definitiv Verlag (Name + Sachgruppe)",1
"K2006","definitiv Verlag (Name + Sachgruppe)",1
"K2007","definitiv Verlag (Name + Sachgruppe)",4
"K2008","definitiv Verlag (Name + Sachgruppe)",3
"K2009","definitiv Verlag (Name + Sachgruppe)",4
"K2010","definitiv Verlag (Name + Sachgruppe)",1
"K2011","definitiv Verlag (Name + Sachgruppe)",9
"K2012","definitiv Verlag (Name + Sachgruppe)",1
"K2016","definitiv Verlag (Name + Sachgruppe)",1
"K2019","definitiv Verlag (Name + Sachgruppe)",3
"K202","definitiv Verlag (Name + Sachgruppe)",1
"K2021","definitiv Verlag (Name + Sachgruppe)",6
"K2024","definitiv Verlag (Name + Sachgruppe)",5
"K2027","definitiv Verlag (Name + Sachgruppe)",4
"K2029","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K203","definitiv Verlag (Name + Sachgruppe)",1
"K2031","definitiv Verlag (Name + Sachgruppe)",3
"K2034","definitiv Verlag (Name + Sachgruppe)",0
"K2035","definitiv Verlag (Name + Sachgruppe)",8
"K2036","definitiv Verlag (Name + Sachgruppe)",17
"K2039","definitiv Verlag (Name + Sachgruppe)",2
"K2041","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2042","definitiv Verlag (Name + Sachgruppe)",1
"K2045","definitiv Verlag (Name + Sachgruppe)",8
"K2046","definitiv Verlag (Name + Sachgruppe)",0
"K2047","definitiv Verlag (Name + Sachgruppe)",2
"K2048","definitiv Verlag (Name + Sachgruppe)",1
"K2049","definitiv Verlag (Name + Sachgruppe)",1
"K205","definitiv Verlag (Name + Sachgruppe)",1
"K2051","definitiv Verlag (Name + Sachgruppe)",4
"K2052","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2053","Verlag laut Name (keine verlagsrelevante Sachgruppe)",115
"K2054","definitiv Verlag (Name + Sachgruppe)",1
"K2056","definitiv Verlag (Name + Sachgruppe)",1
"K2057","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2059","definitiv Verlag (Name + Sachgruppe)",5
"K2061","definitiv Verlag (Name + Sachgruppe)",1
"K2062","definitiv Verlag (Name + Sachgruppe)",3
"K2064","definitiv Verlag (Name + Sachgruppe)",2
"K2065","definitiv Verlag (Name + Sachgruppe)",1
"K2067","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K207","definitiv Verlag (Name + Sachgruppe)",1
"K2070","definitiv Verlag (Name + Sachgruppe)",6
"K2071","definitiv Verlag (Name + Sachgruppe)",34
"K2072","definitiv Verlag (Name + Sachgruppe)",2
"K2074","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2075","definitiv Verlag (Name + Sachgruppe)",8
"K2077","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2080","definitiv Verlag (Name + Sachgruppe)",1
"K2083","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2084","definitiv Verlag (Name + Sachgruppe)",1
"K2085","definitiv Verlag (Name + Sachgruppe)",5
"K2086","definitiv Verlag (Name + Sachgruppe)",1
"K2088","definitiv Verlag (Name + Sachgruppe)",1
"K2089","definitiv Verlag (Name + Sachgruppe)",3
"K2090","definitiv Verlag (Name + Sachgruppe)",6
"K2091","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2094","definitiv Verlag (Name + Sachgruppe)",13
"K2096","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2097","definitiv Verlag (Name + Sachgruppe)",4
"K2098","definitiv Verlag (Name + Sachgruppe)",1
"K2099","definitiv Verlag (Name + Sachgruppe)",0
"K2100","definitiv Verlag (Name + Sachgruppe)",13
"K2101","definitiv Verlag (Name + Sachgruppe)",1
"K2103","definitiv Verlag (Name + Sachgruppe)",2
"K2104","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2105","definitiv Verlag (Name + Sachgruppe)",4
"K2107","definitiv Verlag (Name + Sachgruppe)",1
"K2108","Verlag laut Name (keine verlagsrelevante Sachgruppe)",7
"K2109","definitiv Verlag (Name + Sachgruppe)",2
"K2111","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2113","definitiv Verlag (Name + Sachgruppe)",1
"K2116","definitiv Verlag (Name + Sachgruppe)",2
"K2119","definitiv Verlag (Name + Sachgruppe)",1
"K2120","definitiv Verlag (Name + Sachgruppe)",2
"K2121","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2124","definitiv Verlag (Name + Sachgruppe)",1
"K2125","definitiv Verlag (Name + Sachgruppe)",9
"K2126","definitiv Verlag (Name + Sachgruppe)",2
"K2128","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K213","definitiv Verlag (Name + Sachgruppe)",4
"K2131","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2133","definitiv Verlag (Name + Sachgruppe)",1
"K2136","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2137","definitiv Verlag (Name + Sachgruppe)",1
"K214","definitiv Verlag (Name + Sachgruppe)",1
"K2141","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2143","definitiv Verlag (Name + Sachgruppe)",1
"K2146","definitiv Verlag (Name + Sachgruppe)",1
"K2147","Verlag laut Name (keine verlagsrelevante Sachgruppe)",13
"K2148","definitiv Verlag (Name + Sachgruppe)",7
"K2149","definitiv Verlag (Name + Sachgruppe)",2
"K2151","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2153","definitiv Verlag (Name + Sachgruppe)",6
"K2154","definitiv Verlag (Name + Sachgruppe)",15
"K2155","definitiv Verlag (Name + Sachgruppe)",1
"K2156","definitiv Verlag (Name + Sachgruppe)",1
"K2157","definitiv Verlag (Name + Sachgruppe)",8
"K2158","definitiv Verlag (Name + Sachgruppe)",1
"K216","definitiv Verlag (Name + Sachgruppe)",1
"K2160","definitiv Verlag (Name + Sachgruppe)",2
"K2161","definitiv Verlag (Name + Sachgruppe)",4
"K2162","definitiv Verlag (Name + Sachgruppe)",9
"K2163","definitiv Verlag (Name + Sachgruppe)",2
"K2165","definitiv Verlag (Name + Sachgruppe)",1
"K2166","definitiv Verlag (Name + Sachgruppe)",8
"K2167","definitiv Verlag (Name + Sachgruppe)",1
"K2168","definitiv Verlag (Name + Sachgruppe)",11
"K2169","definitiv Verlag (Name + Sachgruppe)",2
"K2170","definitiv Verlag (Name + Sachgruppe)",3
"K2171","definitiv Verlag (Name + Sachgruppe)",1
"K2172","definitiv Verlag (Name + Sachgruppe)",1
"K2173","definitiv Verlag (Name + Sachgruppe)",3
"K2177","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2178","definitiv Verlag (Name + Sachgruppe)",2
"K218","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2180","Verlag laut Name (keine verlagsrelevante Sachgruppe)",11
"K2183","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2185","definitiv Verlag (Name + Sachgruppe)",3
"K2186","definitiv Verlag (Name + Sachgruppe)",24
"K2187","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2188","definitiv Verlag (Name + Sachgruppe)",4
"K2189","definitiv Verlag (Name + Sachgruppe)",1
"K219","definitiv Verlag (Name + Sachgruppe)",2
"K2190","definitiv Verlag (Name + Sachgruppe)",2
"K2191","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2196","definitiv Verlag (Name + Sachgruppe)",1
"K2197","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2198","definitiv Verlag (Name + Sachgruppe)",8
"K2199","definitiv Verlag (Name + Sachgruppe)",2
"K22","definitiv Verlag (Name + Sachgruppe)",49
"K2201","definitiv Verlag (Name + Sachgruppe)",2
"K2202","definitiv Verlag (Name + Sachgruppe)",12
"K2203","definitiv Verlag (Name + Sachgruppe)",2
"K2204","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2205","definitiv Verlag (Name + Sachgruppe)",60
"K2207","definitiv Verlag (Name + Sachgruppe)",1
"K2209","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K221","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2214","definitiv Verlag (Name + Sachgruppe)",2
"K2215","definitiv Verlag (Name + Sachgruppe)",2
"K2217","definitiv Verlag (Name + Sachgruppe)",5
"K2218","definitiv Verlag (Name + Sachgruppe)",26
"K2219","definitiv Verlag (Name + Sachgruppe)",1
"K2221","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2222","definitiv Verlag (Name + Sachgruppe)",1
"K2223","definitiv Verlag (Name + Sachgruppe)",2
"K2225","definitiv Verlag (Name + Sachgruppe)",1
"K2229","definitiv Verlag (Name + Sachgruppe)",4
"K2230","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2231","definitiv Verlag (Name + Sachgruppe)",2
"K2233","definitiv Verlag (Name + Sachgruppe)",4
"K2234","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2237","definitiv Verlag (Name + Sachgruppe)",4
"K2239","definitiv Verlag (Name + Sachgruppe)",1
"K224","definitiv Verlag (Name + Sachgruppe)",3
"K2241","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2244","definitiv Verlag (Name + Sachgruppe)",0
"K2245","definitiv Verlag (Name + Sachgruppe)",1
"K2246","definitiv Verlag (Name + Sachgruppe)",1
"K2247","definitiv Verlag (Name + Sachgruppe)",1
"K2248","definitiv Verlag (Name + Sachgruppe)",1
"K2250","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2253","Verlag laut Name (keine verlagsrelevante Sachgruppe)",16
"K2258","definitiv Verlag (Name + Sachgruppe)",1
"K2259","definitiv Verlag (Name + Sachgruppe)",2
"K2262","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2265","definitiv Verlag (Name + Sachgruppe)",2
"K2268","definitiv Verlag (Name + Sachgruppe)",1
"K2269","definitiv Verlag (Name + Sachgruppe)",1
"K2270","definitiv Verlag (Name + Sachgruppe)",1
"K2271","definitiv Verlag (Name + Sachgruppe)",1
"K2272","definitiv Verlag (Name + Sachgruppe)",1
"K2273","definitiv Verlag (Name + Sachgruppe)",7
"K2274","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2276","definitiv Verlag (Name + Sachgruppe)",2
"K2279","definitiv Verlag (Name + Sachgruppe)",0
"K2280","definitiv Verlag (Name + Sachgruppe)",1
"K2281","definitiv Verlag (Name + Sachgruppe)",4
"K2284","definitiv Verlag (Name + Sachgruppe)",1
"K2285","definitiv Verlag (Name + Sachgruppe)",1
"K2286","definitiv Verlag (Name + Sachgruppe)",11
"K2287","definitiv Verlag (Name + Sachgruppe)",3
"K2288","definitiv Verlag (Name + Sachgruppe)",6
"K2290","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2291","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2293","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2298","definitiv Verlag (Name + Sachgruppe)",1
"K230","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2300","definitiv Verlag (Name + Sachgruppe)",4
"K2301","definitiv Verlag (Name + Sachgruppe)",2
"K2304","Verlag laut Name (keine verlagsrelevante Sachgruppe)",70
"K2308","definitiv Verlag (Name + Sachgruppe)",97
"K2309","definitiv Verlag (Name + Sachgruppe)",1
"K231","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2310","definitiv Verlag (Name + Sachgruppe)",10
"K2311","definitiv Verlag (Name + Sachgruppe)",1
"K2314","definitiv Verlag (Name + Sachgruppe)",1
"K2315","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2316","definitiv Verlag (Name + Sachgruppe)",1
"K2317","definitiv Verlag (Name + Sachgruppe)",4
"K2319","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2320","definitiv Verlag (Name + Sachgruppe)",2
"K2321","definitiv Verlag (Name + Sachgruppe)",1
"K2323","definitiv Verlag (Name + Sachgruppe)",1
"K2324","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2325","definitiv Verlag (Name + Sachgruppe)",1
"K2326","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2327","definitiv Verlag (Name + Sachgruppe)",2
"K2328","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2329","definitiv Verlag (Name + Sachgruppe)",1
"K233","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2330","definitiv Verlag (Name + Sachgruppe)",1
"K2332","definitiv Verlag (Name + Sachgruppe)",11
"K2336","definitiv Verlag (Name + Sachgruppe)",17
"K2338","definitiv Verlag (Name + Sachgruppe)",1
"K2339","definitiv Verlag (Name + Sachgruppe)",1
"K234","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2340","definitiv Verlag (Name + Sachgruppe)",1
"K2341","definitiv Verlag (Name + Sachgruppe)",1
"K2342","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2343","definitiv Verlag (Name + Sachgruppe)",7
"K2345","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2346","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2347","definitiv Verlag (Name + Sachgruppe)",3
"K2348","definitiv Verlag (Name + Sachgruppe)",4
"K2352","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2354","definitiv Verlag (Name + Sachgruppe)",11
"K2357","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2358","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2359","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2360","definitiv Verlag (Name + Sachgruppe)",1
"K2361","definitiv Verlag (Name + Sachgruppe)",1
"K2363","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2364","Verlag laut Name (keine verlagsrelevante Sachgruppe)",11
"K2366","definitiv Verlag (Name + Sachgruppe)",4
"K237","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2373","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2375","definitiv Verlag (Name + Sachgruppe)",7
"K2376","definitiv Verlag (Name + Sachgruppe)",1
"K2377","definitiv Verlag (Name + Sachgruppe)",4
"K2378","definitiv Verlag (Name + Sachgruppe)",5
"K2379","definitiv Verlag (Name + Sachgruppe)",1
"K238","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2380","definitiv Verlag (Name + Sachgruppe)",8
"K2381","definitiv Verlag (Name + Sachgruppe)",1
"K2383","definitiv Verlag (Name + Sachgruppe)",2
"K2384","definitiv Verlag (Name + Sachgruppe)",40
"K2385","definitiv Verlag (Name + Sachgruppe)",4
"K2388","definitiv Verlag (Name + Sachgruppe)",1
"K2389","Verlag laut Name (keine verlagsrelevante Sachgruppe)",5
"K239","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2392","definitiv Verlag (Name + Sachgruppe)",1
"K2394","definitiv Verlag (Name + Sachgruppe)",2
"K2396","definitiv Verlag (Name + Sachgruppe)",0
"K2397","definitiv Verlag (Name + Sachgruppe)",1
"K2399","definitiv Verlag (Name + Sachgruppe)",3
"K2400","definitiv Verlag (Name + Sachgruppe)",20
"K2401","definitiv Verlag (Name + Sachgruppe)",2
"K2403","definitiv Verlag (Name + Sachgruppe)",1
"K2406","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2408","definitiv Verlag (Name + Sachgruppe)",1
"K241","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2410","definitiv Verlag (Name + Sachgruppe)",2
"K2412","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2414","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2419","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K242","definitiv Verlag (Name + Sachgruppe)",22
"K2420","definitiv Verlag (Name + Sachgruppe)",1
"K2422","definitiv Verlag (Name + Sachgruppe)",5
"K2423","definitiv Verlag (Name + Sachgruppe)",1
"K2424","definitiv Verlag (Name + Sachgruppe)",6
"K2426","definitiv Verlag (Name + Sachgruppe)",1
"K2427","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K243","definitiv Verlag (Name + Sachgruppe)",1
"K2433","definitiv Verlag (Name + Sachgruppe)",1
"K2436","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2437","definitiv Verlag (Name + Sachgruppe)",35
"K2438","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2439","definitiv Verlag (Name + Sachgruppe)",1
"K244","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2440","definitiv Verlag (Name + Sachgruppe)",19
"K2445","definitiv Verlag (Name + Sachgruppe)",1
"K2446","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2447","definitiv Verlag (Name + Sachgruppe)",2
"K2448","definitiv Verlag (Name + Sachgruppe)",1
"K2449","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2450","definitiv Verlag (Name + Sachgruppe)",26
"K2451","definitiv Verlag (Name + Sachgruppe)",1
"K2453","definitiv Verlag (Name + Sachgruppe)",6
"K2457","definitiv Verlag (Name + Sachgruppe)",1
"K2458","definitiv Verlag (Name + Sachgruppe)",4
"K2459","definitiv Verlag (Name + Sachgruppe)",4
"K246","definitiv Verlag (Name + Sachgruppe)",1
"K2460","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2461","Verlag laut Name (keine verlagsrelevante Sachgruppe)",6
"K2462","definitiv Verlag (Name + Sachgruppe)",1
"K2463","definitiv Verlag (Name + Sachgruppe)",13
"K2464","definitiv Verlag (Name + Sachgruppe)",9
"K2466","definitiv Verlag (Name + Sachgruppe)",1
"K247","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2471","definitiv Verlag (Name + Sachgruppe)",1
"K2473","definitiv Verlag (Name + Sachgruppe)",1
"K2474","definitiv Verlag (Name + Sachgruppe)",1
"K2476","definitiv Verlag (Name + Sachgruppe)",3
"K2478","definitiv Verlag (Name + Sachgruppe)",3
"K2480","definitiv Verlag (Name + Sachgruppe)",3
"K2484","definitiv Verlag (Name + Sachgruppe)",12
