ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783982510873,50 - mit einem Lächeln ins nächste Jahrzehnt,,Fellbach,Horizont Media Verlag,[2023],150 Seiten,"Wenger, Ulrike",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783985381319; 3985381313,51 verlorene Geschichten vom 2. Weltkrieg,Originalausgabe,Düsseldorf,KLHE,[2023],213 Seiten,"Aygün, Azad",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783758319242; 3758319242,75 Jahre,1. Auflage,Norderstedt,BoD – Books on Demand,2023,154 Seiten,"Klassen, Wilhelm",,,,,Romanhafte Biographien,ger; rus,
9783755766780; 3755766787,77,2. Auflage,Norderstedt,BoD – Books on Demand,2023,84 Seiten,"Wurzer, Peter",,,,,Lyrik,ger,
9783910851054; 3910851053,99 buddhistische Kurzgeschichten,1. Auflage,Berlin,SELLBERG Verlag,2023,111 Seiten,,"Jyoti, Kunzang",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783960963462; 3960963467,A Book of Stories,1. Auflage 2023,Köln,Community Editions,2023,128 Seiten,"Johnson, Ana",,,,,,ger,
9783756812202; 3756812200,A Decade of Start-up Wisdom,1. Auflage,Norderstedt,BoD – Books on Demand,2023,108 Seiten,"Hoppe, Cornelia; Funk, Mirna",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783758413872; 3758413877,"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 1",1. Auflage,Berlin,epubli,2023,172 Seiten,"Ligotti, Thomas; Johnson, Robert Barbour; Wade, James","Joshi, S. T.",,,"Mayer, Steve",Erzählende Literatur: Anthologien,ger,
9783758444593; 3758444594,"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 2: Neue Erzählungen aus dem Cthulhu-Mythos",1. Auflage,Berlin,epubli,2023,148 Seiten,"Thomas, Jonathan; Prout, Mearle; Gresh, Lois H.; Tyson, Donald","Joshi, S. T.",,,,Erzählende Literatur: Anthologien,ger,
9783758445576; 3758445574,"A MOUNTAIN WALKED – Ganz unten und ganz oben, Band 3",1. Auflage,Berlin,epubli,2023,172 Seiten,"Pugmire, W. H.; Pulver, Sr., Joseph S.; Sargent, Stanley C.; Thompson, C. Hall","Joshi, S. T.",,,,Erzählende Literatur,ger,
9783257246926; 3257246927,Ab ins Körbchen,Originalausgabe,Zürich,Diogenes,[2023],270 Seiten,,"Asllani, Adrian",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Abendliche Begenungen,,[Leipzig],Nadja Lanart,2023,1 gefaltetes Blatt,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783518243565; 351824356X,Abenteuer aus dem Englischen Garten,Erste Auflage dieser Ausgabe,Berlin,Suhrkamp Verlag,2023,159 Seiten,"Fleißer, Marieluise",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783757819095; 3757819098,Abenteuerliches Europa,1. Auflage,Norderstedt,BoD – Books on Demand,2023,140 Seiten,"Shelley, Mary; Fletemeier, Ralf","Gogolin, Wolfgang A.",,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783750431072; 3750431078,Abflugbereit,1. Auflage,Norderstedt,BoD – Books on Demand,2023,124 Seiten,"von der Way, Bettina",,,,,Lyrik,ger,
,Abreißkalender History to go 2024,,München,arsEdition,2023,640 Seiten,"Feisel, Ronald",,,,,Geschenkbücher,ger,
9783903406193; 3903406198,Abscheulichkeiten,,Wien,Brot & Spiele Verlag e.U.,[2023],167 Seiten,"Fröhlich, Udo",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783990293959; 9783854359364; 9788871743523; 3990293958,Abschieblinge,,Klagenfurt,Wieser Verlag,[2023],201 Seiten,Prežihov Voranc,,"Strutz, Jozej",,,Fiktionale Darstellung; Erzählende Literatur,ger,slv
9783988850980; 3988850985,Abwärts,,[Remscheid],Rediroma-Verlag,[2023],338 Seiten,"Martin, Robert Patrick",,,,,Anthologie; Gemischte Anthologien,ger,
9783948815196; 3948815194,"""Ach wie gut, dass jemand weiß ...""","2., veränderte Auflage",Hamburg,Edition Widar,2023,117 Seiten,"Doussemer, Doris Carla",,,,,Anthologie; Erzählende Literatur,ger,
9783955878238; 3955878236,"Advent, Advent",1. Auflage,Regenstauf,SüdOst Verlag,2023,107 Seiten,"Detterbeck, Pius","Detterbeck, Franziska; Detterbeck, Wolfgang; Detterbeck, Roland",,,,Anthologie; Gemischte Anthologien,ger,
9783729651432; 3729651439,Advents-Stern,,[Basel],Zytglogge,[2023],25 Blätter,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783384033109; 3384033108,Adventskalendergeschichten,,Ahrensburg,tredition,2023,76 Seiten,"Hale, Talea",,,,,Erzählende Literatur; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783955874308; 3955874303,Älter werden is koa [durchgestrichen] a Gaudi,1. Auflage,Regenstauf,MZ Buchverlag,2023,160 Seiten,"Lauerer, Toni",,,,,"Anthologie; Humor, Satire",ger,
9783758355585; 3758355583,Aeolian World – Chomolungma – Novembernacht,1. Auflage,Norderstedt,BoD – Books on Demand,2023,132 Seiten,"Weipert, Simon",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783947487202; 3947487207,Agile Missions Impossible,Erste Auflage,Wangen im Allgäu,peppair GmbH,[2023],543 Seiten,"Sasse, Miriam","Sasse, Miriam",,,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783757947637; 3757947630,Alba und der Drache,,München,tolino media,2023,104 Seiten,"Rauch, Kerstin",,,,,Erzählende Literatur,ger,
9783347940192; 3347940199,Alchemie,,Ahrensburg,tredition,2023,240 Seiten,"Spiering, Philipp",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783347940208; 3347940202,Alchemie,,Ahrensburg,tredition,2023,240 Seiten,"Spiering, Philipp",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783423148788; 3423148780,Alissa kauft ihren Tod,Lizenzausgabe mit Genehmigung der Carl Hanser Verlag GmbH & Co. KG,München,dtv,2023,301 Seiten,"Ulickaja, Ljudmila Evgenʹevna",,"Braungardt, Ganna-Maria",,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,rus
9783458682998; 3458682996,All die schönen Winter,"Erste Auflage, Originalausgabe",Berlin,Insel Verlag,2023,191 Seiten,,"Paul, Clara",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783384026651; 3384026659,All dieses Gerede über Sex,Großdruckausgabe,Ahrensburg,tredition,2023,92 Seiten,"Graf, Mia",,,,,Erzählende Literatur; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783384026637; 3384026632,All dieses Gerede über Sex,,Ahrensburg,tredition,2023,96 Seiten,"Graf, Mia",,,,,Erzählende Literatur; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783384026620; 3384026624,All dieses Gerede über Sex,,Ahrensburg,tredition,2023,96 Seiten,"Graf, Mia",,,,,Erzählende Literatur,ger,
9783963116841; 3963116846,Alle Sinne leben,,Halle (Saale),Mitteldeutscher Verlag,[2023],139 Seiten,,,,,,Anthologie; Gemischte Anthologien,ger,
9783906082967; 3906082962,Alles außer Rand und Band,,Zürich,KaMeRu Verlag,[2023],332 Seiten,"Biro, Peter",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783756869794; 3756869792,Alles kann ganz anders sein,1. Auflage,Norderstedt,BoD – Books on Demand,2023,182 Seiten,"Lindemann, Christa",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783991520146; 3991520141,Alles Zufall oder wunderbare Fügung?,,Großebersdorf,Buchschmiede,[2023],152 Seiten,"Fried, Carmen",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783734719127; 3734719127,Alltagsminiaturen Band 1,1. Auflage,Norderstedt,BoD – Books on Demand,2023,200 Seiten,"Jacob, Ralph","Witkowski, Tom",,,,"Humor, Satire",ger,
9783734710162; 3734710162,Alltagsminiaturen Band 1,1. Auflage,Norderstedt,BoD – Books on Demand,2023,200 Seiten,"Jacob, Ralph","Witkowski, Tom",,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783750432307; 3750432309,Alltagsminiaturen Band 3,1. Auflage,Norderstedt,BoD – Books on Demand,2023,200 Seiten,"Jacob, Ralph","Witkowski, Tom",,,,"Humor, Satire",ger,
9783739249612; 3739249617,Alltagsträume,1. Auflage,Norderstedt,BoD – Books on Demand,2023,122 Seiten,"Voigt, Dietmar",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783757527686; 3757527682,Alpha-Reihe/Short Alpha Stories 3,3. Auflage,Berlin,epubli,2023,580 Seiten,"Baker, Minny",,,,,Erzählende Literatur,ger,
9783735742735; 3735742734,Als bei Bruno Lenkovich einmal die Zeit stehenblieb,2. Auflage,Norderstedt,BoD – Books on Demand,2023,168 Seiten,"Leuthner, Werner",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783990295960; 3990295969,Als das Leben noch in Ordnung war,,Klagenfurt/Celovec,Wieser Verlag,[2023],273 Seiten,"Beyerl, Beppo",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783417000603; 3417000602,Als die Mönche die Heimat verließen,,Witten,SCM R. Brockhaus,[2023],320 Seiten,"Vorländer, Gerold",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783831908516; 3831908516,Als die Stadt brannte,,Hamburg,Ellert & Richter Verlag,[2023],144 Seiten,"Surminski, Arno",,,,,Anthologie; Erzählende Literatur,ger,
,Als es dunkel wurde,,[Leipzig],Nadja Lanart,2023,1 gefaltetes Blatt,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783837227284; 3837227286,Als Großmama ein Mädche war,,Frankfurt a/M,public book media verlag,[2023],147 Seiten,"Chaffin-Schäfer, Nicole",,,,"Chaffin-Schäfer, Nicole",Anthologie; Erzählende Literatur: Anthologien,ger,
9783949902154; 3949902155,Als ich Kind war …,1. Auflage,Dortmund,OCM GmbH,November 2023,145 Seiten,"Meißner-Johannknecht, Doris",,,,,Fiktionale Darstellung; Anthologie; Lyrik,ger,
9783643511713; 364351171X,Als ich noch der Bauernbub war,,Wien,LIT,[2023],165 Seiten,"Mann, Erwin",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783758300486; 3758300487,Als mich meine Einsamkeit wachküsste,1. Auflage,Norderstedt,BoD – Books on Demand,2023,156 Seiten,"Böhringer Kunz, Regina",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783982147543; 3982147549,Als Oma noch lebte,2. Auflage,Hornberg,Elmar Langenbacher Verlag,März 2023,223 Seiten,"Langenbacher, Elmar",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783969992005; 3969992001,Als wir die Maikäfer waren,Erste Auflage,Göttingen,Steidl,Januar 2023,93 Seiten,"Heubner, Christoph",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783730612118; 3730612115,Als wir klein und fröhlich waren,,München,Anaconda,[2023],223 Seiten,,"Strümpel, Jan",,,,Anthologie; Gemischte Anthologien,ger,
9783784079479; 3784079474,Als wir noch Brautleute waren,,Kevelaer,Lahn-Verlag in der Butzon & Bercker GmbH,[2023],15 Seiten,"Wiesinger, Maria",,,,,Anthologie; Geschenkbücher,ger,
9783758303814; 3758303818,Am Ende der Straße - das Meer,1. Auflage,Norderstedt,BoD – Books on Demand,2023,292 Seiten,,"Schubert, Gertraud",,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783965433595; 3965433598,Am Rand des virtuellen Universum,,Berlin,Lehmanns Media,[2023],220 Seiten,"Kayser, Klaus",,,,,"Fiktionale Darstellung; Science Fiction, Fantasy",ger,
9783734721724; 3734721725,Am Scheideweg,1. Auflage,Norderstedt,BoD – Books on Demand,2023,184 Seiten,"Bornhorn, Nicolaus",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
