literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA36;Sinn und Form;LZ68;1;2013;"Fischwaren; Die Musiker; Das Salzschloss; Die Nonne";"Grünbein, Durs;Meiners, Eibe;Meiners, Eibe;Meiners, Eibe"
LZA37;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;205;2013;"Der eigentliche Wollaffe; Die Unternehmerin";"Angermann, Franziska;Angermann, Franziska"
LZA38;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;208;2013;"Wie ich mit meiner Zunge begann; Nasenhörner";"Präauer, Teresa;Kim, Anna"
LZA39;Sinn und Form;LZ68;3;2013;Die Farben der Wörter;Glasser, Marianne
LZA40;Sinn und Form;LZ68;4;2013;Die Insel;Seiler, Lutz
LZA41;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;209;2014;"Der Hungerverlust; Pärchenabend; Vermächtnis der Tiere; Eulen; Die Wiegemaschine";"Kluth, Carsten;Lemke, Hanna;Obexer, Maxi;Seydlitz, Lisa-Maria;Widder, Roman"
LZA42;Sinn und Form;LZ68;3;2014;Allwurzler;Klein, Georg
LZA43;Sinn und Form;LZ68;4;2014;Das Dorf der blauen Frauen;Winkler, Katharina
LZA44;Sinn und Form;LZ68;5;2014;Ins Nachtbuch;Sayer, Walle
LZA45;Sinn und Form;LZ68;1;2015;"Die Kellnerin; Der Torweg";"Herrmann-Neiße, Max;Vesper, Guntram"
LZA46;Sinn und Form;LZ68;2;2015;Es musste sein;Jirgl, Reinhard
LZA47;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;213;2015;"Raus aufs Land; Sandalen; Das Röhrchen; Wense";"Dröschel, Thomas;Iwanowski, Sarah;Marfutova, Yulia;Schulteisz, Christian"
LZA48;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;214;2015;"Das leicht fransige Orange des Seils; Dinge der Liebe";"Pletzinger, Thomas;Stichmann, Andreas"
LZA49;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;215;2015;"Das Universum des Menschen; Der Mensch ist seine Legende; Es steht geschrieben; Und es ward Abend und es ward Morgen; Spuren; Leben ist Erinnerung an das Leben";"Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter"
LZA50;Sinn und Form;LZ68;3;2015;"Das erfüllte Leben; Wenn der Vater nicht stirbt";"Schoch, Julia;Bettinger, Martin"
LZA51;Sinn und Form;LZ68;5;2015;"Ich war nie in Mariupol; Eine Völkerfriedensstiftung";"Wodin, Natascha;Margwelaschwili, Giwi"
LZA52;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2015;Verwandelte Formen;Jackson, Hendrik
LZA53;Sinn und Form;LZ68;2;2016;Das Dorf;Scherer, Marie-Luise
LZA54;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;217;2016;"Alessandro; Drei Erzählungen. Alles Gute; Echos; Senke; Die Zerstörung; Mit einem Fuß draußen; Namors Nebel; Die Lauschenden; Lucia; Dickicht";"Kaminski, Volker;Lehmann, Andreas;Lehmann, Andreas;Lehmann, Andreas;Macht, Sascha;Meier, Anaïs;Schloyer, Christian;Schibli, Barbara;Sigmund, Corinna;Sonnentag, Jule"
LZA55;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;218;2016;"Der verlorene Abschied; WinterLand; Wald, Juni";"Schünemann, Peter;Schünemann, Peter;Meierfrankenfeld, Beate"
LZA56;Sinn und Form;LZ68;3;2016;"Aufzeichnungen eines Lehrlings; Begegnung; Eine Frau allein";"Pitschmann, Siegfried;Rohr, Angela;Meckel, Christoph"
LZA57;Sinn und Form;LZ68;5;2016;Paulkes letzter Tag;Borchardt, Rudolf
LZA58;Sinn und Form;LZ68;6;2016;Seestück;Georgi, André
