Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7696;ceberos96;https://www.fanfiktion.de/u/ceberos96;507d60cc000183d40c907530;https://www.fanfiktion.de/s/507d60cc000183d40c907530/1/Schlaf;Schlaf;Prosa;Kurzgeschichten;1;16.10.2012;16.10.2012;111;KurzgeschichteTragödie;P12;0;0
7697;Eressea;https://www.fanfiktion.de/u/Eressea;507d1cdd000191c90c907530;https://www.fanfiktion.de/s/507d1cdd000191c90c907530/1/Sprachen-des-Herbsts;Sprachen des Herbsts;Prosa;Kurzgeschichten;1;16.10.2012;16.10.2012;692;KurzgeschichtePoesie, Schmerz/Trost;P16;0;0
7698;Deedingin;https://www.fanfiktion.de/u/Deedingin;507c4a8c00029f850c907530;https://www.fanfiktion.de/s/507c4a8c00029f850c907530/1/Simon;Simon;Prosa;Kurzgeschichten;1;15.10.2012;15.10.2012;326;KurzgeschichteFreundschaft;P12;0;5
7699;Deedingin;https://www.fanfiktion.de/u/Deedingin;507c2bf200029f850c907530;https://www.fanfiktion.de/s/507c2bf200029f850c907530/1/Aussenseiter;Aussenseiter;Prosa;Kurzgeschichten;1;15.10.2012;15.10.2012;351;KurzgeschichteAllgemein;P12;0;3
7700;Sidney13;https://www.fanfiktion.de/u/Sidney13;507af891000295670c907530;https://www.fanfiktion.de/s/507af891000295670c907530/1/Das-Fenster-zur-Sehnsucht;Das Fenster zur Sehnsucht;Prosa;Kurzgeschichten;1;14.10.2012;14.10.2012;381;GeschichteAllgemein;P12;0;1
7701;Lucy Fernandez;https://www.fanfiktion.de/u/Lucy+Fernandez;507ad6bc000290b40c907530;https://www.fanfiktion.de/s/507ad6bc000290b40c907530/1/Rot-und-Schwarz;Rot und Schwarz;Prosa;Kurzgeschichten;1;14.10.2012;14.10.2012;407;KurzgeschichteSchmerz/Trost, Tragödie;P12;0;1
7702;oOAlexaOo;https://www.fanfiktion.de/u/oOAlexaOo;507a851600028d2b0c907530;https://www.fanfiktion.de/s/507a851600028d2b0c907530/1/Vergangener-Sommer;Vergangener Sommer;Prosa;Kurzgeschichten;1;14.10.2012;14.10.2012;279;KurzgeschichtePoesie, Liebesgeschichte;P6;0;1
7703;RoniRidiculous;https://www.fanfiktion.de/u/RoniRidiculous;507a7f940001b62c0c907530;https://www.fanfiktion.de/s/507a7f940001b62c0c907530/1/Der-Fehler;Der Fehler;Prosa;Kurzgeschichten;1;14.10.2012;14.10.2012;652;KurzgeschichteDrama, Schmerz/Trost;P12;0;1
7704;Sania;https://www.fanfiktion.de/u/Sania;50791b610001c64a0c907530;https://www.fanfiktion.de/s/50791b610001c64a0c907530/1/Die-Eidgenossen-von-Sierra-Leone;Die Eidgenossen von Sierra Leone;Prosa;Kurzgeschichten;2;13.10.2012;14.10.2012;2692;GeschichteAbenteuer, Freundschaft;P16;1;1
7705;Sonost;https://www.fanfiktion.de/u/Sonost;50795f360001b7c30c907530;https://www.fanfiktion.de/s/50795f360001b7c30c907530/1/Der-Kampf-um-Tina;Der Kampf um Tina;Prosa;Kurzgeschichten;1;13.10.2012;13.10.2012;1056;KurzgeschichteLiebesgeschichte;P12;0;0
