literaturwettbewerb_id;literaturwettbewerb_name;veranstalter;veranstaltungsort;laengenvorgabe_text;themenvorgabe;altersgrenze;jury_2023;ausrichtungszyklus;preisart;hoehe_preisgeld;publikation;live_event;erstausrichtung;website 
L11;Grusel-Wusel-Geschichtenwettbewerb;Budde-Haus – Soziokulturelles Zentrum Leipzig-Gohlis;Leipzig;1-3 Seiten;ja;"Altersgruppe 1: 6 bis 9 Jahre; Altersgruppe 2: 10 bis 14 Jahre; Altersgruppe 3: ab 15 Jahre";keine Info;jährlich;"Sachpreise; Buchpreise";/;ja;ja;2020;https://www.budde-haus.de/grusel-wusel-geschichtenwettbewerb-2023/
L12;Hattinger Förderpreis für Junge Literatur;"Stadt Hattingen; Förderverein Stadtmuseum Hattingen";Hattingen;1-5 Seiten;nein;16-25 Jahre;"Fischer, Julia; Friedrich, Lars; Heinbruch, Christa; Borgmann, Susanne; Ollenik, Ursula";jährlich;Preisgeld;300 €;Lesung;ja;1991;https://www.hattingen.de/stadt_hattingen/Bildung%20und%20Kultur/Stadtmuseum/F%C3%B6rderverein/Hattinger%20F%C3%B6rderpreis%20f%C3%BCr%20junge%20Literatur/
L13;Ingeborg-Bachmann-Preis;Landeshauptstadt Klagenfurt;Klagenfurt;25min Lesedauer;nein;nein;Die Jury besteht aus mindestens 7 Publizistinnen, Kritiker*innen, Wissenschaftler*innen und Schriftsteller*innen. Die Auswahl der Jurymitglieder treffen Vertreter*innen der Veranstalter*innen.;jährlich;"Preisgeld; Publikation";6000-25000€;ja;ja;1977;https://bachmannpreis.orf.at/
L14;Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen;"vomhörensehen medienagentur; hkk Krankenkasse";Bremen/Hamburg/Niedersachsen;0-2500;ja;15 bis 25 Jahre;Kreativköpfe aus Film, Musik, Journalismus, Medienpädagogik und Suchtprävention;jährlich;Preisgeld;Gesamtwert von 8.000€;keine Info;ja;2015;https://ausweggesucht.de/
L15;Jugendliteraturwettbewerb der Uckermark;"Dominikanerkloster Prenzlau; Stadtbibliothek Prenzlau";Prenzlau;1-4 Seiten;ja;max. 21 Jahre alt;"Beetz, Nico; Berkholz, Christoph; Fliegel, Regina; Flügge, Astrid; Korth – Seredzun, Elke; Rohrbeck, Ellen; Schmidt, Dagmar; Völz, Silke; Wendt, Almuth";jährlich;"Preisgeld; Sachpreise";;keine Info;ja;1991;https://www.prenzlau.eu/cms/detail.php/land_bb_boa_01.c.384335.de
L16;Junger Literaturpreis Schleswig-Holstein;Freundeskreis des Literaturhauses Schleswig-Holstein;Schleswig-Holstein;1-4 Seiten;nein;14 bis 20 Jahre;keine Info;keine Info;"Preisgeld; Publikation";500€ (gesamt);ja;ja;2017;https://flsh-kiel.de/junger-literaturpreis-schleswig-holstein/
L17;Kinder- und Jugendliteraturwettbewerb Eberhard;Landkreis Barnim;Eberswalde;1-7 Seiten;ja;nein;vom Landkreis Barnim berufene unabhängige Jury;alle zwei Jahre;"Preisgeld; bronzene Kleinplastik des Eberwalder Metallbildhauers Eckhard Herrmann";2.500 €;ja ;ja;2001;https://www.oldenburg.de/startseite/kultur/kulturprojekte-und-preise/kulturpreise/kinder-und-jugendbuchpreis.html
L18;Konstantin-Andok-Literaturpreis;Soli Netz;online;16 DIN-A4 Seiten;ja;nein;keine Info;erstmals;Preisgeld;100-600€;ja;ja (online);2023;https://soli-netz.blog/category/konstantin-andok-literaturpreis/
L19;Kulturzone Schreibwettbewerb 2023;Kulturzone e.V.;Landkreis Uckermark;1-3 Seiten;ja;nein;Eine unabhängige Jury bestimmt die GewinnerInnen.;alle paar Jahre;Publikation;/;ja;nein;2006;http://www.kultur-zone.de/forum.htm
L20;Kurzgeschichtenwettbewerb „Dark Sky Nord“;Initiative DarkSky Nord;Bremen;Max 10.000 Zeichen – OHNE Leerzeichen;ja;nein;keine Info;keine Info;"Publikation; Sachpreise";/;ja;nein;2023;https://www.darksky-nord.de/2024/11/17/kurzgeschichtenwettbewerb-2024-2025/
L21;Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“;DHBW Mannheim;Mannheim;0-15000;ja;nein;keine Info;erstmals;"Publikation; Belegexemplar";/;ja;nein;2023;https://www.mannheim.dhbw.de/forschung-transfer/forschungsprofil/forschungsnetzwerk/hochschulanthologie
L22;LitArena XI – Literaturwettbewerb;Literarische Gesellschaft (LitGes) St. Pölten;St. Pölten;1-4 Seiten;nein;max. 27 Jahre alt;keine Info;jährlich;Preisgeld;200-500;keine Info;keine Info;2003;https://www.litges.at/etcetera/litarena
L23;Literaturpreis der Künstler-Gilde e.V.;Künstler-Gilde e.V. ;Esslingen;keine;nein;nein;Es gibt eine qualifizierte Jury.;jährlich;Publikation;/;ja;nein;2023;https://www.kuenstlergilde.eu/preisverleihungen-verliehene-preise/literaturpreise-fuer-lyrik-kurzprosa/
L24;Literaturwettbewerb von Literaturpodium.de;"Literaturpodium; Autorengruppe Märkischer Kreis";;1-20 Seiten;ja;nein;keine Info;keine Info;"Publikation; Buchpreise; Sachpreise";/;ja;nein;mind. 2008;http://www.literaturpodium.de/
L25;Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.;Autorenkreis Ruhr-Mark e.V. mit Sitz in Hagen (NRW);Hagen;0-8000 Zeichen;ja;ab 18 Jahren;keine Info;keine Info;Preisgeld;100-300€;ja;ja;2023;https://www.autorenkreis-ruhr-mark.de/literaturwettbewerb-2023/
L26;Literaturwettbewerb der Bürgerstiftung Düren;Bürgerstiftung Düren;Düren;4-10 Seiten;ja;nein;keine Info;keine Info;Preisgeld;100-300€;keine Info;ja;2019;https://buergerstiftung-dueren.de/eigene-projekte/literaturpreis/
L27;Moerser-Literaturpreises ;Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.;Moers;1-5 Seiten;ja;mind. 16 Jahre alt;keine Info;jährlich;Preisgeld;750-1500€;keine Info;ja;1998;https://www.moersergesellschaft.de/ausschreibung/
L28;Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb;ProMÖLLTAL-Initiative für Bildung, Kultur, Wirtschaft und Tourismus;Mölltal;750-1750 Zeichen;ja;"mind. 14 Jahre alt (bezieht sich auf Kurzgeschichtenwettbewerb für Autor*innen; Altersgrenze für Kurzgeschichtenwettbewerb für Nachwuchsautor*innen: bis zum Ende der 8. Schulstufe, hier aber nur Nachwuchspreis in Form eines Bücherpakets!)";"Franzobel; Altziebler, Agnes; Böllinger, Birgit; Koch, Alfred; Thies, Luisa";jährlich;"Preisgeld; Buchpreise";100-1000€;ja;ja;2016;https://www.moelltaler-geschichten-festival.at/
L29;nah und fern Literaturpreis ;Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut;Salzkammergut/Bad Ischgl;12000-20000;ja;"Jugendpreis: 14 bis 19 Jahre; Kategorie Erwachsene: ab 20 Jahre";Zehnköpfige Fach-Jury wählt Short-List aus, danach Fünf-Köpfige Jury + Publikum auf Veranstaltung die Gewinner;erstmals;Preisgeld;500-4000€;ja;ja;2023;https://www.salzkammergut-2024.at/projekte/literaturpreis-nah-und-fern/
L30;open mike - Wettbewerb für junge Literatur ;"Haus für Poesie; Literaturwerkstatt Berlin";Berlin;15 minütige Lesezeit;nein;unter 35;"Bazyar, Shida; Varatharajah, Senthuran; Golob, Anja Zag";jährlich;"Preisgeld; Publikation";7.500€ gesamt;ja;ja;1993;https://www.haus-fuer-poesie.org/de/open-mike/h/
L31;Peng! Kurz-Krimi- Wettbewerb;Literaturhaus Salzburg;Salzburg;0-15000 Zeichen;ja;18-28 Jahre;keine Info;keine Info;Preisgeld;1000-2500€;keine Info;ja;2009;https://www.die-criminale.de/krimipedia/krimipreise-ausschreibungen/5376-kurzkrimi-wettbewerb-fuer-junge-autorinnen.html
L32;Preis der Gruppe 48;Die Gruppe 48 e.V.;Rösrath;8000-10000 Zeichen;nein;mind. 16 Jahre alt;"Oberkampf, Uta; Harst, Uta; Buehler, Rosemarie; Buehler, Rohna; Dietz, Pierre; Gellermann, Rainer; Hinrichsen, Christel; Neumann, Bernd; Ostertag, Heiger; Pfefferlen, Erich; Rudolf, Bodo; van Thorn, Niklas; Walther, Monika";jährlich;Preisgeld;1000-3000€;ja;ja;2016;https://www.die-gruppe-48.net/Zweck-und-Ziel
L33;SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit;3. Oktober – Deutschland singt und klingt;Leipzig;0-30000 Zeichen;ja;"Kategorie 1: 16 bis 26 Jahre; Kategorie 2: ab 16 Jahre, Kategorie 3: Schüler*innen der Sekundärstufe";"George, Nina; Bärsch, Thomas; Falkenhagen, Lena; Spreckelsen, Tilman; Dobschütz, Robert; Oettinghaus, Bernd; Tenzler-Heusler, Susanne; Tenzler, Emma; Schulze Wehninck, Birgit";;"Preisgeld; Reise; Publikation";250-1000€;ja;ja;2022;https://3oktober.org/schreibwettbewerb/
L34;Schreibwettbewerb „Über All“;LizzyNet gGmbH;online;0-6000 Zeichen;ja;12-26 Jahre;"Fohlmeister, Janine; Hannig, Theresa; Morris, Brandon Q.; Mummer-Göbel, Linda; Urban, Karl";ungefähr jährlich;"Preisgeld; Sachpreise";;ja;ja;2023;https://www.lizzynet.de/wws/9.php#/wws/ueber-all-schreibwettbewerb.php
L35;Schreib-Wettbewerb der SchreibRäume;Magazin SchreibRÄUME;;0-10000 Zeichen;ja;ab 18 Jahren;keine Info;keine Info;"Preisgeld; Publikation";100-300€;ja;keine Info;2023;https://schreibraeume-magazin.at/schreibwettbewerb/
L36;Schreibwettbewerb des Literaturhaus Zürich;"Literaturhaus Zürich; Zürcher Kantonalbank";Zürich/online;0-10000;ja;nein;"Schneider, Gesa; Vonlanthen, Isabelle; Bissig, Florian; Fuchs, Elisa; Mbuti, Ann; Nielsen, Jens; Rodgers, Davina; Zingg, Martin";monatlich;"Auftritt; Publikation";;ja;ja;2001;https://literaturhaus.ch/schreibwettbewerb/
L37;Schreibwettbewerb für junge Menschen;Tübinger Buchhandlung Wekenmann unter der Schirmherrschaft von Dr. Daniela Hüttig, Erste Landesbeamtin, und in Kooperation mit der Tübinger Museumsgesellschaft;Tübingen;1-5 Seiten;ja;16 bis 25 JAhre;Eine fünfköpfige Jury;jährlich;Publikation;;keine Info;ja;2004;https://www.wekenmann-buch.de/de/veranstaltungen-termine/schreibwettbewerb/archiv/19-schreibwettbewerb-fuer-junge-menschen-2022.html
L38;Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“;zebra bw;Stuttgart;300-1700 Wörter;ja;nein;"""fachkundige Jury""";keine Info;"Auszeichnung; Überraschungspaket";;ja;ja;2023;https://zebra-bw.com/news/einladung-zum-schreibwettbewerb-triumph-der-toleranz-erfolgsgeschichten-im-umgang-mit-meinungsverschiedenheiten/
L39;Vechtaer Jugendliteraturpreis;"Stadt Vechta; Geest-Verlag";Vechta;1-5 Seiten;ja;14 bis 21 Jahre;Die Preise werden von einer Jury aus Erwachsenen und jungen Erwachsenen entschieden. Mitglieder der Jury sind unter anderem Autor*innen, Lehrer*innen, Mitarbeiter*innen des Verlags und der Stadt Vechta;keine Info;"Publikation; Preisgeld; Buchpreise";100-500€;ja;ja;2018;https://www.vechta.de/nachricht/7-vechtaer-jugendliteraturpreis-ausgeschrieben
L40;Walter-Serner-Preis für Kurzgeschichten;"radio 3; rbb; Literaturhaus Berlin";Berlin;15.000 Zeichen (inkl. Leerzeichen);ja;ab 18 Jahren;keine genaue Info;jährlich;Preisgeld;5.000 €;ja;ja;Mitte der 1970er Jahre;https://www.radiodrei.de/themen/literatur/walter_serner_preis/index1.html
L41;Wilhelm-Fabry-Förderpreis;Stadt Hilden;Hilden;0-14000 Zeichen;;nein;Der Jury gehören mindestens 2 Fachjuroren sowie Mitglieder des Ausschusses für Kultur und Heimatpflege und Mitarbeiter des Bereichs Kultur der Stadt Hilden an.;keine Info;Preisgeld;4.000 €;keine Info;ja;1978;https://www.hilden.de/de/kultur-freizeit/kulturangebote/kreativangebote/#accordion-1-1
L42;Wir sind lesenswert-Wettbewerb;wir sind lesenswert – Verein für Literatur;Graz;10min Lesedauer;ja;keine Altersbegrenzung;"Schnabel, Sigune; Neuhuber, Christian; Mengeler, Thea";jährlich;"Buchpreise; Publikation; Jurymitgliedschaft";;ja;ja;2019;https://wirsindlesenswert.com/
L43;WORTMELDUNGEN Ulrike Crespo Förderpreis 2023;Crespo Foundation;;9000-20000 Zeichen;ja;;"Aras, Maryam; Jung, Anna; Kordić, Martin; Utler, Anja; Valk, Jan";jährlich;"Preisgeld; Workshop";500-15000€;ja;ja;2018;https://www.crespo-foundation.de/de/news/wortmeldungen-gesucht-crespo-foundation-schreibt-foerderpreis-2023-fuer-nachwuchsautor-innen-aus
L44;zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb;"Kulturland Niederösterreich; Raiffeisenbank Baden";Niederösterreich;0-4500 Zeichen;nein;mind. 18 Jahre alt;"Wind, Jennifer B.; Kinstner, Margarita; Biltgen, Raoul; Naber, Sabina; Kranzl, Nicole ";jährlich;"Preisgeld; Publikation; Sprechcoaching-Seminar";100-500€;ja;ja ;2011;https://www.zeilen-lauf.at/
