literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beiträge;verfasser_ke_beiträge
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;209;2014;"Der Hungerverlust; Pärchenabend; Vermächtnis der Tiere; Eulen; Die Wiegemaschine";"Kluth, Carsten;Lemke, Hanna;Obexer, Maxi;Seydlitz, Lisa-Maria;Widder, Roman"
;Sinn und Form;;3;2014;Allwurzler;Klein, Georg
;Sinn und Form;;4;2014;Das Dorf der blauen Frauen;Winkler, Katharina
;Sinn und Form;;5;2014;Ins Nachtbuch;Sayer, Walle
;Sinn und Form;;1;2015;"Die Kellnerin; Der Torweg";"Herrmann-Neiße, Max;Vesper, Guntram"
;Sinn und Form;;2;2015;Es musste sein;Jirgl, Reinhard
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;213;2015;"Raus aufs Land; Sandalen; Das Röhrchen; Wense";"Dröschel, Thomas;Iwanowski, Sarah;Marfutova, Yulia;Schulteisz, Christian"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;214;2015;"Das leicht fransige Orange des Seils; Dinge der Liebe";"Pletzinger, Thomas;Stichmann, Andreas"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;215;2015;"Das Universum des Menschen; Der Mensch ist seine Legende; Es steht geschrieben; Und es ward Abend und es ward Morgen; Spuren; Leben ist Erinnerung an das Leben";"Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter;Forte, Dieter"
;Sinn und Form;;3;2015;"Das erfüllte Leben; Wenn der Vater nicht stirbt";"Schoch, Julia;Bettinger, Martin"
;Sinn und Form;;5;2015;"Ich war nie in Mariupol; Eine Völkerfriedensstiftung";"Wodin, Natascha;Margwelaschwili, Giwi"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;Sonderheft;2015;Verwandelte Formen;Jackson, Hendrik
;Sinn und Form;;2;2016;Das Dorf;Scherer, Marie-Luise
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;217;2016;"Alessandro; Drei Erzählungen. Alles Gute; Echos; Senke; Die Zerstörung; Mit einem Fuß draußen; Namors Nebel; Die Lauschenden; Lucia; Dickicht";"Kaminski, Volker;Lehmann, Andreas;Lehmann, Andreas;Lehmann, Andreas;Macht, Sascha;Meier, Anaïs;Schloyer, Christian;Schibli, Barbara;Sigmund, Corinna;Sonnentag, Jule"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;218;2016;"Der verlorene Abschied; WinterLand; Wald, Juni";"Schünemann, Peter;Schünemann, Peter;Meierfrankenfeld, Beate"
;Sinn und Form;;3;2016;"Aufzeichnungen eines Lehrlings; Begegnung; Eine Frau allein";"Pitschmann, Siegfried;Rohr, Angela;Meckel, Christoph"
;Sinn und Form;;5;2016;Paulkes letzter Tag;Borchardt, Rudolf
;Sinn und Form;;6;2016;Seestück;Georgi, André
;Sinn und Form;;2;2017;"Die Geschichte von Lydia und Behn; Meine Wohnung";"Scherer, Marie-Luise;Seiler, Lutz"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;221;2017;"Milchzähne; Die Dörfer von gestern";"Bukowski, Helene;Hulpe, Marius"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;224;2017;"Mein erstes richtiges Buch; Fählüna. Wie Thöny, Hilty, Frick und Wachter ein Jahrzehnt zu früh den Punk erfanden";"Spinnen, Burkhard;Sprenger, Stefan"
;Sinn und Form;;3;2017;Von der Kunst eine Kurzgeschichte lang erscheinen zu lassen;Estis, Alexander
;Sinn und Form;;5;2017;Die dichte Welt;Fioretos, Aris
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;Sonderheft;2017;"Post aus Jyväskyla; Bloß ein Mensch";"Pelny, Marlen;Klüssendorf, Angelika"
;Sinn und Form;;2;2018;Der Neandertaler von Darmstadt;Geiser, Christoph
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;226;2018;Die Nacht in Riom;Weißenborn, Theodor
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;227;2018;"Tagebuch einer jungen Frau, die am Fall beteiligt war; LAUTE: STILLE";"Nolte, Jakob;Fritsch, Werner"
;Sinn und Form;;3;2018;"Die Hand; Arbeit am Blasator";"Georgi, André;Klein, Georg"
;Sinn und Form;;4;2018;Der Künstlerbesuch;Lehr, Thomas
;Sinn und Form;;5;2018;Einer muß wachen. Nachtstück;Kempker, Kerstin
;Sinn und Form;;1;2019;"Der einzige Weg; Junger Pfau in Aspik";"Seiler, Lutz;Klein, Georg"
;Sinn und Form;;2;2019;Kakoj Kaschmar oder You are welcome;Schulze, Ingo
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;229;2019;"Miniquidi; Die Rinne; Der Bulle";"Behr, Sebastian;Lunghuß, Marc;Wintterlin, Lea"
;Sinn und Form;;3;2019;Geschichte meines Autos;Steinkopf, Leander
;Sinn und Form;;4;2019;Zurück;Haring, Roswitha
;Sinn und Form;;5;2019;Nach Split;Kinsky, Esther
;Sinn und Form;;6;2019;"Der Blaubart aus Küsnacht; Theo";"Arquint, Tatjana;Arquint, Tatjana"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;233;2020;"Der Gipfel von allem; Als ich einmal fast berühmt wurde; Saturn ohne Ringe; Sie nennen ihn auch Atlas";"Altmann, Kristin;Pelny, Marlen;Schulz, Andrej;Sommer, Philipp"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;236;2020;"grenze; Playhouse";"Dündar, Özlem Özgül;Böhm, Philipp"
;Sinn und Form;;4;2020;"Der Wächter; Die Glut; Im Innern des Berges; Mikroben; Wo keine Frage ist; Zartplastik; Die Liste; Die Abkürzung; Die leere Seite im Reisetagebuch";"Lehner, Christian;Lehner, Christian;Lehner, Christian;Lehner, Christian;Lehner, Christian;Steinkopf, Leander;Asgari, Marjan;Schock, Ralph;Sayer, Walle"
;Das GRAMM;;1;2021;Die Übungen;Setz, Clemens J.
;Das GRAMM;;2;2021;Grünge Orangen;Krusche, Lisa
;Sinn und Form;;1;2021;Ohne Form sind wir Staub;Kempker, Kerstin
;Sinn und Form;;2;2021;Der Türke;Georgi, André
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;237;2021;"Mein Sohn hält mich in seiner Hand; Die Briefe meiner Mutter; Eierfrauen; you";"Hoang, Hieu;Schmeller, Rina;Steiner, Paula;Tidén, Frederik"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;238;2021;"Der Umzug; Der Zwiebelfisch";"Loschütz, Gerd;Skármeta, Antonio"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;239;2021;"Würgeengel, 90er Jahre; Rosi; Das Milch & Honig-Notizbuch; Amok; Bruder Klaus; (Notate, 4. Januar 2017); Ungegenwart";"Hettche, Thomas;Schulze, Ingo;Grünbein, Durs;Lenze, Ulla;Lüscher, Jonas;Bazyar, Shida;Bulucz, Alexandru"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;240;2021;Erde Liebe Chaos;Just, Lorenz
;Das GRAMM;;3;2021;Ein großes Dankeschön;Loß, Lennardt
;Das GRAMM;;4;2021;Tamina Blue;Fallwickl, Mareike
;Das GRAMM;;5;2021;Ein verlängertes Wochenende;De Weck, Margaux
;Das GRAMM;;6;2021;Rote Asche;Sipal, Akin Emanuel
;Sinn und Form;;3;2021;Am Osloer Fjord oder der Fremde;Lange, Hartmut
;Sinn und Form;;4;2021;Das japanische Palais;Deckert, Renatus
;Sinn und Form;;6;2021;"Der Polyp Polymat; Dreh dich nicht um";"Margwelaschwili, Giwi;Haring, Roswitha"
;Sinn und Form;;1;2022;Das Zusammenfalten der Zeit;Seyer, Walle
;Das GRAMM;;10;2022;John Belushi;Stahl, Alexandra
;Das GRAMM;;11;2022;Poolparty;Winkler, Philipp
;Das GRAMM;;12;2022;Immer die Liebe;Grigorcea, Dana
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;241;2022;"Quinn; mutterfremd; tänzeln; Manner: Sturm der Triebe";"Kaiser-Mühläcker, Roman;Karrasch, Ferial Nadja;Milsch, Charlotte;Osagiobare"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;242;2022;Es reicht doch, das Matterhorn zu bestaunen;Lehr, Thomas
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;243;2022;"Einige Landesgrenzen weiter östlich, von hier aus gesehen; A Gringo Like Me";"Bulucz, Alexandru;Kordež, Klemen"
;Sinn und Form;;3;2022;Der Jenseits-Baedeker;von Kieseritzky, Ingomar
;Das GRAMM;;7;2022;Die Aussicht;Engler, Leon
;Das GRAMM;;8;2022;Abendbrot;Hermann, Judith
;Das GRAMM;;9;2022;Stock und Kopf;Özdogan, Selim
;Sinn und Form;;1;2023;"Nachtwege; Onkel hast du Feuer?";"Weinholz, Erhard;Kohlhaase, Wolfgang"
;Das GRAMM;;13;2023;Gehen oder Bleiben;"Poznan, Judith;Lukas, Clint"
;Das GRAMM;;14;2023;Alles wird heller;Hirschl, Elias
;Das GRAMM;;15;2023;Glitzer;Thomas, Ruth Maria
;Das GRAMM;;16;2023;Die Sterne über der Wüste;Lupert, Rick
;Das GRAMM;;17;2023;Liebe Grüße;Gawrisch, Dmitrij
;Das GRAMM;;18;2023;Lady-Mücken;Nandi, Jacinda
;Sinn und Form;;2;2023;"Man tut nichts anderes dort; Vierhundertfünfundsechzig";"Steinkopf, Leander;Schock, Ralph"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;245;2023;"Ferhat; Verdrängungen ersten Grades; Winterschlaf; Peter Papierflieger; Oh well; Familienkur; Oh, Sunny";"Aktay, Eser;Engler, Leon;Petuzzi, Mario;Philippi, Emily;Putz, Tom Jan;Schumacher, Florentin;Yun, Ta-Som"
;Sinn und Form;;3;2023;Weiße Stellen, schwarze Löcher, blinde Flecken;Schulze, Ingo
;Sinn und Form;;4;2023;Einfache Rezepte;Weinholz, Erhard
;Sinn und Form;;5;2023;Leonor rückwärts;Kempker, Kerstin
