va_ausgabe_id;va_ausgabe_titel;vonveranstaltung;veranstaltung_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;Quelle
11;42. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2018;"Maljartschuk, Tanja;Bjerg, Bov;Dündar, Özlem Özgül;Stern, Anna;Edelbauer, Raphaela";"Frösche im Meer; SERPENTINEN; und ich brenne; Warten auf Ava; Das Loch";"Winkels, Hubert;Gmünder, Stefan;Gomringer, Nora;Kastberger, Klaus;Keller, Hildegard Elisabeth;Wiederstein, Michael;Wilke, Insa";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2923361/
12;43. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2019;"Birnbacher, Birgit;Fischer, Leander;Jost, Julia;Federer, Yannic Han Biao;Othmann, Ronya";"Der Schrank; Nymphenverzeichnis Muster Nummer eins Goldkopf; Unweit vom Schakaltal; Kenn ich nicht; Vierundsiebzig";"Winkels, Hubert;Gmünder, Stefan;Gomringer, Nora;Kastberger, Klaus;Keller, Hildegard Elisabeth;Wiederstein, Michael;Wilke, Insa";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2991948/
13;44. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2020;"Schubert, Helga;Krusche, Lisa;Leitner, Egon Christian;Freudenthaler, Laura;Haider, Lydia";"Vom Aufstehen; Für bestimmte Welten kämpfen und gegen andere; Immer im Krieg; Der heißeste Sommer; Der große Gruß";"Winkels, Hubert;Gomringer, Nora;Kastberger, Klaus;Schwens-Harrant, Brigitte;Tingler, Philipp;Wiederstein, Michael";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3054216/
14;45. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2021;"Ebrahimi, Nava;Vowinckel, Dana;Öziri, Necati;Kaleyta, Timon Karl;Öziri, Necati";"Der Cousin; Gewässer im Ziplock; Morgen wache ich auf und dann beginnt das Leben; Mein Freund am See; Morgen wache ich auf und dann beginnt das Leben";"Wilke, Insa;Delius, Mara;Kaiser, Vea;Kastberger, Klaus;Schwens-Harrant, Brigitte;Tingler, Philipp;Wiederstein, Michael";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3108821/
15;46. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2022;"Marwan, Ana;Bulucz, Alexandru;Guse, Juan S.;Engler, Leon;Hirschl, Elias";"Wechselkröte; Einige Landesgrenzen weiter östlich, von hier aus gesehen; Im Falle des Druckabfalls; Liste der Dinge, die nicht so sind, wie sie sein sollten; Staublunge";"Wilke, Insa;Delius, Mara;Kaiser, Vea;Kastberger, Klaus;Schwens-Harrant, Brigitte;Tingler, Philipp;Wiederstein, Michael";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3184069/
16;47. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2023;"Gordeev, Valerie;Felnhofer, Anna;Piekar, Martin;Leupi, Laura;Piekar, Martin";"Er putzt; Fische fangen; Mit Wänden sprechen/Pole sind schwierige Volk; Das Alphabet der sexualisierten Gewalt; Mit Wänden sprechen/Pole sind schwierige Volk";"Wilke, Insa;Delius, Mara;Kastberger, Klaus;Sanyal, Mithu;Schwens-Harrant, Brigitte;Strässle, Thomas;Tingler, Philipp";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis ";https://bachmannpreis.orf.at/stories/3216933/
17;11. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2008;"Hoppe, Nikolas;Egger, René;Brockmann, Doris;Weber, Robert";"Linkes oder rechtes Meer; Das Drehkreuz; Ina; Vom Vergessen der Welt - Fragmente einer polnischen Reise";;Unterwegs;;Otger Holleschek
18;12. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2009;"Waldscheidt, Stephan;Straub, Isabella;Pass, Julia;Goetsch, Monika";"Mademoiselle Saphir erwacht; Knospentheater; Kaninchenblues; Um drei am See";;Frühling;;Otger Holleschek
19;13. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2009;"Kempker, Kerstin;Makarewicz, Nicole;Kurz, Andreas;Beindorf, Heinrich";"Und abends auf dem Entenstrich; Heißhunger; Zu wenig zuviel; Gute Hähne";;Hunger;;Otger Holleschek
20;14. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2010;"Krause, Roland;Kurz, Andreas;Ani, Friedrich;Duck, Werner";"Juttas Brust; Grünwald; Licht in der Frauenstraße; Wir mögen uns, aber nicht zu oft";;München;;Otger Holleschek
21;15. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2010;"Norder, Renate C.;Raml, Sabine;Huber, Adina;Leicht, Christina";"Monika zwischen 23 und 24 Uhr; Alphatiere; Geschichten von der Straße; Kirschprinzenssin";;Straße;;Otger Holleschek
