va_ausgabe_id;va_ausgabe_titel;vonveranstaltung;veranstaltung_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;Quelle
60;25. open mike;Open Mike ;;2017;"Tharayil, Ralph;Hoffmann, Mariusz;Lussi, Baba";"Das Liebchen; Dorfköter; So kommt's";"Bleutge, Nico;Grjasnowa, Olga;Schulze, Ingo";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2017/die-preistraegerinnen/
61;26. open mike;Open Mike ;;2018;Önder, Yade Yasemin;bulimieminiaturen;"Fricke, Lucy;Lange-Müller, Katja;Popp, Steffen";;Erster Preis;"https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2018/die-jury; https://www.haus-fuer-poesie.org/de/open-mike/news/yade-yasemin-oender-kyrill-constantinides-tank-lara-rueter-und-caren-jess-gewinnen-den-26-open-mike"
62;27. open mike;Open Mike ;;2019;"Sironic, Fiona;Ahlers, Sina";"Das ist der Sommer, in dem das Haus einstürzt; Originale";"Meinecke, Thomas;Meyer, Clemens;Wolf, Uljana";;"Erster Preis; Zweiter Preis & Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2019/die-preistraegerinnen/
63;28. open mike;Open Mike ;;2020;"Gisler, Rebecca;Soppa, Josefine";"Hippobosca; MIRMAR";"Bodrožić, Marica;Güntner, Verena;Waterhouse, Peter";;"Erster Preis; Zweiter Preis";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2020/die-preistraegerinnen/
64;29. open mike;Open Mike ;;2021;"Dütsch, Eva-Maria;Vieregg, Kathrin;Anton, Laura";"Urin und Blütenhonig; Cui bono; Holzhausen (Auszug)";"Martynova, Olga;Utler, Anja;Wagner, David";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/29/die-preistraegerinnen
65;30. open mike;Open Mike ;;2022;"Holzapfel, Patrick;Pichler, Greta Maria";"Gurgelgeräusche; Salzwasser";"Zsuzsanna Gahse;Küchenmeister, Nadja;Nielsen, Madame";;"Erster Preis & Preis der taz-Publikumsjury; Zweiter Preis ";https://www.openmikederblog.de/2022/11/20/laudationes-2022-die-jury/
66;31. open mike;Open Mike ;;2023;"Calanduccia, Salvatore;Kokić, Kenan;Romanowski, Susanne";"Marta Dei; Parkbankgroßeltern; Die Heimsuchung";"Bazyar, Shida;Varatharajah, Senthuran;Zag Golob, Anja";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/news/salvatore-calanduccia-kenan-kokic-und-miedya-mahmod-gewinnen-den-31-open-mike
67;Schreibwettbewerb des Literaturhaus Zürich Januar 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Buess, Daniel;Ein Buch zum Hineinschreiben;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/ein-buch-zum-hineinschreiben-von-daniel-buess/
68;Schreibwettbewerb des Literaturhaus Zürich Februar 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Früh, Katrin;Mutterkind;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/mutterkind-von-katrin-frueh/
69;Schreibwettbewerb des Literaturhaus Zürich März 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Macek, Barbara;insomnia;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/insomnia-von-barbara-macek/
70;Schreibwettbewerb des Literaturhaus Zürich April 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Mezger, Daniel;Hier ist eine Geschichte;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/hier-ist-eine-geschichte-von-daniel-mezger/
71;Schreibwettbewerb des Literaturhaus Zürich Mai 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Lenherr, Luzius;Bistro-Journal;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/bistro-journal-von-luzius-lenherr/
72;Schreibwettbewerb des Literaturhaus Zürich Juni 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Wydler, Fabienne;Tagebuch aus Kenia;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/tagebuch-aus-kenia-von-fabienne-wydler/
73;Schreibwettbewerb des Literaturhaus Zürich Juli 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Amann, Matthias;Wortlungen;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/wortlungen-von-matthias-amann/
74;Schreibwettbewerb des Literaturhaus Zürich September 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Schiller, Nadja;Gegenlicht;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/gegenlicht-von-nadja-schiller/
75;Schreibwettbewerb des Literaturhaus Zürich Oktober 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Schuler, Barbara;Stadtnacht Stadtmorgen;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/stadtnacht-stadtmorgen-von-barbara-schuler/
76;Schreibwettbewerb des Literaturhaus Zürich November 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Baumann, Simone;Vom Sitzen, vom Stehen, vom Schneien und Gehen;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/vom-sitzen-vom-stehen-vom-schneien-und-gehen-von-simone-baumann/
77;Schreibwettbewerb des Literaturhaus Zürich Dezember 2008;Schreibwettbewerb des Literaturhaus Zürich;;2008;Hermann, Marc;Beim Lesen meines Tagebuchs;;Jahresthema: Tagebuch, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/beim-lesen-meines-tagebuchs-von-marc-hermann/
78;Schreibwettbewerb des Literaturhaus Zürich Januar 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Flynn, Isabel;Haselborn;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/haselborn-von-isabel-flynn/
79;Schreibwettbewerb des Literaturhaus Zürich Februar 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Novak, Anamaria;Ein rotes Tor;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/ein-rotes-tor-von-anamaria-novak/
80;Schreibwettbewerb des Literaturhaus Zürich März 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Epp, Niklaus;Die Prozession;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-prozession-von-niklaus-epp/
81;Schreibwettbewerb des Literaturhaus Zürich April 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Arn, Jan;Die Krähe;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-kraehe-von-jan-arn/
82;Schreibwettbewerb des Literaturhaus Zürich Mai 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Reichelt, Jutta;Es wäre schön;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/es-waere-schoen-von-jutta-reichelt/
83;Schreibwettbewerb des Literaturhaus Zürich Juni 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Roedel, Rita;Kreuzstichordnung;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/kreuzstichordnung-von-rita-roedel/
84;Schreibwettbewerb des Literaturhaus Zürich Juli 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Peter, Maja;Ein Brief;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/ein-brief-von-maja-peter/
85;Schreibwettbewerb des Literaturhaus Zürich August 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Rajčić, Dragica;Jesus auf der Zunge;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/jesus-auf-der-zunge-von-dragica-rajcic/
86;Schreibwettbewerb des Literaturhaus Zürich September 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Brunner, Katja;In der Wohnung;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/in-der-wohnung-von-katja-brunner/
87;Schreibwettbewerb des Literaturhaus Zürich Oktober 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Kadelbach, Thomas;WO LIEGT AFRIKA?;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/wo-liegt-afrika-von-thomas-kadelbach/
88;Schreibwettbewerb des Literaturhaus Zürich November 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Marino, Patric;Mio nonno è un astronauta;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/mio-nonno-e-un-astronauta-von-patric-marino/
89;Schreibwettbewerb des Literaturhaus Zürich Dezember 2009;Schreibwettbewerb des Literaturhaus Zürich;;2009;Weber, Margrit;bei den schwestern b.;;Jahresthema: Kindheit, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/bei-den-schwestern-b-von-margrit-weber/
90;Schreibwettbewerb des Literaturhaus Zürich Januar 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Busch, Dominik;Abgekartet;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;"https://literaturhaus.ch/schreibwettbwerb-t/abgekartet-von-dominik-busch/; https://literaturhaus.ch/event/internetwettbewerb-schlussabend-im-jahr-2050/"
91;Schreibwettbewerb des Literaturhaus Zürich Februar 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Sourlier, Susanne;Leo erwacht 2050;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/leo-erwacht-2050-von-susanne-sourlier/
92;Schreibwettbewerb des Literaturhaus Zürich März 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Koch, David;When I'm 62;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/when-im-62-von-david-koch/
93;Schreibwettbewerb des Literaturhaus Zürich April 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Lanfranconi, Katharina;Elektra;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/elektra-von-katharina-lanfranconi/
94;Schreibwettbewerb des Literaturhaus Zürich Mai 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Flynn, Isabel;Für immer;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/fuer-immer-von-isabel-flynn/
95;Schreibwettbewerb des Literaturhaus Zürich Juni 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Gruber, Andreas;Raum Nr. 7;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/raum-nr-7-von-andreas-gruber/
96;Schreibwettbewerb des Literaturhaus Zürich Juli 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Treumann, Rudolf;Das Experiment;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/das-experiment-von-rudolf-treumann/
97;Schreibwettbewerb des Literaturhaus Zürich August 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Dijzmedjian, Marc;Byron Lotos;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/byron-lotos-von-marc-dijzmedjian/
98;Schreibwettbewerb des Literaturhaus Zürich September 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Wohlfender, Bettina;Aus der Haut;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/aus-der-haut-von-bettina-wohlfender/
99;Schreibwettbewerb des Literaturhaus Zürich Oktober 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Egger, René;Ausbrüche;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/ausbrueche-von-rene-egger/
100;Schreibwettbewerb des Literaturhaus Zürich November 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Gschwend, Peter;Zwanzigfünfzig;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/zwanzigfuenfzig-von-peter-gschwend/
101;Schreibwettbewerb des Literaturhaus Zürich Dezember 2010;Schreibwettbewerb des Literaturhaus Zürich;;2010;Loosli, Ruth;Die Reise ins Jahr 2050;"Stoll, Beatrice;Fischer, Simona;Hefti, Miriam;Schneuwly, Karin;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan;Villiger, Christian;Winzeler, Seraina";Jahresthema: Im Jahr 2050, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-reise-ins-jahr-2050-von-ruth-loosli/
102;Schreibwettbewerb des Literaturhaus Zürich Januar 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Muhl, Iris;Zwölf Krücken;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;"https://literaturhaus.ch/schreibwettbwerb-t/zwoelf-kruecken-von-iris-muhl/; https://literaturhaus.ch/event/schreibwettbewerb-heimat-schlussabend/"
103;Schreibwettbewerb des Literaturhaus Zürich Februar 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Lanfranconi, Katharina;Heimat;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/heimat-von-katharina-lanfranconi/
104;Schreibwettbewerb des Literaturhaus Zürich März 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Früh-Hedrich, Katrin;Ami;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/ami-von-katrin-frueh-hedrich/
105;Schreibwettbewerb des Literaturhaus Zürich April 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Nielsen, Jens;Keine Aussicht auf ein gutes Ende;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/keine-aussicht-auf-ein-gutes-ende-von-jens-nielsen/
106;Schreibwettbewerb des Literaturhaus Zürich Mai 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Spinner, Esther;Nachts;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/nachts-von-esther-spinner/
107;Schreibwettbewerb des Literaturhaus Zürich Juni 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Szyndler, Gregor;Der Plagöri;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/der-plagoeri-von-gregor-szyndler/
108;Schreibwettbewerb des Literaturhaus Zürich Juli 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Schaub, Christian K.;Die Fracht des Sommers;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-fracht-des-sommers-von-christian-k-schaub/
109;Schreibwettbewerb des Literaturhaus Zürich August 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Mathies, Susanne;Die Heimkehr;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-heimkehr-von-susanne-mathies/
110;Schreibwettbewerb des Literaturhaus Zürich September 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Büttiker, Patricia;Südwärts;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/suedwaerts-von-patricia-buettiker/
111;Schreibwettbewerb des Literaturhaus Zürich Oktober 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Prenner, Samuel;Die Burgervilla;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-burgervilla-von-samuel-prenner/
112;Schreibwettbewerb des Literaturhaus Zürich November 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Hach, Lena;Die Welt, so klein;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-welt-so-klein-von-lena-hach/
113;Schreibwettbewerb des Literaturhaus Zürich Dezember 2011;Schreibwettbewerb des Literaturhaus Zürich;;2011;Kohlus, Claudia;Verbleichen;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Heimat, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/verbleichen-von-claudia-kohlus/
114;Schreibwettbewerb des Literaturhaus Zürich Januar 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Wirth, Doris;Mutters Kopf, Vater und ich;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;"https://literaturhaus.ch/schreibwettbwerb-t/mutters-kopf-vater-und-ich-von-doris-wirth/; https://literaturhaus.ch/event/texte-des-monats-2012-schreibwettbewerb-familie-schlussabend/"
115;Schreibwettbewerb des Literaturhaus Zürich Februar 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Henzmann, Heike;Räuber;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/raeuber-von-heike-henzmann/
116;Schreibwettbewerb des Literaturhaus Zürich März 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Greber, Thomas;Grossvater;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/grossvater-von-thomas-greber/
117;Schreibwettbewerb des Literaturhaus Zürich April 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;El-Maawi, Samira;Von meinem Vater, seiner Küche und meinen Sorgen;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/von-meinem-vater-seiner-kueche-und-meinen-sorgen-von-samira-el-maawi/
118;Schreibwettbewerb des Literaturhaus Zürich Mai 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Rotach, Ingeborg;Stillleben;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/stillleben-von-ingeborg-rotach/
119;Schreibwettbewerb des Literaturhaus Zürich Juni 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Aegerter, Roland;Hin und Herkunkft;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/hin-und-herkunft-von-roland-aegerter/
120;Schreibwettbewerb des Literaturhaus Zürich Juli 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Gawrisch, Dmitrij;Mein Held (Auszug);"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/mein-held-auszug-von-dmitrij-gawrisch/
121;Schreibwettbewerb des Literaturhaus Zürich August 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Klöckner, Horst-Werner;Alles ist gut!;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/alles-ist-gut-von-horst-werner-kloeckner/
122;Schreibwettbewerb des Literaturhaus Zürich September 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Birnbacher, Birgit;Die Tant';"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-tant-von-birgit-birnbacher/
123;Schreibwettbewerb des Literaturhaus Zürich Oktober 2012;Schreibwettbewerb des Literaturhaus Zürich;;2012;Ganzoni, Romana;Die Gewissheit;"Stoll, Beatrice;Vonlanthen, Isabelle;Hefti, Miriam;Ciklaminy, Zorka;Gerber, Georg;Rauch, Prisca;Reich, Mirjam;Rodgers, Davina;Schöbi, Stefan";Jahresthema: Familie, Monatsthema: ---;Text des Monats;https://literaturhaus.ch/schreibwettbwerb-t/die-gewissheit-von-romana-ganzoni/
