objekt_id;objekt_typ;koerperschaft_id;rolle
9783000326745;Buch;K1256;VerlegerIn Buch
9783000328213;Buch;K2733;VerlegerIn Buch
9783000331916;Buch;K2391;VerlegerIn Buch
9783000332128;Buch;K945;VerlegerIn Buch
9783000335242;Buch;K1392;VerlegerIn Buch
9783000341533;Buch;K1987;VerlegerIn Buch
9783000344725;Buch;K771;VerlegerIn Buch
9783000350283;Buch;K854;VerlegerIn Buch
9783000350504;Buch;K3091;VerlegerIn Buch
9783000352959;Buch;K2604;VerlegerIn Buch
9783000353987;Buch;K121;VerlegerIn Buch
9783000355998;Buch;K1514;VerlegerIn Buch
9783000356988;Buch;K1754;VerlegerIn Buch
9783000357275;Buch;K2536;VerlegerIn Buch
9783000362538;Buch;K2032;VerlegerIn Buch
9783000364815;Buch;K597;VerlegerIn Buch
9783000365447;Buch;K1287;VerlegerIn Buch
9783000365461;Buch;K801;VerlegerIn Buch
9783000366161;Buch;K448;VerlegerIn Buch
9783000366796;Buch;K1162;VerlegerIn Buch
9783000367861;Buch;K1220;VerlegerIn Buch
9783000368820;Buch;K3255;VerlegerIn Buch
9783000372537;Buch;K2595;VerlegerIn Buch
9783000376283;Buch;K1741;VerlegerIn Buch
9783000379451;Buch;K1869;VerlegerIn Buch
9783000380129;Buch;K652;VerlegerIn Buch
9783000384301;Buch;K1491;VerlegerIn Buch
9783000387074;Buch;K1220;VerlegerIn Buch
9783000388897;Buch;K2337;VerlegerIn Buch
9783000390159;Buch;K225;VerlegerIn Buch
9783000393594;Buch;K1171;VerlegerIn Buch
9783000394522;Buch;K3471;VerlegerIn Buch
9783000397233;Buch;K679;VerlegerIn Buch
"9783000397684; 300039768X";Buch;K2277;VerlegerIn Buch
9783000398421;Buch;K806;VerlegerIn Buch
"9783000400414; 3000400419";Buch;K2794;VerlegerIn Buch
9783000403705;Buch;K1162;VerlegerIn Buch
9783000410062;Buch;K1322;VerlegerIn Buch
9783000415647;Buch;K1841;VerlegerIn Buch
9783000420412;Buch;K1695;VerlegerIn Buch
9783000420825;Buch;K1374;VerlegerIn Buch
9783000422751;Buch;K765;VerlegerIn Buch
9783000422805;Buch;K766;VerlegerIn Buch
9783000430244;Buch;K3199;VerfasserIn Buch
9783000430244;Buch;K3199;VerlegerIn Buch
9783000433320;Buch;K1641;VerlegerIn Buch
9783000434129;Buch;K775;VerlegerIn Buch
9783000443022;Buch;K1162;VerlegerIn Buch
"9783000447723; 3000447725";Buch;K1835;VerlegerIn Buch
9783000457395;Buch;K2528;VerlegerIn Buch
9783000460678;Buch;K1142;VerlegerIn Buch
9783000462047;Buch;K291;VerlegerIn Buch
9783000463068;Buch;K1659;VerlegerIn Buch
9783000471759;Buch;K806;VerlegerIn Buch
9783000483349;Buch;K2730;VerlegerIn Buch
"9783000485602; 3000485600";Buch;K2794;VerlegerIn Buch
9783000496851;Buch;K1222;VerlegerIn Buch
9783000498213;Buch;K1272;VerlegerIn Buch
"9783000501753; 9781511779456";Buch;K2278;VerlegerIn Buch
9783000502217;Buch;K947;VerlegerIn Buch
"9783000502910; 3000502912";Buch;K3244;VerlegerIn Buch
"9783000504921; 3000504923";Buch;K1785;VerlegerIn Buch
