literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA47;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;213;2015;"Raus aufs Land; Sandalen; Das Röhrchen; Wense";"P3582; P7849; P11223; P16093"
LZA48;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;214;2015;"Das leicht fransige Orange des Seils; Dinge der Liebe";"P13587; P17391"
LZA49;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;215;2015;"Das Universum des Menschen; Der Mensch ist seine Legende; Es steht geschrieben; Und es ward Abend und es ward Morgen; Spuren; Leben ist Erinnerung an das Leben";"P4648; P4648; P4648; P4648; P4648; P4648"
LZA50;Sinn und Form;LZ68;3;2015;"Das erfüllte Leben; Wenn der Vater nicht stirbt";"P15901; P1408"
LZA51;Sinn und Form;LZ68;5;2015;"Ich war nie in Mariupol; Eine Völkerfriedensstiftung";"P19791; P11229"
LZA52;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2015;Verwandelte Formen;P7868
LZA53;Sinn und Form;LZ68;2;2016;Das Dorf;P15407
LZA54;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;217;2016;"Alessandro; Drei Erzählungen. Alles Gute; Echos; Senke; Die Zerstörung; Mit einem Fuß draußen; Namors Nebel; Die Lauschenden; Lucia; Dickicht";"P8341; P10294; P10294; P10294; P11024; P11543; P15571; P15436; P16734; P16964"
LZA55;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;218;2016;"Der verlorene Abschied; WinterLand; Wald, Juni";"P16441; P16441; P11567"
LZA56;Sinn und Form;LZ68;3;2016;"Aufzeichnungen eines Lehrlings; Begegnung; Eine Frau allein";"P13551; P14629; P11515"
LZA57;Sinn und Form;LZ68;5;2016;Paulkes letzter Tag;P1834
LZA58;Sinn und Form;LZ68;6;2016;Seestück;P5236
LZA59;Sinn und Form;LZ68;2;2017;"Die Geschichte von Lydia und Behn; Meine Wohnung";"P15407; P16567"
LZA60;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;221;2017;"Milchzähne; Die Dörfer von gestern";"P2331; P7557"
LZA61;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;224;2017;"Mein erstes richtiges Buch; Fählüna. Wie Thöny, Hilty, Frick und Wachter ein Jahrzehnt zu früh den Punk erfanden";"P17055; P17087"
LZA62;Sinn und Form;LZ68;3;2017;Von der Kunst eine Kurzgeschichte lang erscheinen zu lassen;P4149
LZA63;Sinn und Form;LZ68;5;2017;Die dichte Welt;P4481
LZA64;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2017;"Post aus Jyväskyla; Bloß ein Mensch";"P13260; P9021"
LZA65;Sinn und Form;LZ68;2;2018;Der Neandertaler von Darmstadt;P5195
LZA66;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;226;2018;Die Nacht in Riom;P19269
LZA67;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;227;2018;"Tagebuch einer jungen Frau, die am Fall beteiligt war; LAUTE: STILLE";"P12757; P4857"
LZA68;Sinn und Form;LZ68;3;2018;"Die Hand; Arbeit am Blasator";"P5236; P8895"
LZA69;Sinn und Form;LZ68;4;2018;Der Künstlerbesuch;P10322
LZA70;Sinn und Form;LZ68;5;2018;Einer muß wachen. Nachtstück;P8613
LZA71;Sinn und Form;LZ68;1;2019;"Der einzige Weg; Junger Pfau in Aspik";"P16567; P8895"
LZA72;Sinn und Form;LZ68;2;2019;Kakoj Kaschmar oder You are welcome;P16145
LZA73;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;229;2019;"Miniquidi; Die Rinne; Der Bulle";"P1110; P10858; P19714"
LZA74;Sinn und Form;LZ68;3;2019;Geschichte meines Autos;P17309
LZA75;Sinn und Form;LZ68;4;2019;Zurück;P6425
LZA76;Sinn und Form;LZ68;5;2019;Nach Split;P8775
LZA77;Sinn und Form;LZ68;6;2019;"Der Blaubart aus Küsnacht; Theo";"P514; P514"
LZA78;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;233;2020;"Der Gipfel von allem; Als ich einmal fast berühmt wurde; Saturn ohne Ringe; Sie nennen ihn auch Atlas";"P276; P13260; P16100; P16937"
LZA79;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;236;2020;"grenze; Playhouse";"P3688; P2483"
LZA80;Sinn und Form;LZ68;4;2020;"Der Wächter; Die Glut; Im Innern des Berges; Mikroben; Wo keine Frage ist; Zartplastik; Die Liste; Die Abkürzung; Die leere Seite im Reisetagebuch";"P10314; P10314; P10314; P10314; P10314; P17309; P544; P15903; P15238"
LZA81;Das GRAMM;LZ12;1;2021;Die Übungen;P16625
LZA82;Das GRAMM;LZ12;2;2021;Grünge Orangen;P9576
LZA83;Sinn und Form;LZ68;1;2021;Ohne Form sind wir Staub;P8613
LZA84;Sinn und Form;LZ68;2;2021;Der Türke;P5236
LZA85;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;237;2021;"Mein Sohn hält mich in seiner Hand; Die Briefe meiner Mutter; Eierfrauen; you";"P7216; P15593; P17288; P18096"
LZA86;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;238;2021;"Der Umzug; Der Zwiebelfisch";"P10762; P16861"
LZA87;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;239;2021;"Würgeengel, 90er Jahre; Rosi; Das Milch & Honig-Notizbuch; Amok; Bruder Klaus; (Notate, 4. Januar 2017); Ungegenwart";"P7052; P16145; P5886; P10402; P10972; P1003; P2340"
LZA88;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;240;2021;Erde Liebe Chaos;P8195
LZA89;Das GRAMM;LZ12;3;2021;Ein großes Dankeschön;P10796
LZA90;Das GRAMM;LZ12;4;2021;Tamina Blue;P4243
LZA91;Das GRAMM;LZ12;5;2021;Ein verlängertes Wochenende;P3124
LZA92;Das GRAMM;LZ12;6;2021;Rote Asche;P16815
LZA93;Sinn und Form;LZ68;3;2021;Am Osloer Fjord oder der Fremde;P10098
LZA94;Sinn und Form;LZ68;4;2021;Das japanische Palais;P3152
LZA95;Sinn und Form;LZ68;6;2021;"Der Polyp Polymat; Dreh dich nicht um";"P11229; P6425"
LZA96;Sinn und Form;LZ68;1;2022;Das Zusammenfalten der Zeit;P16636
LZA97;Das GRAMM;LZ12;10;2022;John Belushi;P17131
LZA98;Das GRAMM;LZ12;11;2022;Poolparty;P19662
LZA99;Das GRAMM;LZ12;12;2022;Immer die Liebe;P5699
LZA100;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;241;2022;"Quinn; mutterfremd; tänzeln; Manner: Sturm der Triebe";"P8298; P8431; P11859; P12979"
LZA101;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;242;2022;Es reicht doch, das Matterhorn zu bestaunen;P10322
LZA102;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;243;2022;"Einige Landesgrenzen weiter östlich, von hier aus gesehen; A Gringo Like Me";"P2340; P9265"
LZA103;Sinn und Form;LZ68;3;2022;Der Jenseits-Baedeker;P20585
LZA104;Das GRAMM;LZ12;7;2022;Die Aussicht;P4041
LZA105;Das GRAMM;LZ12;8;2022;Abendbrot;P6963
LZA106;Das GRAMM;LZ12;9;2022;Stock und Kopf;P20641
LZA107;Sinn und Form;LZ68;1;2023;"Nachtwege; Onkel hast du Feuer?";"P19202; P9164"
LZA108;Das GRAMM;LZ12;13;2023;Gehen oder Bleiben;"P13706; P10843"
LZA109;Das GRAMM;LZ12;14;2023;Alles wird heller;P7192
LZA110;Das GRAMM;LZ12;15;2023;Glitzer;P18054
LZA111;Das GRAMM;LZ12;16;2023;Die Sterne über der Wüste;P10863
LZA112;Das GRAMM;LZ12;17;2023;Liebe Grüße;P5139
LZA113;Das GRAMM;LZ12;18;2023;Lady-Mücken;P12418
LZA114;Sinn und Form;LZ68;2;2023;"Man tut nichts anderes dort; Vierhundertfünfundsechzig";"P17309; P15903"
LZA115;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;245;2023;"Ferhat; Verdrängungen ersten Grades; Winterschlaf; Peter Papierflieger; Oh well; Familienkur; Oh, Sunny";"P162; P4041; P13361; P13449; P13842; P16158; P20070"
LZA116;Sinn und Form;LZ68;3;2023;Weiße Stellen, schwarze Löcher, blinde Flecken;P16145
LZA117;Sinn und Form;LZ68;4;2023;Einfache Rezepte;P19202
LZA118;Sinn und Form;LZ68;5;2023;Leonor rückwärts;P8613
